run,raw_events,events_all_four_selected,events_downstream_all_selected,selected_pulses_all_four_support
58,34141,72,73,288
59,42303,749,763,2996
60,36074,802,808,3208
61,36535,925,933,3700
62,37584,798,807,3192
63,37030,365,370,1460
65,38424,63,66,252
