model,delta_average_precision_vs_traditional,delta_tail_rejection_vs_traditional,delta_sigma68_delta_ns_vs_traditional,is_control
ridge_all_stave,0.04986532067493954,0.7407619593239759,-0.7883923192191138,False
extra_trees_downstream_only,0.045972710036360165,0.7885992552277284,-1.670004915027867,False
gradient_boosted_trees_all_stave,0.04555004447203137,0.7885992552277284,-1.6957546438001638,False
extra_trees_all_stave,0.045490695917958845,0.7885992552277284,,False
extra_trees_phase_scrambled_control,0.04496013063091886,0.7885992552277284,,True
cnn_all_stave,0.04302683135528296,0.6178745345173303,-0.38341034378741057,False
cnn_phase_scrambled_control,0.03925443547933838,0.4629046118590662,-0.11140376265199947,True
mlp_all_stave,0.02325090606461966,0.4185047264394156,0.11587932130290612,False
extra_trees_upstream_only,0.012157267964849283,0.7883128043540533,1.5294433901521067,False
traditional_downstream_p02_scorecard,0.00636853533429993,0.007161271841879119,0.0,False
traditional_upstream_p02_scorecard,-0.003729951049472713,0.01690060154683473,0.0606682551474691,False
extra_trees_amplitude_only,-0.015296917322610404,0.7754225150386709,-0.15549977550642957,False
extra_trees_shuffled_label_control,-0.03017600855162872,-0.15210541392151244,-0.013840625690189512,True
