heldout_run,model,feature_kind,n_train_events,n_heldout_events,n_heldout_tail,n_heldout_cfd20_tail,tail_fraction,cfd20_tail_fraction,threshold,train_seconds,n_parameters,n_features,roc_auc,average_precision,brier,independent_cfd20_roc_auc,independent_cfd20_average_precision,tail_rejection_at_90_clean,clean_acceptance,flagged_fraction
58,traditional_upstream_p02_scorecard,upstream,3702,72,69,61,0.9583333333333334,0.8472222222222222,0.2280696047493595,0.00021338462829589844,0,1,0.7246376811594202,0.986109406294646,0.6565383264910264,0.6050670640834576,0.8554492297901506,0.21739130434782608,1.0,0.20833333333333334
58,traditional_downstream_p02_scorecard,downstream,3702,72,69,61,0.9583333333333334,0.8472222222222222,0.14083134159378272,0.0002238750457763672,0,1,0.8792270531400966,0.9943829997212037,0.6896675893883939,0.34873323397913564,0.7662227640111132,0.42028985507246375,1.0,0.4027777777777778
58,traditional_all_stave_p02_scorecard,all,3702,72,69,61,0.9583333333333334,0.8472222222222222,0.11645823545714361,0.0001709461212158203,0,1,0.893719806763285,0.9950980542753818,0.7230287706574762,0.3621460506706409,0.7693158110683325,0.4057971014492754,1.0,0.3888888888888889
58,ridge_all_stave,all,3702,72,69,61,0.9583333333333334,0.8472222222222222,0.2957836962011055,0.13093852996826172,121,121,1.0,1.0,0.027453751246782034,0.17213114754098358,0.7039288410718454,0.9855072463768116,1.0,0.9444444444444444
58,gradient_boosted_trees_all_stave,all,3702,72,69,61,0.9583333333333334,0.8472222222222222,0.029453013194537584,1.145836353302002,121,121,0.9855072463768116,0.9993817135114824,0.02812005207097176,0.3070044709388972,0.7583100470068557,1.0,0.0,1.0
58,mlp_all_stave,all,3702,72,69,61,0.9583333333333334,0.8472222222222222,0.7198887825012207,1.0086822509765625,5905,121,1.0,1.0,0.018231479244533808,0.42697466467958267,0.8430197514356527,1.0,0.6666666666666666,0.9722222222222222
58,extra_trees_upstream_only,upstream,3702,72,69,61,0.9583333333333334,0.8472222222222222,0.22057642112787662,0.41509270668029785,30,30,0.78743961352657,0.9896455641145634,0.06933374538625454,0.36438152011922503,0.7722413730720121,1.0,0.0,1.0
58,extra_trees_downstream_only,downstream,3702,72,69,61,0.9583333333333334,0.8472222222222222,0.12048845264465854,0.356640100479126,143,143,0.9468599033816425,0.9976422395732494,0.03148185370481162,0.323397913561848,0.7844023553945627,1.0,0.0,1.0
58,extra_trees_all_stave,all,3702,72,69,61,0.9583333333333334,0.8472222222222222,0.12186515668776413,0.3574228286743164,121,121,0.9516908212560387,0.9978194753353307,0.032086483165919076,0.42026825633383014,0.8326137019657465,1.0,0.0,1.0
58,extra_trees_amplitude_only,amplitude,3702,72,69,61,0.9583333333333334,0.8472222222222222,0.34093894766244254,0.35585832595825195,6,6,0.7391304347826088,0.9796062676116504,0.09970770670167153,0.6005961251862891,0.8696046452389762,1.0,0.0,1.0
58,extra_trees_phase_scrambled_control,phase_scrambled,3702,72,69,61,0.9583333333333334,0.8472222222222222,0.14368836782203334,0.3492152690887451,60,60,0.9710144927536232,0.9987482362587942,0.031159266152059144,0.3323397913561848,0.7860044427670032,1.0,0.0,1.0
58,extra_trees_shuffled_label_control,all,3702,72,69,61,0.9583333333333334,0.8472222222222222,0.9504935465922412,0.3460507392883301,121,121,0.391304347826087,0.9525936227321947,0.06785933917574663,0.6527570789865871,0.9002318327135628,0.028985507246376812,1.0,0.027777777777777776
58,cnn_all_stave,all,3702,72,69,61,0.9583333333333334,0.8472222222222222,0.5260491788387298,0.9808249473571777,561,72,1.0,0.9999999999999999,0.028554878934478715,0.14530551415797316,0.6972545927843458,0.9710144927536232,1.0,0.9305555555555556
