model,n_events,n_tail,n_runs,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,average_precision_ci_low,average_precision_ci_high,brier,brier_ci_low,brier_ci_high,independent_cfd20_roc_auc,independent_cfd20_roc_auc_ci_low,independent_cfd20_roc_auc_ci_high,independent_cfd20_average_precision,independent_cfd20_average_precision_ci_low,independent_cfd20_average_precision_ci_high,tail_rejection_at_90_clean,tail_rejection_at_90_clean_ci_low,tail_rejection_at_90_clean_ci_high,clean_acceptance,clean_acceptance_ci_low,clean_acceptance_ci_high,flagged_fraction,flagged_fraction_ci_low,flagged_fraction_ci_high,early_peak_enrichment,early_peak_enrichment_ci_low,early_peak_enrichment_ci_high,anomaly_enrichment,anomaly_enrichment_ci_low,anomaly_enrichment_ci_high,support_drift_max_abs_run_flagged_fraction,support_drift_max_abs_run_flagged_fraction_ci_low,support_drift_max_abs_run_flagged_fraction_ci_high,template_pair_sigma68_before_ns,template_pair_sigma68_before_ns_ci_low,template_pair_sigma68_before_ns_ci_high,template_pair_sigma68_after_accept_ns,template_pair_sigma68_after_accept_ns_ci_low,template_pair_sigma68_after_accept_ns_ci_high,template_pair_sigma68_delta_ns,template_pair_sigma68_delta_ns_ci_low,template_pair_sigma68_delta_ns_ci_high,tail_fraction_delta_after_accept,tail_fraction_delta_after_accept_ci_low,tail_fraction_delta_after_accept_ci_high,is_control,eligible
ridge_all_stave,3774,3491,7,0.9558177362688306,0.9408694270389587,0.9648819053004277,0.9958310202556455,0.9909835409550231,0.9984037918236438,0.07125261834035969,0.05108656140646442,0.09878210557891544,0.22940219623049757,0.1726460610684281,0.2716344988099114,0.6789175178085081,0.6494134463911772,0.7089270164596004,0.9521627040962475,0.9298733439214394,0.9695270262170489,0.7809187279151943,0.7150901898734178,0.8117807692307693,0.8971913089560148,0.8312492212161489,0.941456188404249,1.0983350561134082,1.0494016770811334,1.1714756499868417,1.0839688958413118,1.042121010312071,1.1526553616812385,0.11556968733439321,0.010033058064151034,0.1278606245451598,2.7461575469467725,2.6605434138104656,2.977494069676599,2.00000000000001,1.7630994780753195,2.2480228731920393,-0.7461575469467623,-1.0726675776657415,-0.49999999999999334,-0.49460087740863967,-0.5294122663673458,-0.3779612022607872,False,True
extra_trees_downstream_only,3774,3491,7,0.911557533607368,0.8861224201249486,0.9545980731468945,0.9919384096170661,0.9800781736473448,0.998101239571795,0.05534461298262982,0.035321322787113835,0.08233365544490973,0.24601965190562103,0.21857863801679572,0.27305476646035903,0.7012075199194524,0.6605802091436537,0.7410938203228352,1.0,1.0,1.0,0.0035335689045936395,0.0,0.020812905551550097,0.9997350291467939,0.9992311601598128,1.0,1.0002650410813676,1.0,1.000769431718894,1.0002650410813676,1.0,1.000769431718894,0.0009881619788740803,0.0,0.0010520470847389385,2.7461575469467725,2.660092627781438,2.977494069676599,1.118387404191257,1.118387404191257,1.6446873591047897,-1.6277701427555156,-1.8569780046036317,-1.0224855298337894,-0.9250132485426603,-0.9659673966333804,-0.8777084289424374,False,True
gradient_boosted_trees_all_stave,3774,3491,7,0.9121800328558141,0.8897346263116425,0.9649604679553143,0.9915157440527373,0.9807936116593214,0.9986463673168849,0.052207015897511366,0.02312222281294338,0.09745666605047709,0.24144734842105822,0.20704755988302315,0.27171763953227096,0.6920577063224708,0.6527679651614705,0.7484124712349127,1.0,1.0,1.0,0.0176678445229682,0.0018279925670436619,0.06542056074766354,0.9986751457339693,0.9971389810213244,0.9997655334114889,1.0013266118333777,1.000234521575985,1.002869227973198,1.0013266118333775,1.0002345215759851,1.002869227973198,0.004154597788763814,0.0006808761031705052,0.004857507110107073,2.7461575469467725,2.660543413810462,2.9753654087948895,1.0926376754189602,0.5604646199228633,1.175289891668445,-1.6535198715278123,-2.2234335761900055,-1.5016986648986723,-0.9250132485426603,-0.9648641229755696,-0.8674206858584086,False,True
extra_trees_all_stave,3774,3491,7,0.905547126229689,0.8792395717638284,0.9523279973126759,0.9914563954986648,0.9800888956395559,0.9980355424328647,0.05776237266119826,0.036687858443082866,0.08474106399535286,0.23759547648126372,0.20946542835160925,0.2697449941311109,0.6973662193406833,0.6603968875835607,0.7414546830244597,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.7461575469467725,2.6605434138104656,2.975365408794893,,,,,,,,,,False,True
cnn_all_stave,3774,3491,7,0.8932054460080591,0.8594001765206258,0.9301239572861378,0.9889925309359889,0.9751411659674734,0.9965556569446028,0.10659930642941469,0.06815095408724682,0.14604809435986063,0.2420220530224106,0.17497009492003332,0.2873745115173497,0.6855614041019027,0.6605877962873415,0.710572381888542,0.8292752792896019,0.6659263794720569,0.9367166754863555,0.8657243816254417,0.6895002658160553,0.9389739073322187,0.7771595124536301,0.5878667806071468,0.909891900861523,1.265291510398909,1.0889857238270162,1.645651856815432,1.223107271180916,1.0833330841944535,1.5328202171234429,0.36418653948065716,0.02482265767525584,0.3895163431564574,2.7461575469467725,2.660092627781438,2.9753654087948895,2.4049819754317134,2.296558274664342,2.5,-0.34117557151505906,-0.6256070126607245,-0.24183404455478552,-0.21633310585538323,-0.31151289455069603,-0.1613855242147131,False,True
mlp_all_stave,3774,3491,7,0.6982614557575108,0.5096943896045709,0.9341035344680354,0.9692166056453256,0.9116850255453026,0.996579858168247,0.06895048479447785,0.03279538783709514,0.1269779427624294,0.2856921233622005,0.23166297148141765,0.3015157860718502,0.7261700278327288,0.6664467979260721,0.7637826595655901,0.6299054712116872,0.3645923970229733,0.88141468426887,0.734982332155477,0.6676204819277108,0.8780246141009593,0.6025437201907791,0.3537612798132436,0.8547029299676918,1.5731915127528584,1.1645983360275365,2.5358614883452257,1.5228478645365189,1.1454943544051035,2.479742459232179,0.37322041192010236,0.2559558113331494,0.6090409096527005,2.7461575469467725,2.659987735791718,2.9753654087948895,2.90427164052203,2.4269885565671245,3.0969319134848874,0.15811409357525763,-0.3027322940973036,0.3169034143937317,-0.06367991520932703,-0.21208478798784658,-0.015448049482338418,False,True
extra_trees_upstream_only,3774,3491,7,0.6038020027268504,0.5965322050467217,0.6628699979110171,0.9581229675455553,0.9316147586975325,0.9822520521258731,0.12213088593482276,0.10825364788286095,0.13568167792646194,0.18679902083074973,0.1620542941171485,0.2252370707194363,0.6772655949741487,0.6355709901981748,0.7206085575817502,0.9997135491263248,0.9991824629980238,1.0,0.0,0.0,0.0,0.9997350291467939,0.999222507649881,1.0,1.0002650410813676,1.0,1.0007780973153997,1.0002650410813676,1.0,1.0007780973153995,0.0010701426314401186,0.0,0.001145789929755714,2.7461575469467725,2.660092627781438,2.975365408794892,4.317835709371231,4.317835709371231,6.349758396134163,1.5716781624244582,1.423148350266441,3.680935795012253,0.07498675145733968,0.03694029035660074,0.12885706896473834,False,True
traditional_downstream_p02_scorecard,3774,3491,7,0.5955151712682688,0.550010021049558,0.6586517236735758,0.9523342349150059,0.9042020470907937,0.9797877179535499,0.7112750996754993,0.6690502175777316,0.7500991725165342,0.3464334778217586,0.2992486262424828,0.3894034987513683,0.7255511851006102,0.7037815516664113,0.7468831947629088,0.21856201661415067,0.1893060669687689,0.2510497945593046,0.8904593639575972,0.8713518722872067,0.9449001736111111,0.21038685744568097,0.18284321965759817,0.24209971809393893,2.7231580604534007,2.3944393241167434,3.1609680589332645,3.247114346610568,2.890741299714005,3.847090314451507,0.19239092033209682,0.01854501789669012,0.21616813386144512,2.7461575469467725,2.6605434138104656,2.9764829557577848,2.788392319219124,2.6769885565671174,3.024551693528938,0.042234772272351506,0.0,0.14125297722057456,-0.009577006931922094,-0.015254107417449259,-0.0060427587944395685,False,True
traditional_all_stave_p02_scorecard,3774,3491,7,0.5743223614888562,0.545310925872559,0.6594873471303677,0.945965699580706,0.9018035625363011,0.9801258357405571,0.7313692586378847,0.6818492563024322,0.7707773860298771,0.33695664237401735,0.3111725701403063,0.37277114327370975,0.7222639953745833,0.6962190133215747,0.7523455797674149,0.21140074477227155,0.19287578631753963,0.2407800861163249,0.901060070671378,0.8917353404688424,0.9448210553814,0.20296767355590886,0.18605159597726278,0.23187338145611902,2.8637565274151435,2.5547838101467746,3.084574246997794,3.3748314348836543,3.1081246867172223,3.724468419374533,0.18592121533298003,0.031067073484751784,0.19997514292816307,2.7461575469467725,2.660092627781438,2.975365408794884,2.788392319219124,2.6769885565671174,3.024551693528938,0.042234772272351506,0.0,0.14922563346188866,-0.009787184712873098,-0.016741814440476954,-0.005358292631878259,False,True
traditional_upstream_p02_scorecard,3774,3491,7,0.5500828480707078,0.5189366903346737,0.665216036647597,0.9422357485312333,0.895964833523703,0.9810067987967336,0.610113228744701,0.5606131442408319,0.6635093924610532,0.36196280681673965,0.34912346969683083,0.40068706369653734,0.7313286898481559,0.698146031895827,0.7795969569710325,0.22830134631910629,0.1690868021942562,0.2753524673848456,0.8657243816254417,0.8276990120642158,0.9726185506762397,0.221250662427133,0.16342892383595437,0.2620258369513998,2.410538922155689,2.161210781127759,2.8843567251461986,2.533052576166349,2.231932326884592,2.9260853902503174,0.07839351956999016,0.03775122776215992,0.10804650238473767,2.7461575469467725,2.660543413810462,2.9774940696765952,2.849060574366593,2.6769885565671174,3.024551693528938,0.1029030274198206,0.0,0.1699995994970921,-0.008374936191520521,-0.016175432791445163,-0.006301052471577135,False,True
