method,run,n_pairs,sigma68_ns,rms_ns,bias_ns,tail_abs_gt_0p5_ns,tail_abs_gt_1p0_ns
gradient_boosted_trees,58,353,1.4273900139269076,9.715753112180343,1.4536023591099339,0.6968838526912181,0.4702549575070821
gradient_boosted_trees,59,3753,1.1517130771082065,3.4849558299870043,-0.11966613843609027,0.6517452704503064,0.383160138555822
gradient_boosted_trees,60,3700,1.221571826846251,4.333463413270916,0.06176912624638981,0.658918918918919,0.3981081081081081
gradient_boosted_trees,61,4245,1.2034388394113722,5.06735834095295,0.01984802258259851,0.6645465253239105,0.4115429917550059
gradient_boosted_trees,62,3833,1.2134701316363963,2.8645241078177732,-0.01663634977231832,0.6660579180798331,0.4046438820767023
gradient_boosted_trees,63,1816,1.2453040996636604,3.345571477814535,-0.27685247333395163,0.6723568281938326,0.42731277533039647
gradient_boosted_trees,65,398,1.4335541199759567,1.9574992674169702,0.09628187428748024,0.7010050251256281,0.4723618090452261
mlp,58,353,1.5814356876993885,10.160793223572089,1.6202551254482809,0.6883852691218131,0.45042492917847027
mlp,59,3753,1.2069379018364925,3.133791265440849,-0.24803283400866727,0.6602717825739408,0.3964828137490008
mlp,60,3700,1.2182372688345713,3.8904041539776824,-0.08870025072766533,0.6521621621621622,0.3972972972972973
mlp,61,4245,1.3391467630628116,4.690962230220231,-0.038415891277401276,0.6935217903415783,0.45371024734982335
mlp,62,3833,1.1792649874810774,2.3734122417228076,0.07904343291041029,0.6595356117923298,0.39681711453169843
mlp,63,1816,1.2634780675663744,2.9918268590104025,-0.22201847042933764,0.6569383259911894,0.41244493392070486
mlp,65,398,1.5835221463950684,1.9595304431325402,0.4211554137837929,0.6984924623115578,0.5
nuisance_gated_pair_cnn,58,353,1.5043097210897844,8.85318962424913,0.6161248077022353,0.6940509915014165,0.48441926345609065
nuisance_gated_pair_cnn,59,3753,1.4406970379928226,5.18979140526217,-0.35537200369429084,0.7199573674393819,0.48627764455102584
nuisance_gated_pair_cnn,60,3700,1.340306480538108,6.200551712579842,-0.5471849272257051,0.7005405405405405,0.4524324324324324
nuisance_gated_pair_cnn,61,4245,1.3457099012887999,6.686904211028963,-0.36102602699731223,0.67773851590106,0.44122497055359244
nuisance_gated_pair_cnn,62,3833,1.3736899165154726,4.715907137063222,-0.1770106390388327,0.6973649882598487,0.4688233759457344
nuisance_gated_pair_cnn,63,1816,1.375948350700892,6.258110162302112,-0.4773921380728031,0.7142070484581498,0.4581497797356828
