method,n_pairs,sigma68_ns,rms_ns,bias_ns,tail_abs_gt_0p5_ns,tail_abs_gt_1p0_ns,sigma68_ns_ci_low,sigma68_ns_ci_high,tail_abs_gt_0p5_ns_ci_low,tail_abs_gt_0p5_ns_ci_high,bias_ns_ci_low,bias_ns_ci_high,delta_sigma68_vs_uncorrected_ns_ci_low,delta_sigma68_vs_uncorrected_ns_ci_high
uncorrected,18098,2.9427798696843372,7.7111698643645274,-3.4123731996362503,0.9226433860095038,0.8497071499613217,2.8436211964292726,3.0358506231533355,0.916234359304208,0.9293510543123326,-3.524935839706519,-3.294698338196545,0.0,0.0
traditional_binned_median,18098,1.3755920874689653,6.674657097796208,-0.43208106412027214,0.7117361034368439,0.466460382362692,1.3341567215131493,1.4186209494011222,0.7016450586844593,0.7208713499697389,-0.5746136194490723,-0.28746387672659657,-1.6664437904755318,-1.4503611473956988
ridge,18098,2.389430426792119,5.853091465232808,-0.021449952314444402,0.825671344899989,0.6670350314951928,2.275418343726329,2.5448062837556438,0.8130351795210093,0.8408628408628409,-0.24292839119026333,0.2924622024593848,-0.7305041653950526,-0.31804219378560894
gradient_boosted_trees,18098,1.2195995956853123,4.143319611389769,-0.008365332970239924,0.6632777102442259,0.4055144214830368,1.1881285220723448,1.2588137580821657,0.6575299570730119,0.6708421811914125,-0.09383286425751161,0.15742280784043475,-1.818333323012862,-1.6046396385302186
mlp,18098,1.2543193041649676,3.805471899542551,-0.043252058911721736,0.6673113051165874,0.415073488783291,1.2027473649807026,1.3378650981004725,0.6567885990636415,0.6836031428052846,-0.15822230622404188,0.16314288385720715,-1.811664996414337,-1.5175748055865599
one_dimensional_cnn,18098,1.3891973265575095,5.860339599725894,-0.2550526805542576,0.6995248093712012,0.4609349099347994,1.3604327274350785,1.4182975056463294,0.6959490143333337,0.7063990007851355,-0.3331796126805027,-0.1528894195006411,-1.6503509613635643,-1.4357473043625875
nuisance_gated_pair_cnn,18098,1.3876856465427112,5.846282776270923,-0.33756434497917864,0.7003536302353851,0.4626478063874461,1.3558548462158808,1.4278025029166377,0.6868852712372715,0.7145981306161855,-0.43810850066057005,-0.19692191716035876,-1.6539502335022962,-1.460968482669764
