heldout_run,method,alpha,cv_mae_adc,learning_rate,max_leaf_nodes
58,ridge,0.1,159.94199734448165,,
58,ridge,1.0,159.9453618833943,,
58,ridge,10.0,159.98664890736703,,
58,ridge,100.0,160.4829123113391,,
58,ridge,1000.0,162.47788685946887,,
58,gradient_boosted_trees,,76.82159331246355,0.04,15.0
58,gradient_boosted_trees,,60.640496044546914,0.04,31.0
58,gradient_boosted_trees,,68.01199781662513,0.08,15.0
58,gradient_boosted_trees,,57.05197088511867,0.08,31.0
59,ridge,0.1,148.05550091713346,,
59,ridge,1.0,148.061001148862,,
59,ridge,10.0,148.11865722304802,,
59,ridge,100.0,148.7358454888009,,
59,ridge,1000.0,151.0024922432001,,
59,gradient_boosted_trees,,69.57113382833028,0.04,15.0
59,gradient_boosted_trees,,54.50498777674763,0.04,31.0
59,gradient_boosted_trees,,58.894823779227046,0.08,15.0
59,gradient_boosted_trees,,50.34673353312422,0.08,31.0
60,ridge,0.1,151.87333992181468,,
60,ridge,1.0,151.87407688139285,,
60,ridge,10.0,151.89587859360626,,
60,ridge,100.0,152.40418356643158,,
60,ridge,1000.0,154.35267738244355,,
60,gradient_boosted_trees,,70.0888903891824,0.04,15.0
60,gradient_boosted_trees,,56.08725375264914,0.04,31.0
60,gradient_boosted_trees,,60.03561678355204,0.08,15.0
60,gradient_boosted_trees,,53.33676089846052,0.08,31.0
61,ridge,0.1,148.47897641340202,,
61,ridge,1.0,148.48406438054556,,
61,ridge,10.0,148.54161576261254,,
61,ridge,100.0,149.16348852183563,,
61,ridge,1000.0,151.21124855112856,,
61,gradient_boosted_trees,,68.64831803988504,0.04,15.0
61,gradient_boosted_trees,,55.0492311943521,0.04,31.0
61,gradient_boosted_trees,,58.852506091129406,0.08,15.0
61,gradient_boosted_trees,,50.59835884998648,0.08,31.0
62,ridge,0.1,149.41418836290143,,
62,ridge,1.0,149.41474821982666,,
62,ridge,10.0,149.43093919222977,,
62,ridge,100.0,149.82862012888512,,
62,ridge,1000.0,151.30417749253718,,
62,gradient_boosted_trees,,69.40153785349224,0.04,15.0
62,gradient_boosted_trees,,55.35699590984553,0.04,31.0
62,gradient_boosted_trees,,59.18113027396914,0.08,15.0
62,gradient_boosted_trees,,50.42210501836319,0.08,31.0
63,ridge,0.1,158.1802688250185,,
63,ridge,1.0,158.1731275121266,,
63,ridge,10.0,158.12267834788096,,
63,ridge,100.0,158.20306723944879,,
63,ridge,1000.0,158.82534213527464,,
63,gradient_boosted_trees,,70.68330022607694,0.04,15.0
63,gradient_boosted_trees,,55.87101956403294,0.04,31.0
63,gradient_boosted_trees,,60.409170118533815,0.08,15.0
63,gradient_boosted_trees,,51.42057705036873,0.08,31.0
65,ridge,0.1,150.24507353415805,,
65,ridge,1.0,150.23708185275868,,
65,ridge,10.0,150.19249891640933,,
65,ridge,100.0,150.43120220541954,,
65,ridge,1000.0,151.7567268402342,,
65,gradient_boosted_trees,,70.24740502673507,0.04,15.0
65,gradient_boosted_trees,,55.606094209231685,0.04,31.0
65,gradient_boosted_trees,,60.76648287841571,0.08,15.0
65,gradient_boosted_trees,,51.57137953144329,0.08,31.0
