method,pseudo_run,n,positives,purity_precision,efficiency_recall,balanced_accuracy,brier,f1,roc_auc,average_precision
traditional_deltae_range_cut,0,911,415,0.81182796,0.72771084,0.79329091,0.23607239,0.76747141,0.81335017,0.75803092
traditional_deltae_range_cut,1,866,397,0.81764706,0.70025189,0.78402786,0.22587202,0.75440977,0.81532603,0.73943795
traditional_deltae_range_cut,2,856,395,0.82271468,0.75189873,0.80653505,0.21648774,0.78571429,0.83247755,0.76772743
traditional_deltae_range_cut,3,928,436,0.62680115,0.99770642,0.73564183,0.22457046,0.7699115,0.83853118,0.78911334
traditional_deltae_range_cut,4,919,424,0.8150134,0.71698113,0.7887936,0.22878112,0.76286073,0.81290738,0.75324634
traditional_deltae_range_cut,5,968,456,0.83769634,0.70175439,0.79033032,0.2273971,0.76372315,0.82068085,0.77354528
traditional_deltae_range_cut,6,838,384,0.81764706,0.72395833,0.79369723,0.21401229,0.7679558,0.82358205,0.75587485
traditional_deltae_range_cut,7,897,412,0.84660767,0.69660194,0.79469272,0.2190054,0.76431425,0.8271144,0.76807431
traditional_deltae_range_cut,8,905,409,0.62905719,0.99511002,0.75561953,0.21922,0.77083333,0.85696329,0.80541081
traditional_deltae_range_cut,9,869,391,0.80501393,0.73913043,0.79634346,0.21866581,0.77066667,0.8250115,0.75933267
ridge_logistic_l2,0,911,415,0.8326087,0.92289157,0.88382482,0.095306802,0.87542857,0.9543869,0.94256871
ridge_logistic_l2,1,866,397,0.84123223,0.89420655,0.8756747,0.098557838,0.86691087,0.94764572,0.93825857
ridge_logistic_l2,2,856,395,0.82954545,0.92405063,0.88068041,0.099315812,0.8742515,0.94909251,0.93548567
ridge_logistic_l2,3,928,436,0.83092784,0.92431193,0.87882263,0.10036397,0.87513572,0.94538301,0.93433452
ridge_logistic_l2,4,919,424,0.81223629,0.90801887,0.86411044,0.10085964,0.85746102,0.94135697,0.92872545
ridge_logistic_l2,5,968,456,0.84329897,0.89692982,0.87424616,0.1037005,0.86928799,0.94493558,0.93822217
ridge_logistic_l2,6,838,384,0.83610451,0.91666667,0.88234214,0.088058377,0.87453416,0.95654942,0.94587057
ridge_logistic_l2,7,897,412,0.84738041,0.90291262,0.88238415,0.09508264,0.87426557,0.95411871,0.94677896
ridge_logistic_l2,8,905,409,0.84018265,0.8997555,0.87931323,0.096469286,0.86894923,0.94771374,0.93199984
ridge_logistic_l2,9,869,391,0.83840749,0.91560102,0.88562478,0.092119122,0.87530562,0.95417821,0.94150753
hist_gradient_boosted_trees,0,911,415,0.90604027,0.97590361,0.9456131,0.033001038,0.93967517,0.99316702,0.99186263
hist_gradient_boosted_trees,1,866,397,0.93984962,0.94458438,0.94670584,0.033596738,0.94221106,0.99303411,0.99173859
hist_gradient_boosted_trees,2,856,395,0.91727494,0.95443038,0.94033883,0.033915439,0.93548387,0.99287734,0.99186472
hist_gradient_boosted_trees,3,928,436,0.93932584,0.9587156,0.95191877,0.031503992,0.94892168,0.99402131,0.99321616
hist_gradient_boosted_trees,4,919,424,0.91517857,0.96698113,0.94510673,0.033782776,0.94036697,0.9931842,0.99200443
hist_gradient_boosted_trees,5,968,456,0.94900222,0.93859649,0.94683731,0.03501575,0.94377067,0.99277215,0.99198921
hist_gradient_boosted_trees,6,838,384,0.91919192,0.94791667,0.93871604,0.038913741,0.93333333,0.99048963,0.9888203
hist_gradient_boosted_trees,7,897,412,0.95320197,0.93932039,0.95007257,0.030760078,0.94621027,0.99441497,0.993324
hist_gradient_boosted_trees,8,905,409,0.95728643,0.93154034,0.94863307,0.032513066,0.94423792,0.99382345,0.99223708
hist_gradient_boosted_trees,9,869,391,0.94087404,0.93606138,0.94397211,0.036651538,0.93846154,0.9915997,0.98986276
sklearn_mlp,0,911,415,0.90358744,0.97108434,0.94219539,0.034056657,0.93612079,0.99299942,0.99199376
sklearn_mlp,1,866,397,0.93266833,0.94206549,0.9422481,0.03703063,0.93734336,0.99158937,0.99023578
sklearn_mlp,2,856,395,0.93516209,0.94936709,0.94648398,0.033867724,0.94221106,0.99312996,0.99250146
sklearn_mlp,3,928,436,0.94090909,0.94954128,0.94834788,0.036613513,0.94520548,0.99054132,0.99096747
sklearn_mlp,4,919,424,0.90929204,0.96933962,0.94325567,0.037151159,0.93835616,0.99130932,0.99020111
sklearn_mlp,5,968,456,0.92887931,0.94517544,0.94036116,0.042304957,0.93695652,0.98943771,0.98855043
sklearn_mlp,6,838,384,0.93023256,0.9375,0.93901432,0.037262476,0.93385214,0.991264,0.98999636
sklearn_mlp,7,897,412,0.94634146,0.94174757,0.94819337,0.037481075,0.94403893,0.99269342,0.99175038
sklearn_mlp,8,905,409,0.9354067,0.95599022,0.95077737,0.034854766,0.94558646,0.99315798,0.99185184
sklearn_mlp,9,869,391,0.9060241,0.96163683,0.94002344,0.039731325,0.93300248,0.99143383,0.98998703
torch_1d_cnn,0,911,415,0.93764988,0.94216867,0.94487466,0.034681428,0.93990385,0.99275165,0.99168261
torch_1d_cnn,1,866,397,0.96747967,0.89924433,0.93682899,0.033064716,0.93211488,0.99359267,0.99254073
torch_1d_cnn,2,856,395,0.89786223,0.95696203,0.93184327,0.035041394,0.92647059,0.99247645,0.99165898
torch_1d_cnn,3,928,436,0.89384289,0.96559633,0.93198516,0.039702487,0.92833517,0.98865798,0.98903163
torch_1d_cnn,4,919,424,0.89677419,0.98349057,0.94326043,0.038647281,0.93813273,0.99192872,0.99097963
torch_1d_cnn,5,968,456,0.92259414,0.96710526,0.94741982,0.037375555,0.94432548,0.99200761,0.99137094
torch_1d_cnn,6,838,384,0.92525773,0.93489583,0.93550959,0.039218943,0.93005181,0.9902143,0.98873365
torch_1d_cnn,7,897,412,0.96391753,0.90776699,0.93945051,0.034128188,0.935,0.99315384,0.99224587
torch_1d_cnn,8,905,409,0.86469345,1,0.93548387,0.041502722,0.92743764,0.99033343,0.98837114
torch_1d_cnn,9,869,391,0.89095128,0.98209719,0.94188541,0.03774292,0.93430657,0.99174951,0.99031493
physics_gated_cnn,0,911,415,0.64241486,1,0.7671371,0.253567,0.78228087,0.7671371,0.64241486
physics_gated_cnn,1,866,397,1,0.79345088,0.89672544,0.094688032,0.88483146,0.89672544,0.8881391
physics_gated_cnn,2,856,395,0.76504854,0.99746835,0.86749773,0.14252308,0.86593407,0.86749773,0.76427994
physics_gated_cnn,3,928,436,0.66009105,0.99770642,0.77121093,0.24245641,0.79452055,0.77120627,0.65965466
physics_gated_cnn,4,919,424,1,0.80896226,0.90448113,0.088139106,0.89439374,0.90448113,0.89710155
physics_gated_cnn,5,968,456,0.99723757,0.79166667,0.89485677,0.099173355,0.88264059,0.89485677,0.88762024
physics_gated_cnn,6,838,384,0.45823389,1,0.5,0.091885258,0.62847791,0.89994035,0.89017972
physics_gated_cnn,7,897,412,0.45930881,1,0.5,0.1828313,0.62948816,0.83092784,0.71527778
physics_gated_cnn,8,905,409,0.4519337,1,0.5,0.10055229,0.62252664,0.88896749,0.87696127
physics_gated_cnn,9,869,391,0.44994246,1,0.5,0.20713179,0.62063492,0.81276151,0.68596491
