fold_pseudo_run,method,threshold
0,traditional_deltae_range_cut,0.95862142
0,ridge_logistic_l2,0.58772267
0,hist_gradient_boosted_trees,0.40043713
0,sklearn_mlp,0.46124583
0,torch_1d_cnn,0.49095735
0,physics_gated_cnn,1
1,traditional_deltae_range_cut,0.9586304
1,ridge_logistic_l2,0.57402199
1,hist_gradient_boosted_trees,0.50016767
1,sklearn_mlp,0.4585951
1,torch_1d_cnn,0.62134016
1,physics_gated_cnn,1
2,traditional_deltae_range_cut,0.95861747
2,ridge_logistic_l2,0.56785325
2,hist_gradient_boosted_trees,0.4774815
2,sklearn_mlp,0.46954167
2,torch_1d_cnn,0.36520725
2,physics_gated_cnn,1
3,traditional_deltae_range_cut,0.30901463
3,ridge_logistic_l2,0.57373479
3,hist_gradient_boosted_trees,0.48716842
3,sklearn_mlp,0.52603811
3,torch_1d_cnn,0.39379287
3,physics_gated_cnn,1
4,traditional_deltae_range_cut,0.95858842
4,ridge_logistic_l2,0.55438172
4,hist_gradient_boosted_trees,0.47152956
4,sklearn_mlp,0.42470852
4,torch_1d_cnn,0.42788839
4,physics_gated_cnn,1
5,traditional_deltae_range_cut,0.95862339
5,ridge_logistic_l2,0.5815679
5,hist_gradient_boosted_trees,0.50577395
5,sklearn_mlp,0.45082903
5,torch_1d_cnn,0.47942969
5,physics_gated_cnn,1.5154767e-05
6,traditional_deltae_range_cut,0.95863058
6,ridge_logistic_l2,0.57249116
6,hist_gradient_boosted_trees,0.47349564
6,sklearn_mlp,0.54485029
6,torch_1d_cnn,0.49785849
6,physics_gated_cnn,4.2483545e-18
7,traditional_deltae_range_cut,0.95860083
7,ridge_logistic_l2,0.57571245
7,hist_gradient_boosted_trees,0.47986736
7,sklearn_mlp,0.34747413
7,torch_1d_cnn,0.57530594
7,physics_gated_cnn,4.2483545e-18
8,traditional_deltae_range_cut,0.31202424
8,ridge_logistic_l2,0.57529746
8,hist_gradient_boosted_trees,0.50767972
8,sklearn_mlp,0.47131005
8,torch_1d_cnn,0.40670201
8,physics_gated_cnn,4.2483545e-18
9,traditional_deltae_range_cut,0.95862393
9,ridge_logistic_l2,0.56414857
9,hist_gradient_boosted_trees,0.55457861
9,sklearn_mlp,0.5303759
9,torch_1d_cnn,0.41415784
9,physics_gated_cnn,4.2483545e-18
