check,value,pass,interpretation
feature_excludes_event_track_run_and_label,1.0,True,Feature matrix uses only Sci_bar per-layer EDep and derived charge/range summaries.
shuffled_training_label_logistic_auc,0.48190932209913406,True,Chance-like ranking when the training labels are shuffled inside each pseudo-run fold.
intentional_label_oracle_auc,1.0,True,The audit would detect direct label leakage.
