layer,mapped_stave,n_hits,n_hits_gt10MeV,mean_edep_MeV,median_edep_MeV,p_frac,d_frac,mean_z_mm
0,B2,10902,9135,23.268193,18.447378,0.49935792,0.39258852,76.101405
1,B2,8514,7206,20.851937,14.869135,0.55167959,0.35870331,80.384856
2,B4,5233,4365,20.272086,14.869443,0.69864323,0.1901395,87.381216
3,B4,4184,3550,17.502916,16.207414,0.74043977,0.17782027,90.584268
4,B6,2961,2537,17.036289,18.235902,0.89496792,0.0043904086,92.504264
5,B6,2865,2422,23.393749,22.647352,0.88097731,0.0066317627,94.03379
6,B8,2027,1738,23.404891,20.231668,0.91169216,0.005426739,98.6125
7,B8,980,808,19.916119,23.012299,0.8877551,0.0091836735,106.60389
