mode,run,n_events,base_sigma68_ns,base_n_pairs,traditional_sigma68_ns,traditional_n_pairs,ml_sigma68_ns,ml_n_pairs,ml_shuffled_sigma68_ns,ml_shuffled_n_pairs
b2_heldout,58,72,3.6456856104104385,432,3.9789442394192287,432,4.041265742244755,432,3.5074524708527384,432
b2_heldout,59,749,3.233943961531061,4494,3.498418802112404,4494,3.4115493166278856,4494,3.3421239215590672,4494
b2_heldout,60,802,3.014569480503283,4812,3.2461683986350884,4812,3.3495486454602057,4812,3.1331285770814947,4812
b2_heldout,61,925,2.8186463915967837,5550,3.889831009743151,5550,3.761463694907384,5550,2.9324772738375704,5550
b2_heldout,62,798,3.0945267194630546,4788,3.250570459900864,4788,3.2118167547504246,4788,3.190441809913371,4788
b2_heldout,63,365,3.7565673884240343,2190,3.7613030949300317,2190,3.662604824729245,2190,3.746433784053126,2190
b2_heldout,65,63,3.342522605512409,378,3.933608427437584,378,4.014890718961129,378,3.3398211696844227,378
b2_included,58,72,3.6456856104104385,432,2.6380874730068475,432,3.0758651725481974,432,4.072068229970332,432
b2_included,59,749,3.233943961531061,4494,2.4638441242745692,4494,2.5584577087764275,4494,3.6394924354926466,4494
b2_included,60,802,3.014569480503283,4812,2.048069976675759,4812,2.4406387736383186,4812,3.283433124871487,4812
b2_included,61,925,2.8186463915967837,5550,2.182377813173951,5550,2.3923462377915987,5550,3.2140181950901043,5550
b2_included,62,798,3.0945267194630546,4788,2.0852590225198924,4788,2.2539877540028193,4788,3.381765249802229,4788
b2_included,63,365,3.7565673884240343,2190,2.7294739474645064,2190,2.9159705676363443,2190,4.085922687243978,2190
b2_included,65,63,3.342522605512409,378,2.3195841521627605,378,2.604585384081411,378,3.6583757551482976,378
