stave,bin,amp_low_adc,amp_high_adc,n_train,correction_ns,source,mode
B4,0,1000.0,1500.0,39,-1.0632966667776316,stave_amp_bin,b2_heldout
B4,1,1500.0,2200.0,91,-4.148524773436087,stave_amp_bin,b2_heldout
B4,2,2200.0,3200.0,74,-4.008317399562106,stave_amp_bin,b2_heldout
B4,3,3200.0,4700.0,2,-4.01130642765736,stave_fallback,b2_heldout
B4,4,4700.0,6800.0,1,-4.01130642765736,stave_fallback,b2_heldout
B4,5,6800.0,10000.0,0,-4.01130642765736,stave_fallback,b2_heldout
B4,6,10000.0,15000.0,0,-4.01130642765736,stave_fallback,b2_heldout
B4,7,15000.0,25000.0,0,-4.01130642765736,stave_fallback,b2_heldout
B6,0,1000.0,1500.0,28,-1.2730208743513387,stave_amp_bin,b2_heldout
B6,1,1500.0,2200.0,91,1.9884311807685222,stave_amp_bin,b2_heldout
B6,2,2200.0,3200.0,84,2.332958892082843,stave_amp_bin,b2_heldout
B6,3,3200.0,4700.0,3,2.026915286200783,stave_fallback,b2_heldout
B6,4,4700.0,6800.0,1,2.026915286200783,stave_fallback,b2_heldout
B6,5,6800.0,10000.0,0,2.026915286200783,stave_fallback,b2_heldout
B6,6,10000.0,15000.0,0,2.026915286200783,stave_fallback,b2_heldout
B6,7,15000.0,25000.0,0,2.026915286200783,stave_fallback,b2_heldout
B8,0,1000.0,1500.0,9,2.1116878323161075,stave_fallback,b2_heldout
B8,1,1500.0,2200.0,30,3.0451539580051374,stave_amp_bin,b2_heldout
B8,2,2200.0,3200.0,85,2.5857960438785597,stave_amp_bin,b2_heldout
B8,3,3200.0,4700.0,75,0.9248354489995236,stave_amp_bin,b2_heldout
B8,4,4700.0,6800.0,8,2.1116878323161075,stave_fallback,b2_heldout
B8,5,6800.0,10000.0,0,2.1116878323161075,stave_fallback,b2_heldout
B8,6,10000.0,15000.0,0,2.1116878323161075,stave_fallback,b2_heldout
B8,7,15000.0,25000.0,0,2.1116878323161075,stave_fallback,b2_heldout
B2,0,1000.0,1500.0,12,-3.405975634990533,stave_fallback,b2_included
B2,1,1500.0,2200.0,51,-2.7070548773603136,stave_amp_bin,b2_included
B2,2,2200.0,3200.0,77,-3.344856934652441,stave_amp_bin,b2_included
B2,3,3200.0,4700.0,29,-6.064802834882286,stave_amp_bin,b2_included
B2,4,4700.0,6800.0,25,-4.5585762966660255,stave_amp_bin,b2_included
B2,5,6800.0,10000.0,13,-3.405975634990533,stave_fallback,b2_included
B2,6,10000.0,15000.0,0,-3.405975634990533,stave_fallback,b2_included
B2,7,15000.0,25000.0,0,-3.405975634990533,stave_fallback,b2_included
B4,0,1000.0,1500.0,39,0.45411872178676305,stave_amp_bin,b2_included
B4,1,1500.0,2200.0,91,-2.6609046368915656,stave_amp_bin,b2_included
B4,2,2200.0,3200.0,74,-2.0712061810894333,stave_amp_bin,b2_included
B4,3,3200.0,4700.0,2,-2.124859712715775,stave_fallback,b2_included
B4,4,4700.0,6800.0,1,-2.124859712715775,stave_fallback,b2_included
B4,5,6800.0,10000.0,0,-2.124859712715775,stave_fallback,b2_included
B4,6,10000.0,15000.0,0,-2.124859712715775,stave_fallback,b2_included
B4,7,15000.0,25000.0,0,-2.124859712715775,stave_fallback,b2_included
B6,0,1000.0,1500.0,28,0.0318113517849028,stave_amp_bin,b2_included
B6,1,1500.0,2200.0,91,2.956473126195206,stave_amp_bin,b2_included
B6,2,2200.0,3200.0,84,3.872521825275996,stave_amp_bin,b2_included
B6,3,3200.0,4700.0,3,3.148795863150056,stave_fallback,b2_included
B6,4,4700.0,6800.0,1,3.148795863150056,stave_fallback,b2_included
B6,5,6800.0,10000.0,0,3.148795863150056,stave_fallback,b2_included
B6,6,10000.0,15000.0,0,3.148795863150056,stave_fallback,b2_included
B6,7,15000.0,25000.0,0,3.148795863150056,stave_fallback,b2_included
B8,0,1000.0,1500.0,9,3.2712552211944086,stave_fallback,b2_included
B8,1,1500.0,2200.0,30,3.0568662777717677,stave_amp_bin,b2_included
B8,2,2200.0,3200.0,85,3.6665195162568978,stave_amp_bin,b2_included
B8,3,3200.0,4700.0,75,1.8133536323166695,stave_amp_bin,b2_included
B8,4,4700.0,6800.0,8,3.2712552211944086,stave_fallback,b2_included
B8,5,6800.0,10000.0,0,3.2712552211944086,stave_fallback,b2_included
B8,6,10000.0,15000.0,0,3.2712552211944086,stave_fallback,b2_included
B8,7,15000.0,25000.0,0,3.2712552211944086,stave_fallback,b2_included
