alpha_global,alpha_dev,fold,sigma68_ns,n_pair_residuals,heldout_run
0.01,10000.0,1,1.3198531146710486,2841,63
0.01,10000.0,2,1.3734000255546837,4710,63
0.01,10000.0,-1,1.591515179689477,0,63
0.1,1.0,0,2.0039467358526424,2799,63
0.1,1.0,1,1.2455817977236863,2841,63
0.1,1.0,2,1.4370305866476267,4710,63
0.1,1.0,-1,1.562186373407985,0,63
0.1,10.0,0,2.069837714703794,2799,63
0.1,10.0,1,1.3277628930279715,2841,63
0.1,10.0,2,1.4854477606247152,4710,63
0.1,10.0,-1,1.6276827894521604,0,63
0.1,100.0,0,2.0760708405087005,2799,63
0.1,100.0,1,1.3370438902196184,2841,63
0.1,100.0,2,1.470161787692907,4710,63
0.1,100.0,-1,1.6277588394737421,0,63
0.1,1000.0,0,2.082429739981138,2799,63
0.1,1000.0,1,1.3333947093424567,2841,63
0.1,1000.0,2,1.426051892454147,4710,63
0.1,1000.0,-1,1.6139587805925808,0,63
0.1,10000.0,0,2.086137182704251,2799,63
0.1,10000.0,1,1.3223293725734777,2841,63
0.1,10000.0,2,1.3847485637283479,4710,63
0.1,10000.0,-1,1.5977383730020256,0,63
1.0,1.0,0,1.5432038351381436,2799,63
1.0,1.0,1,0.9143054451603112,2841,63
1.0,1.0,2,1.1445562416242696,4710,63
1.0,1.0,-1,1.2006885073075748,0,63
1.0,10.0,0,2.004594219317333,2799,63
1.0,10.0,1,1.2622170178110947,2841,63
1.0,10.0,2,1.4504703638404737,4710,63
1.0,10.0,-1,1.5724272003229671,0,63
1.0,100.0,0,2.068934195468096,2799,63
1.0,100.0,1,1.3441861569516915,2841,63
1.0,100.0,2,1.4879655871937447,4710,63
1.0,100.0,-1,1.6336953132045107,0,63
1.0,1000.0,0,2.0722026254228596,2799,63
1.0,1000.0,1,1.3515967585701538,2841,63
1.0,1000.0,2,1.4543191252178753,4710,63
1.0,1000.0,-1,1.626039503070296,0,63
1.0,10000.0,0,2.0840423166600885,2799,63
1.0,10000.0,1,1.3431546444265463,2841,63
1.0,10000.0,2,1.4267421084116707,4710,63
1.0,10000.0,-1,1.6179796898327685,0,63
10.0,1.0,0,1.480941004504968,2799,63
10.0,1.0,1,2.0312000758720736,2841,63
10.0,1.0,2,1.878535849565142,4710,63
10.0,1.0,-1,1.796892309980728,0,63
10.0,10.0,0,1.5320732379513744,2799,63
10.0,10.0,1,0.9208664824825461,2841,63
10.0,10.0,2,1.135853286488011,4710,63
10.0,10.0,-1,1.1962643356406437,0,63
