group,stave,n,q_template_rmse_median,q_template_rmse_p68,q_template_rmse_p95,q_autoencoder_rmse_median
sample_i_analysis,B2,241422,0.03487192021517929,0.04429161559859544,0.28975662450262923,0.013635743409395218
sample_i_analysis,B4,6451,0.03682495910804282,0.05277081678079064,0.34932739939099033,0.0485796183347702
sample_i_analysis,B6,3094,0.03370061153105819,0.04976897692695171,0.23636440663788622,0.034564848989248276
sample_i_analysis,B8,1299,0.033487428089805815,0.04684674377113033,0.19771348664978403,0.043241389095783234
sample_i_calib,B2,237882,0.036369567799854535,0.04685196250811164,0.31612678594842386,0.014862516894936562
sample_i_calib,B4,6747,0.03866694258290716,0.055188339357348765,0.32506065607791734,0.044966474175453186
sample_i_calib,B6,2940,0.03290196536346514,0.04727052522097051,0.2281326492145939,0.035691022872924805
sample_i_calib,B8,1176,0.03170447800201048,0.045169303568156585,0.2053495377982995,0.0400882288813591
sample_ii_analysis,B2,88213,0.04034900781367787,0.05758976607073497,0.36132702796202537,0.024161947891116142
sample_ii_analysis,B4,21229,0.04517464810507771,0.06414841929907959,0.37214173449319526,0.029920412227511406
sample_ii_analysis,B6,11148,0.037843897976534806,0.05310905513580104,0.32568059263006943,0.030248869210481644
sample_ii_analysis,B8,4506,0.044079141025587666,0.06185163920657048,0.3224322250422336,0.03886682540178299
sample_ii_calib,B2,11907,0.038719068936275844,0.05627560735504429,0.3560933446484634,0.022901540622115135
sample_ii_calib,B4,1689,0.04015411565074699,0.056493090304025474,0.3559787975563928,0.0280485637485981
sample_ii_calib,B6,763,0.034877793580032256,0.0511463828810628,0.28702102651232153,0.029255175963044167
sample_ii_calib,B8,271,0.0390986588135449,0.058102490177230764,0.21814015489646774,0.033329274505376816
