fold,val_mse,latent_dim,hidden_dim
1,0.02800178714096546,4,16
2,0.03423349931836128,4,16
3,0.027298368513584137,4,16
mean,0.02984455165763696,4,16
1,0.022288905456662178,4,32
2,0.01898745447397232,4,32
3,0.05264141783118248,4,32
mean,0.03130592592060566,4,32
1,0.01664496399462223,8,16
2,0.02745196223258972,8,16
3,0.027998685836791992,8,16
mean,0.024031870688001316,8,16
1,0.01604165881872177,8,32
2,0.01686927303671837,8,32
3,0.016535472124814987,8,32
mean,0.01648213466008504,8,32
