run,method,n,charge_bias_median_frac,charge_res68_abs_frac,charge_full_rms_frac,charge_within10_frac,time_bias_median_ns,time_abs68_ns,time_full_rms_ns,charge_res68_abs_frac_ci95,time_abs68_ns_ci95,charge_bias_median_frac_ci95,time_bias_median_ns_ci95
31,ml_ratio_transfer,12235,0.15746714929268069,0.17931598866820248,0.5435606369588624,0.07323252962811606,0.17061472283976542,0.21944503543754082,0.5562503366197339,"[0.17813493705952418, 0.18031349736744026]","[0.21459092158194576, 0.22398382123855795]","[0.15648772416440015, 0.1584110768635292]","[0.1692396566406842, 0.1716094910132268]"
31,observed_raw,12235,0.1035894018327781,0.12406349009009293,0.5004863635849046,0.46456885982836127,-0.08592836624415057,0.2072461301616055,0.6002395433508216,"[0.12288439276828907, 0.12497027483477832]","[0.2000254994307266, 0.21439342176357376]","[0.10262454144570243, 0.1045005032902768]","[-0.09048013044949191, -0.08096846443600043]"
31,traditional_template,12235,0.1035894018327781,0.12405453380794661,0.5004798399332467,0.46489579076420107,-0.08554305408109286,0.20732084835841083,0.6002481106084547,"[0.12306627387350326, 0.1250003359222796]","[0.2007591350779389, 0.21404993244153145]","[0.10278818212204549, 0.10436426240560218]","[-0.09004386721272466, -0.08075575601286289]"
32,ml_ratio_transfer,11991,0.1546816497317666,0.17780618612837354,0.7758381018234345,0.07213743641064131,0.1681384576908549,0.2205680318951572,0.5731449501849047,"[0.1764568765820036, 0.17892013474075305]","[0.21562193691376863, 0.2247456474737705]","[0.15377852448591006, 0.15560228809211268]","[0.16679864481610096, 0.16919679617277633]"
32,observed_raw,11991,0.10141902796169078,0.12259753492544216,0.7243232438459993,0.48386289717287967,-0.08899033183656613,0.20950987627647374,0.6181165396340123,"[0.1214092975734554, 0.12374431063504152]","[0.2024933337636926, 0.21683184817692483]","[0.10037391079305237, 0.10234190047444902]","[-0.0941594164468463, -0.0850413690152247]"
32,traditional_template,11991,0.10141902796169078,0.12251688566867519,0.7243199079734449,0.48419648069385374,-0.08896984665203433,0.20977599474249972,0.6181295151155698,"[0.12139569131936953, 0.1237021447479805]","[0.20330290195437564, 0.21649403480344642]","[0.10038951800363127, 0.1021762998307331]","[-0.09347915052124493, -0.08436177128121569]"
33,ml_ratio_transfer,16066,0.1463489783925392,0.16300047320593927,0.6462320306986035,0.05931781401717914,0.188732082393825,0.20698550156398385,0.45237204585047414,"[0.16225437098129175, 0.1636361640281158]","[0.20615815876595744, 0.20798412807483543]","[0.14567979276837284, 0.14698463216693441]","[0.1882731230168034, 0.1892727763012357]"
33,observed_raw,16066,0.09095908806348188,0.10699670257687971,0.602317526571123,0.6038839785883232,0.00953642687798073,0.05802024262324963,0.4352339535057508,"[0.10635450152545034, 0.10761627737631613]","[0.05510056365878734, 0.06239660592828116]","[0.09021120653586262, 0.09162102564922209]","[0.008614607914375672, 0.010324527708647623]"
33,traditional_template,16066,0.09095908806348188,0.1069816411591589,0.6115330389069289,0.6041951948213619,0.009596073125763382,0.05846267231150933,0.43541106563399523,"[0.10629986685093128, 0.10775576743709858]","[0.05514656160973906, 0.06261257857001426]","[0.09030448061199214, 0.09166829270548649]","[0.008677364821077126, 0.010324497757463113]"
34,ml_ratio_transfer,15541,0.153864722061004,0.17382703987251746,0.22660540933204407,0.05257061965124509,0.20159270249226502,0.22133473789145947,0.3796129105947684,"[0.1731080535850698, 0.17495635703044818]","[0.22033717517025062, 0.22242747732195806]","[0.15300039327977852, 0.15466608755915448]","[0.20089345296119615, 0.20240612576215317]"
34,observed_raw,15541,0.09511951383909258,0.11245374894426617,0.1785621472451071,0.5529888681552023,0.003390715070809236,0.0755585132625722,0.35735575469126174,"[0.11159681480445603, 0.11339623113112829]","[0.07261768806043199, 0.07887681872189063]","[0.09439980984459197, 0.09580092684096804]","[0.0018594225372732254, 0.0046800234571195524]"
