run,method,n,bias_median_frac,res68_abs_frac,within10_frac
31,ml_ratio_transfer,42669,0.00010863849562640903,0.023675512145591996,0.9230588952166678
31,observed_raw,42669,-0.20000000000000007,0.3548387096774194,0.25744685837493264
31,traditional_template,42669,-0.047619047619047616,0.19975855797562184,0.5007616770957838
32,ml_ratio_transfer,44644,8.696686129492814e-05,0.024946955552188458,0.9197428545829227
32,observed_raw,44644,-0.20000000000000007,0.3548387096774194,0.25804139414031
32,traditional_template,44644,-0.04761904761904762,0.19999999999999996,0.5012991667413315
33,ml_ratio_transfer,97844,0.00010591758926594085,0.002533203550124241,0.9585360369567884
33,observed_raw,97844,-0.20000000000000007,0.3548387096774194,0.2520338498017252
33,traditional_template,97844,0.022836953717830913,0.17829985667139442,0.546931850701116
34,ml_ratio_transfer,51479,0.0001092795626179222,0.00252604548909193,0.9603527652052293
34,observed_raw,51479,-0.20000000000000007,0.3548387096774194,0.25264671030905805
34,traditional_template,51479,0.006146082290270923,0.16597560317323035,0.5556828998232289
35,ml_ratio_transfer,30338,0.00011085980424652482,0.03812724151842295,0.9036851473399696
35,observed_raw,30338,-0.20000000000000004,0.3548387096774194,0.2631353418155449
35,traditional_template,30338,-0.04761904761904774,0.2,0.4525677368316962
36,ml_ratio_transfer,23803,0.00010314686293050283,0.036786358289628444,0.9093391589295466
36,observed_raw,23803,-0.20000000000000004,0.3548387096774194,0.2624038986682351
36,traditional_template,23803,-0.04761904761904773,0.2,0.45918581691383437
37,ml_ratio_transfer,53923,6.924931802173064e-05,0.037783144908417464,0.9008957216772064
37,observed_raw,53923,-0.20000000000000007,0.3548387096774194,0.26153960276690835
37,traditional_template,53923,-0.049987468318132416,0.20000000000000004,0.45347996216827696
39,ml_ratio_transfer,32612,8.491346288887512e-05,0.039551134112974784,0.8981356555869006
39,observed_raw,32612,-0.20000000000000007,0.3548387096774194,0.2617748068195756
39,traditional_template,32612,-0.052752168513311104,0.2,0.45277811848399363
40,ml_ratio_transfer,34868,6.795867894570051e-05,0.038910034718543034,0.8972410232878284
40,observed_raw,34868,-0.20000000000000004,0.3548387096774194,0.2624182631639325
40,traditional_template,34868,-0.06024315453247361,0.20000000000000004,0.44456234943214407
41,ml_ratio_transfer,36894,0.00011579648761542367,0.03904921908941973,0.8952675231744999
41,observed_raw,36894,-0.20000000000000007,0.3548387096774194,0.26237328562909956
41,traditional_template,36894,-0.05422841987335554,0.20000000000000004,0.44999186859651974
42,ml_ratio_transfer,36100,0.00011449602838852743,0.036141470826624764,0.9051246537396122
42,observed_raw,36100,-0.20000000000000007,0.3548387096774194,0.261218836565097
42,traditional_template,36100,-0.04761904761904773,0.2,0.45941828254847644
44,ml_ratio_transfer,4584,4.7346882599063974e-05,0.03770209906880614,0.9044502617801047
44,observed_raw,4584,-0.20000000000000004,0.3548387096774194,0.2630890052356021
44,traditional_template,4584,-0.047619047619047714,0.2,0.4489528795811518
45,ml_ratio_transfer,51605,7.475308963814351e-05,0.03653318613392706,0.8996415076058522
45,observed_raw,51605,-0.20000000000000007,0.3548387096774194,0.26045925782385426
45,traditional_template,51605,-0.04761904761904773,0.2,0.4606336595291154
46,ml_ratio_transfer,1678,7.074201727936969e-05,0.03445835971625717,0.9225268176400476
46,observed_raw,1678,-0.20000000000000004,0.3548387096774194,0.26460071513706795
46,traditional_template,1678,-0.04761904761904768,0.19999999999999998,0.47794994040524436
47,ml_ratio_transfer,12254,0.00016506542971197818,0.031975162808678285,0.9244328382568957
47,observed_raw,12254,-0.20000000000000007,0.3548387096774194,0.26187367390239924
47,traditional_template,12254,-0.04761904761904768,0.19999999999999998,0.4738044720091399
48,ml_ratio_transfer,33527,8.328589972418765e-05,0.03721909407696374,0.9010946401407821
48,observed_raw,33527,-0.20000000000000007,0.3548387096774194,0.2624153667193605
48,traditional_template,33527,-0.06207720485288892,0.20000000000000004,0.4435827840248158
49,ml_ratio_transfer,35056,9.933845679222154e-05,0.03749115375031171,0.8991613418530351
49,observed_raw,35056,-0.20000000000000004,0.3548387096774194,0.26269397535371974
49,traditional_template,35056,-0.0497194377044626,0.20000000000000004,0.4483968507530808
50,ml_ratio_transfer,41186,-0.0002361538707991067,0.010308147665129476,0.9367503520613801
50,observed_raw,41186,-0.20000000000000007,0.3548387096774194,0.2552080804156752
50,traditional_template,41186,-0.028344020441001885,0.18229345102239497,0.5270480260282621
51,ml_ratio_transfer,19601,0.00012716809480765005,0.014140756706698246,0.932554461507066
51,observed_raw,19601,-0.20000000000000007,0.3548387096774194,0.2568746492525891
51,traditional_template,19601,-0.03970559288090115,0.19685423955138562,0.5174225804805878
52,ml_ratio_transfer,9312,1.2289814722213315e-05,0.013672384597828467,0.9294458762886598
52,observed_raw,9312,-0.20000000000000007,0.3548387096774194,0.25665807560137455
52,traditional_template,9312,-0.03855240698936839,0.19909029386125557,0.5135309278350515
53,ml_ratio_transfer,49374,-0.00025684512539859733,0.003331851991701415,0.9502572203994005
53,observed_raw,49374,-0.20000000000000007,0.3548387096774194,0.2537570381172277
53,traditional_template,49374,-0.007466498910590111,0.17346829965923852,0.5454490217523393
54,ml_ratio_transfer,46606,-0.00021461371670754558,0.004042066341020056,0.9488477878384758
54,observed_raw,46606,-0.20000000000000007,0.3548387096774194,0.2535725013946702
54,traditional_template,46606,-0.005596534403396865,0.17537447213441987,0.5422477792558899
55,ml_ratio_transfer,23458,-0.0003140124951272552,0.013903241242519696,0.9288089351180834
55,observed_raw,23458,-0.20000000000000007,0.3548387096774194,0.256245204194731
55,traditional_template,23458,-0.03904046748739001,0.1924915135491287,0.5176911927700572
56,ml_ratio_transfer,48620,-0.0001328056906263441,0.013965052753857284,0.9277457836281365
56,observed_raw,48620,-0.20000000000000007,0.3548387096774194,0.255779514603044
56,traditional_template,48620,-0.03941715019736125,0.18786894332606255,0.5178527354997943
57,ml_ratio_transfer,33087,6.959078619896806e-05,0.03947132529987881,0.8925559887569136
57,observed_raw,33087,-0.20000000000000007,0.3548387096774194,0.2621271194124581
57,traditional_template,33087,-0.05806011311762833,0.20000000000000004,0.4434067760751957
58,ml_ratio_transfer,46900,0.00010154825557807701,0.03646358286084032,0.9044776119402985
58,observed_raw,46900,-0.20000000000000004,0.3548387096774194,0.2622814498933902
58,traditional_template,46900,-0.09691125989294545,0.21098956804177207,0.4307889125799574
59,ml_ratio_transfer,38404,6.718705712986438e-05,0.051709741558484186,0.8539995833767315
59,observed_raw,38404,-0.20000000000000004,0.3548387096774194,0.2689823976669097
59,traditional_template,38404,-0.19999999999999993,0.27564695831635155,0.3586084782835121
60,ml_ratio_transfer,28870,7.622065347035126e-05,0.05229105020793082,0.8578801524073433
60,observed_raw,28870,-0.20000000000000004,0.3548387096774194,0.2644613785936959
60,traditional_template,28870,-0.19999999999999996,0.29536429092208316,0.3486664357464496
61,ml_ratio_transfer,32809,6.913373786164436e-05,0.051535582438759796,0.8657380596787467
61,observed_raw,32809,-0.20000000000000004,0.3548387096774194,0.2647749093236612
61,traditional_template,32809,-0.19999999999999998,0.3010709222631437,0.34335090981133226
62,ml_ratio_transfer,33694,3.607839279341686e-05,0.05182986829975058,0.8605389683623197
62,observed_raw,33694,-0.20000000000000004,0.3548387096774194,0.26820798955303615
62,traditional_template,33694,-0.19999999999999996,0.2901413022280224,0.35181337923665934
63,ml_ratio_transfer,41068,-0.00017228449481071294,0.04348348943499983,0.8848982175903379
63,observed_raw,41068,-0.20000000000000004,0.3548387096774194,0.26809194506671863
63,traditional_template,41068,-0.19114376795206203,0.26152945372936354,0.37033700204538816
64,ml_ratio_transfer,33726,-0.00024485897268055744,0.04206505712151435,0.8894324853228963
64,observed_raw,33726,-0.20000000000000004,0.3548387096774194,0.27038486627527725
