run,group,events_total,s00_selected_pulses,b2_selected,b2_high,b2_high_odd_ok,b2_clean
31,sample_i_calib,39990,27871,26948,12235,12235,10985
32,sample_i_calib,41921,28240,27316,11991,11991,11520
33,sample_i_calib,57173,48737,47724,16066,16066,24660
34,sample_i_calib,39765,34118,33373,15541,15541,13006
35,sample_i_calib,27786,11667,11029,1411,1411,7983
36,sample_i_calib,21764,10391,9847,2143,2143,6246
37,sample_i_calib,50513,24537,22956,4947,4947,14103
39,sample_i_calib,30321,14218,13174,2306,2305,8537
40,sample_i_calib,32613,14708,13575,1985,1985,9150
41,sample_i_calib,33997,16146,14963,2727,2727,9680
42,sample_i_calib,33972,18112,16977,4895,4895,9430
44,sample_i_analysis,4294,2038,1884,334,334,1206
45,sample_i_analysis,48181,24333,22786,5466,5466,13441
46,sample_i_analysis,1441,687,675,144,144,444
47,sample_i_analysis,10970,5276,5116,1268,1268,3209
48,sample_i_analysis,31713,14000,13044,1986,1986,8798
49,sample_i_analysis,32354,14815,13779,2153,2153,9209
50,sample_i_analysis,44804,35217,34088,19490,19489,10511
51,sample_i_analysis,20569,14740,14200,7247,7247,5035
52,sample_i_analysis,10005,7152,6893,3623,3623,2390
53,sample_i_analysis,39612,32200,31225,13960,13960,12529
54,sample_i_analysis,37413,30440,29493,13282,13282,11818
55,sample_i_analysis,24416,17387,16735,8329,8329,6011
56,sample_i_analysis,51823,40148,38730,21644,21644,12436
57,sample_i_analysis,31284,13833,12774,1840,1840,8673
58,sample_ii_analysis,34141,16781,15791,1615,1615,12301
59,sample_ii_analysis,42303,21377,13565,805,805,10330
60,sample_ii_analysis,36074,17029,9873,344,344,7635
61,sample_ii_analysis,36535,18965,11015,412,412,8687
62,sample_ii_analysis,37584,19089,11635,503,503,9037
63,sample_ii_analysis,37030,18817,14566,1221,1220,11010
64,sample_ii_calib,35943,14630,11907,771,771,9119
65,sample_ii_analysis,38424,13038,11768,451,451,8821
