method,n,charge_bias_median_frac,charge_res68_abs_frac,time_bias_median_ns,time_abs68_ns,run_block_charge_res68_abs_frac_ci95,run_block_time_abs68_ns_ci95,run_block_charge_bias_median_frac_ci95,run_block_time_bias_median_ns_ci95
ml_ratio_transfer,183132,0.15494820708773843,0.1763577793605039,0.17840568130064227,0.22060530115013322,"[0.17304334869529975, 0.18060166173702746]","[0.2137683276636733, 0.23466475255692154]","[0.1525778552913315, 0.15802435221286845]","[0.17193704851629024, 0.18492282619839182]"
observed_raw,183132,0.10044838568778988,0.12079374117700271,-0.042860771277489995,0.1484632927255882,"[0.11700387021774719, 0.12536373643016782]","[0.11943029120390704, 0.1851321491324999]","[0.09782159237209265, 0.10340914211350964]","[-0.06421228809703039, -0.018923137962426152]"
traditional_template,183132,0.10044883262005211,0.12077766801970549,-0.042604840759077334,0.14883919638445234,"[0.11616875861201786, 0.1248512145266728]","[0.11498764643341562, 0.18108948870397104]","[0.09724743354911794, 0.10321446400358855]","[-0.06309106375260613, -0.015271620196904857]"
