b2_amp_bin,target,method,n,bias_median_frac,res68_abs_frac,full_rms_frac,within_10pct
1000_2000,downstream_B4B6B8_charge_proxy,traditional_loglinear,516,0.07721704200005435,0.26922150486955276,0.3749495032655027,0.29651162790697677
1000_2000,downstream_B4B6B8_charge_proxy,p04_duplicate_ml_transfer,516,0.06502551553673477,0.2815343247536483,0.8043413924043075,0.2926356589147287
1000_2000,downstream_B4B6B8_charge_proxy,external_ml_hgb,516,0.003654399793576006,0.245884356977333,0.29279637908028144,0.34689922480620156
2000_3000,downstream_B4B6B8_charge_proxy,traditional_loglinear,1932,-0.03228258915945317,0.20528074223744,0.26786075497685713,0.3447204968944099
2000_3000,downstream_B4B6B8_charge_proxy,p04_duplicate_ml_transfer,1932,-0.06229628196880406,0.22715973300926118,0.4264814092217973,0.3053830227743271
2000_3000,downstream_B4B6B8_charge_proxy,external_ml_hgb,1932,-0.022972321081087224,0.2073037790978838,0.22897046036932547,0.35093167701863354
3000_5000,downstream_B4B6B8_charge_proxy,traditional_loglinear,1121,-0.06029188125980807,0.22943971331801843,0.37226040553756656,0.3095450490633363
3000_5000,downstream_B4B6B8_charge_proxy,p04_duplicate_ml_transfer,1121,-0.0890389802142576,0.24835348548650538,0.4704223872939337,0.29170383586083853
3000_5000,downstream_B4B6B8_charge_proxy,external_ml_hgb,1121,-0.010022952236886946,0.20462956899864157,0.2900464187017551,0.3577163247100803
5000_7000,downstream_B4B6B8_charge_proxy,traditional_loglinear,132,0.0736569703921699,0.3792340910975697,0.9020789820355105,0.3106060606060606
5000_7000,downstream_B4B6B8_charge_proxy,p04_duplicate_ml_transfer,132,0.17872665313275027,0.4099570866803176,1.0665131491183482,0.20454545454545456
5000_7000,downstream_B4B6B8_charge_proxy,external_ml_hgb,132,-0.03699181698177982,0.30139808287037806,0.41529760182834663,0.30303030303030304
7000_inf,downstream_B4B6B8_charge_proxy,traditional_loglinear,73,0.03137257923415004,0.22921822544124387,0.4024247372364076,0.3150684931506849
7000_inf,downstream_B4B6B8_charge_proxy,p04_duplicate_ml_transfer,73,0.2904217112893025,0.40994288881543295,0.5548313239439634,0.2191780821917808
7000_inf,downstream_B4B6B8_charge_proxy,external_ml_hgb,73,0.023767291954657117,0.21303006982078004,0.29960751699156685,0.3835616438356164
