stave,amp_bin,phase_bin,n_train,source,fold
B2,0,0,3,stave_fallback,holdout_sample_i
B2,0,1,2,stave_fallback,holdout_sample_i
B2,0,2,7,stave_fallback,holdout_sample_i
B2,1,0,19,stave_fallback,holdout_sample_i
B2,1,1,21,stave_fallback,holdout_sample_i
B2,1,2,11,stave_fallback,holdout_sample_i
B2,2,0,29,phase_amp_bin,holdout_sample_i
B2,2,1,31,phase_amp_bin,holdout_sample_i
B2,2,2,17,stave_fallback,holdout_sample_i
B2,3,0,15,stave_fallback,holdout_sample_i
B2,3,1,6,stave_fallback,holdout_sample_i
B2,3,2,8,stave_fallback,holdout_sample_i
B2,4,0,12,stave_fallback,holdout_sample_i
B2,4,1,6,stave_fallback,holdout_sample_i
B2,4,2,7,stave_fallback,holdout_sample_i
B2,5,0,5,stave_fallback,holdout_sample_i
B2,5,1,3,stave_fallback,holdout_sample_i
B2,5,2,5,stave_fallback,holdout_sample_i
B4,0,0,18,stave_fallback,holdout_sample_i
B4,0,1,6,stave_fallback,holdout_sample_i
B4,0,2,15,stave_fallback,holdout_sample_i
B4,1,0,41,phase_amp_bin,holdout_sample_i
B4,1,1,30,phase_amp_bin,holdout_sample_i
B4,1,2,20,stave_fallback,holdout_sample_i
B4,2,0,25,phase_amp_bin,holdout_sample_i
B4,2,1,37,phase_amp_bin,holdout_sample_i
B4,2,2,12,stave_fallback,holdout_sample_i
B4,3,0,1,stave_fallback,holdout_sample_i
B4,3,1,1,stave_fallback,holdout_sample_i
B4,4,2,1,stave_fallback,holdout_sample_i
B6,0,0,10,stave_fallback,holdout_sample_i
B6,0,1,10,stave_fallback,holdout_sample_i
B6,0,2,8,stave_fallback,holdout_sample_i
B6,1,0,33,phase_amp_bin,holdout_sample_i
B6,1,1,27,phase_amp_bin,holdout_sample_i
B6,1,2,31,phase_amp_bin,holdout_sample_i
B6,2,0,39,phase_amp_bin,holdout_sample_i
B6,2,1,27,phase_amp_bin,holdout_sample_i
B6,2,2,18,stave_fallback,holdout_sample_i
B6,3,0,1,stave_fallback,holdout_sample_i
B6,3,2,2,stave_fallback,holdout_sample_i
B6,4,0,1,stave_fallback,holdout_sample_i
B8,0,0,3,stave_fallback,holdout_sample_i
B8,0,1,2,stave_fallback,holdout_sample_i
B8,0,2,4,stave_fallback,holdout_sample_i
B8,1,0,13,stave_fallback,holdout_sample_i
B8,1,1,5,stave_fallback,holdout_sample_i
B8,1,2,12,stave_fallback,holdout_sample_i
B8,2,0,37,phase_amp_bin,holdout_sample_i
B8,2,1,23,stave_fallback,holdout_sample_i
B8,2,2,25,phase_amp_bin,holdout_sample_i
B8,3,0,34,phase_amp_bin,holdout_sample_i
B8,3,1,23,stave_fallback,holdout_sample_i
B8,3,2,18,stave_fallback,holdout_sample_i
B8,4,0,8,stave_fallback,holdout_sample_i
B2,0,0,7,stave_fallback,holdout_sample_ii
B2,0,1,6,stave_fallback,holdout_sample_ii
B2,0,2,3,stave_fallback,holdout_sample_ii
B2,1,0,19,stave_fallback,holdout_sample_ii
B2,1,1,23,stave_fallback,holdout_sample_ii
B2,1,2,18,stave_fallback,holdout_sample_ii
B2,2,0,70,phase_amp_bin,holdout_sample_ii
B2,2,1,48,phase_amp_bin,holdout_sample_ii
B2,2,2,38,phase_amp_bin,holdout_sample_ii
B2,3,0,22,stave_fallback,holdout_sample_ii
B2,3,1,36,phase_amp_bin,holdout_sample_ii
B2,3,2,21,stave_fallback,holdout_sample_ii
B2,4,0,39,phase_amp_bin,holdout_sample_ii
B2,4,1,26,phase_amp_bin,holdout_sample_ii
B2,4,2,15,stave_fallback,holdout_sample_ii
B2,5,0,98,phase_amp_bin,holdout_sample_ii
B2,5,1,55,phase_amp_bin,holdout_sample_ii
B2,5,2,31,phase_amp_bin,holdout_sample_ii
B4,0,0,10,stave_fallback,holdout_sample_ii
B4,0,1,11,stave_fallback,holdout_sample_ii
B4,0,2,18,stave_fallback,holdout_sample_ii
B4,1,0,56,phase_amp_bin,holdout_sample_ii
B4,1,1,64,phase_amp_bin,holdout_sample_ii
B4,1,2,54,phase_amp_bin,holdout_sample_ii
B4,2,0,149,phase_amp_bin,holdout_sample_ii
B4,2,1,109,phase_amp_bin,holdout_sample_ii
B4,2,2,76,phase_amp_bin,holdout_sample_ii
B4,3,0,12,stave_fallback,holdout_sample_ii
B4,3,1,6,stave_fallback,holdout_sample_ii
B4,3,2,4,stave_fallback,holdout_sample_ii
B4,4,0,2,stave_fallback,holdout_sample_ii
B4,4,2,3,stave_fallback,holdout_sample_ii
B4,5,2,1,stave_fallback,holdout_sample_ii
B6,0,0,17,stave_fallback,holdout_sample_ii
B6,0,1,10,stave_fallback,holdout_sample_ii
B6,0,2,10,stave_fallback,holdout_sample_ii
B6,1,0,62,phase_amp_bin,holdout_sample_ii
B6,1,1,38,phase_amp_bin,holdout_sample_ii
B6,1,2,51,phase_amp_bin,holdout_sample_ii
B6,2,0,145,phase_amp_bin,holdout_sample_ii
B6,2,1,137,phase_amp_bin,holdout_sample_ii
B6,2,2,77,phase_amp_bin,holdout_sample_ii
B6,3,0,11,stave_fallback,holdout_sample_ii
B6,3,1,10,stave_fallback,holdout_sample_ii
B6,3,2,5,stave_fallback,holdout_sample_ii
B6,4,1,2,stave_fallback,holdout_sample_ii
B8,0,0,14,stave_fallback,holdout_sample_ii
B8,0,1,5,stave_fallback,holdout_sample_ii
B8,0,2,7,stave_fallback,holdout_sample_ii
B8,1,0,16,stave_fallback,holdout_sample_ii
B8,1,1,26,phase_amp_bin,holdout_sample_ii
B8,1,2,12,stave_fallback,holdout_sample_ii
B8,2,0,92,phase_amp_bin,holdout_sample_ii
B8,2,1,59,phase_amp_bin,holdout_sample_ii
B8,2,2,54,phase_amp_bin,holdout_sample_ii
B8,3,0,100,phase_amp_bin,holdout_sample_ii
B8,3,1,96,phase_amp_bin,holdout_sample_ii
B8,3,2,48,phase_amp_bin,holdout_sample_ii
B8,4,0,33,phase_amp_bin,holdout_sample_ii
B8,4,1,6,stave_fallback,holdout_sample_ii
B8,4,2,6,stave_fallback,holdout_sample_ii
B8,5,0,1,stave_fallback,holdout_sample_ii
