alpha,n,mean_lift,mean_q_shift,mean_cfd_shift_ns,tail_delta,heldout_run
0.0,2482,0.0,0.0,0.0,0.0,58
0.1,2482,0.009244995798127771,-0.00914885107827768,0.04541090925433739,0.0,58
0.2,2482,0.018489991596255508,-0.018109925313711785,0.09024531771388551,-0.00022192632046160593,58
0.25,2482,0.023112489495319327,-0.022521995834752118,0.11255443765318089,-0.00022192632046160593,58
0.3,2482,0.027734987394383334,-0.026887791764690604,0.13476267163345004,-0.00022192632046160593,58
0.4,2482,0.03697998319251101,-0.0354843405687684,0.17900607840202987,-0.00022192632046160593,58
0.5,2482,0.04622497899063861,-0.04389057980525968,0.22302728154154342,-0.00022192632046160593,58
0.75,2482,0.06933746848595837,-0.06420777983578084,0.3322721962685781,-0.00022192632046160593,58
1.0,2482,0.09244995798127723,-0.08356023733641353,0.44028470516842555,-0.0008626131099349378,58
0.0,3255,0.0,0.0,0.0,0.0,59
0.1,3255,0.008800601807615702,-0.00871587661828053,0.04164140835450617,-0.00040584415584415945,59
0.2,3255,0.01760120361523144,-0.017265741926722235,0.08280253297411207,-0.0010336146321499179,59
0.25,3255,0.02200150451903931,-0.021479897528556308,0.10326082280570462,-0.0010336146321499179,59
0.3,3255,0.026401805422847077,-0.02565070158945348,0.12366211844066294,-0.0010336146321499179,59
0.4,3255,0.03520240723046282,-0.03386527259416428,0.16435126819714463,-0.0014394587879940773,59
0.5,3255,0.044003009038078605,-0.041928632321098516,0.20487893141584682,-0.0014394587879940773,59
0.75,3255,0.06600451355711763,-0.06144080777064301,0.30508357286603255,-0.0015747401732754615,59
1.0,3255,0.08800601807615722,-0.0799959420628311,0.40745600771778145,-0.0022640634128499523,59
0.0,3455,0.0,0.0,0.0,0.0,60
0.1,3455,0.009305358300506108,-0.009213271466458638,0.044781850893532364,-0.0005411255411255367,60
0.2,3455,0.018610716601012225,-0.01824593659136082,0.08906902659432646,-0.0010336146321499179,60
0.25,3455,0.02326339575126528,-0.02269592512386068,0.1110956492862808,-0.0010336146321499179,60
0.3,3455,0.027916074901518054,-0.02710198227329201,0.13306806972825164,-0.0010336146321499179,60
0.4,3455,0.03722143320202445,-0.03578442097363088,0.17684637841003492,-0.0013041774027126897,60
0.5,3455,0.04652679150253056,-0.04428905528729688,0.22038025266045214,-0.0014394587879940739,60
0.75,3455,0.0697901872537958,-0.06483322374619083,0.3282249492495597,-0.001574740173275458,60
1.0,3455,0.0930535830050611,-0.08405564515115505,0.4348020434605894,-0.002621271118592946,60
0.0,3418,0.0,0.0,0.0,0.0,61
0.1,3418,0.009151711348436549,-0.009061760928665553,0.043771850034760064,-0.0005411255411255367,61
0.2,3418,0.01830342269687308,-0.017946950213707676,0.0870538682937782,-0.0010336146321499179,61
0.25,3418,0.02287927837109135,-0.022324949751601243,0.10855738621738577,-0.0010336146321499179,61
0.3,3418,0.027455134045309852,-0.026660716839551003,0.12999887092066698,-0.001168896017431302,61
0.4,3418,0.036606845393746146,-0.03520570690270304,0.17273395690381002,-0.0013041774027126897,61
0.5,3418,0.045758556742182724,-0.04357734394104474,0.21528218273619487,-0.0015747401732754615,61
0.75,3418,0.06863783511327422,-0.06381237811858531,0.32067539945923856,-0.0015747401732754615,61
1.0,3418,0.09151711348436552,-0.0829458038605093,0.42500595566869154,-0.002621271118592946,61
0.0,3395,0.0,0.0,0.0,0.0,62
0.1,3395,0.00982185563631671,-0.00971831416531167,0.04651962173916067,-0.0008983332468685407,62
0.2,3395,0.019643711272633445,-0.019233901494515003,0.09250290996805638,-0.0010336146321499248,62
0.25,3395,0.024554639090791853,-0.02391787624333679,0.1153904731827307,-0.0010336146321499248,62
0.3,3395,0.02946556690894972,-0.028553762156547355,0.13820896566419505,-0.0014394587879940773,62
0.4,3395,0.03928742254526694,-0.03767029540124694,0.18368646661538704,-0.0014394587879940773,62
0.5,3395,0.049109278181583706,-0.046598375366157296,0.22892821634458133,-0.0017100215585568491,62
0.75,3395,0.07366391727237406,-0.068131768539238,0.34100248840430447,-0.0017100215585568491,62
1.0,3395,0.09821855636316733,-0.08826880984081471,0.4517033538062409,-0.0028051889539754994,62
0.0,2963,0.0,0.0,0.0,0.0,63
0.1,2963,0.008539409685124998,-0.008458870712184744,0.03991673361663264,-0.0005411255411255506,63
0.2,2963,0.01707881937025001,-0.016759806069824554,0.07960638443557279,-0.0008116883116883189,63
0.25,2963,0.021348524212812182,-0.020851826764952335,0.0993296717137354,-0.0008116883116883189,63
0.3,2963,0.02561822905537459,-0.024906551825112016,0.11897109037686471,-0.0008116883116883189,63
0.4,2963,0.03415763874050003,-0.032902632104783856,0.15811849093632954,-0.0012175324675324714,63
0.5,2963,0.04269704842562438,-0.040749696896642866,0.19706028052357946,-0.0013528138528138556,63
0.75,2963,0.06404557263843712,-0.0597517780086756,0.29347269278388494,-0.0013528138528138556,63
1.0,2963,0.08539409685124871,-0.07783873633575479,0.38873044087619774,-0.0020421370923883603,63
0.0,3316,0.0,0.0,0.0,0.0,65
0.1,3316,0.008806809395496659,-0.00872139016685682,0.04232568672735673,-0.00040584415584415945,65
0.2,3316,0.017613618790993296,-0.017275050709366694,0.0841797533558333,-0.0010336146321499283,65
0.25,3316,0.022017023488741762,-0.021490421579802136,0.1050126463300997,-0.0010336146321499283,65
0.3,3316,0.026420428186489674,-0.02566323709691442,0.12580324258965603,-0.0010336146321499283,65
0.4,3316,0.035227237581986606,-0.033877467693683085,0.16722710334345,-0.0013041774027126897,65
0.5,3316,0.04403404697748355,-0.04193713379587714,0.2085081119317755,-0.0013041774027126897,65
0.75,3316,0.06605107046622458,-0.061445388449880844,0.3108022714801617,-0.001574740173275465,65
1.0,3316,0.0880680939549671,-0.0800333202209013,0.41196975563777044,-0.0018453029438382368,65
