stave,n_bins,direction,log_amp_center,target_median_ns,monotone_fit_ns,n
B4,8,decreasing,7.246902490193847,-4.1923989693845485,-4.1923989693845485,470
B4,8,decreasing,7.500253051392153,-4.1923989693845485,-4.1923989693845485,469
B4,8,decreasing,7.633611633951787,-4.1923989693845485,-4.1923989693845485,469
B4,8,decreasing,7.7279755421055585,-4.1923989693845485,-4.1923989693845485,469
B4,8,decreasing,7.808424624794656,-4.1923989693845485,-4.1923989693845485,468
B4,8,decreasing,7.874358824729881,-4.1923989693845485,-4.1923989693845485,467
B4,8,decreasing,7.936213303731801,-4.1923989693845485,-4.1923989693845485,472
B4,8,decreasing,8.03947991910045,-4.1923989693845485,-4.1923989693845485,470
B6,8,decreasing,7.347943615835378,2.639152765080617,2.639152765080617,470
B6,8,decreasing,7.56164174558878,2.639152765080617,2.639152765080617,469
B6,8,decreasing,7.680406560654681,2.639152765080617,2.639152765080617,467
B6,8,decreasing,7.77127792309151,2.639152765080617,2.639152765080617,470
B6,8,decreasing,7.851563892160774,2.639152765080617,2.639152765080617,466
B6,8,decreasing,7.913703882786828,2.639152765080617,2.6391527650806164,471
B6,8,decreasing,7.9832695164042695,2.639152765080617,2.6391527650806164,471
B6,8,decreasing,8.091168169342712,2.6391527650806097,2.63915276508061,470
B8,8,decreasing,7.557733964140704,1.5532462043039317,1.553246204303932,470
B8,8,decreasing,7.87644868964934,1.5532462043039317,1.553246204303932,467
B8,8,decreasing,7.993282328101591,1.5532462043039317,1.553246204303932,471
B8,8,decreasing,8.07231135094428,1.5532462043039317,1.553246204303932,468
B8,8,decreasing,8.159374736775426,1.5532462043039317,1.5532462043039317,469
B8,8,decreasing,8.262042843966942,1.5532462043039317,1.5532462043039317,469
B8,8,decreasing,8.385203426262613,1.5532462043039317,1.5532462043039317,470
B8,8,decreasing,8.566268988269815,0.30324620430391747,0.30324620430391747,470
