stave,mode,direction,log_amp_center,raw_bin_target_median_ns,fitted_target_ns,n_train_pulses
B4,monotonic,decreasing,7.210633781263288,-4.1923989693845485,-4.1923989693845485,376
B4,monotonic,decreasing,7.446585099157725,-4.1923989693845485,-4.1923989693845485,375
B4,monotonic,decreasing,7.572374367656331,-4.1923989693845485,-4.1923989693845485,376
B4,monotonic,decreasing,7.665753431861699,-4.1923989693845485,-4.1923989693845485,375
B4,monotonic,decreasing,7.739794458408701,-4.1923989693845485,-4.1923989693845485,375
B4,monotonic,decreasing,7.802618063442671,-4.1923989693845485,-4.1923989693845485,377
B4,monotonic,decreasing,7.857770875584039,-4.1923989693845485,-4.1923989693845485,376
B4,monotonic,decreasing,7.9059945935034595,-4.1923989693845485,-4.1923989693845485,373
B4,monotonic,decreasing,7.959450647862495,-4.1923989693845485,-4.1923989693845485,376
B4,monotonic,decreasing,8.054046002966988,-4.192398969384541,-4.1923989693845485,375
B6,monotonic,decreasing,7.321519189904997,2.639152765080617,2.639152765080617,377
B6,monotonic,decreasing,7.5145270952241345,2.639152765080617,2.639152765080617,374
B6,monotonic,decreasing,7.626691964450588,2.639152765080617,2.639152765080617,376
B6,monotonic,decreasing,7.70998105456832,2.639152765080617,2.639152765080617,375
B6,monotonic,decreasing,7.780303087908373,2.639152765080617,2.639152765080617,377
B6,monotonic,decreasing,7.844632644464681,2.639152765080617,2.639152765080617,373
B6,monotonic,decreasing,7.89552910814424,2.639152765080617,2.639152765080617,376
B6,monotonic,decreasing,7.946086636765317,2.639152765080617,2.639152765080617,375
B6,monotonic,decreasing,8.008864447848834,2.639152765080617,2.639152765080617,375
B6,monotonic,decreasing,8.108773712164968,2.6391527650806097,2.6391527650806097,376
B8,monotonic,decreasing,7.482822494916023,1.5532462043039317,1.5532462043039317,376
B8,monotonic,decreasing,7.81278279812194,1.5532462043039317,1.5532462043039317,376
B8,monotonic,decreasing,7.940761810552253,1.5532462043039317,1.5532462043039317,374
B8,monotonic,decreasing,8.020927718981577,1.5532462043039317,1.5532462043039317,377
B8,monotonic,decreasing,8.081088444185724,1.5532462043039317,1.5532462043039317,376
B8,monotonic,decreasing,8.14945730011808,1.5532462043039317,1.5532462043039315,373
B8,monotonic,decreasing,8.22817688703868,1.5532462043039317,1.5532462043039315,376
B8,monotonic,decreasing,8.321786395073627,1.5532462043039317,1.5532462043039315,375
B8,monotonic,decreasing,8.424748901024957,1.3032462043039317,1.3032462043039317,375
B8,monotonic,decreasing,8.586765806670414,0.053246204303917466,0.053246204303917466,376
