target,family,labels,train_non_null,heldout_non_null,train_distribution,heldout_distribution
physics_q_template_top_quartile,physics_proxy,"[0, 1]",71018,10498,"{""0"": 53263, ""1"": 17755}","{""0"": 7708, ""1"": 2790}"
physics_peak_group,physics_proxy,"[0, 1, 2]",71018,10498,"{""0"": 33828, ""1"": 27832, ""2"": 9358}","{""0"": 3905, ""1"": 5170, ""2"": 1423}"
physics_timing_tail_top_quartile,physics_proxy,"[0, 1]",10856,1196,"{""0"": 8142, ""1"": 2714}","{""0"": 836, ""1"": 360}"
physics_anomaly_proxy_top5,physics_proxy,"[0, 1]",71018,10498,"{""0"": 67467, ""1"": 3551}","{""0"": 10003, ""1"": 495}"
nuisance_sample_epoch,nuisance,"[0, 1]",71018,10498,"{""0"": 46588, ""1"": 24430}","{""0"": 4594, ""1"": 5904}"
nuisance_topology_multiplicity,nuisance,"[0, 1, 2]",71018,10498,"{""0"": 34940, ""1"": 13687, ""2"": 22391}","{""0"": 4952, ""1"": 2561, ""2"": 2985}"
nuisance_amplitude_quartile,nuisance,"[0, 1, 2, 3]",71018,10498,"{""0"": 17748, ""1"": 17760, ""2"": 17754, ""3"": 17756}","{""0"": 3519, ""1"": 2960, ""2"": 2534, ""3"": 1485}"
nuisance_stave,nuisance,"[0, 1, 2, 3]",71018,10498,"{""0"": 34275, ""1"": 18422, ""2"": 11692, ""3"": 6629}","{""0"": 4800, ""1"": 3409, ""2"": 1666, ""3"": 623}"
