method,task,family,metric,value,ci_low,ci_high,roc_auc,average_precision,brier,train_rows,heldout_rows,n_classes,note
traditional_hand_pca_residualized,physics_q_template_top_quartile,physics_proxy,balanced_accuracy,0.7247578273655078,0.7050867986426577,0.737282208630631,0.8182678518617719,0.7120072564632569,0.16210614383153812,71018,10498,2,
traditional_hand_pca_residualized,physics_peak_group,physics_proxy,balanced_accuracy,0.9107485254369431,0.8994720650302043,0.9285406387868499,0.9707327605494664,,,71018,10498,3,
traditional_hand_pca_residualized,physics_timing_tail_top_quartile,physics_proxy,balanced_accuracy,0.5013888888888889,0.5,0.502442996742671,0.6087686071238703,0.3930322605419502,0.2017321468837414,10856,1196,2,
traditional_hand_pca_residualized,physics_anomaly_proxy_top5,physics_proxy,balanced_accuracy,0.6670330214067093,0.6069827478297024,0.7442789578159783,0.8497422490424589,0.2758154874786725,0.09937634714108527,71018,10498,2,
latent_resid_ridge,physics_q_template_top_quartile,physics_proxy,balanced_accuracy,0.6983367371422513,0.6685897973445143,0.723794449079966,0.7798115536062704,0.6699615724228849,0.1786526115359928,71018,10498,2,
latent_resid_ridge,physics_peak_group,physics_proxy,balanced_accuracy,0.8630279037018903,0.8469181306373595,0.881081931540232,0.9433870854347545,,,71018,10498,3,
latent_resid_ridge,physics_timing_tail_top_quartile,physics_proxy,balanced_accuracy,0.5,0.5,0.5,0.5851109782030834,0.36238806642036814,0.20464230793328844,10856,1196,2,
latent_resid_ridge,physics_anomaly_proxy_top5,physics_proxy,balanced_accuracy,0.6087051662279094,0.5682812168572425,0.6540818210775602,0.740336686872726,0.14320672572963128,0.11767327004463958,71018,10498,2,
latent_resid_gbt,physics_q_template_top_quartile,physics_proxy,balanced_accuracy,0.8025511361839768,0.7876951547910485,0.8212812415224751,0.8865950611290602,0.8036046754229951,0.1307857942008358,71018,10498,2,
latent_resid_gbt,physics_peak_group,physics_proxy,balanced_accuracy,0.914866172604628,0.9063372786880893,0.9211024649681566,0.9796117822147199,,,71018,10498,3,
latent_resid_gbt,physics_timing_tail_top_quartile,physics_proxy,balanced_accuracy,0.506113769271664,0.49315677212939923,0.5161777459945529,0.6241576953748007,0.38632534218059145,0.20045781973647014,10856,1196,2,
latent_resid_gbt,physics_anomaly_proxy_top5,physics_proxy,balanced_accuracy,0.7466368170356974,0.6901824119238075,0.8182634025639487,0.8607602567714534,0.38651929741590335,0.08616119880494076,71018,10498,2,
latent_resid_mlp,physics_q_template_top_quartile,physics_proxy,balanced_accuracy,0.7786708591176509,0.7766416567359253,0.7821687696345203,0.8779422487086916,0.7895181768472482,0.12697403590155878,71018,10498,2,
latent_resid_mlp,physics_peak_group,physics_proxy,balanced_accuracy,0.913122635949494,0.9062778002823767,0.9189750194897947,0.9767491677653276,,,71018,10498,3,
latent_resid_mlp,physics_timing_tail_top_quartile,physics_proxy,balanced_accuracy,0.5,0.5,0.5,0.5606625465178097,0.34313860652340095,0.2081686563174208,10856,1196,2,
latent_resid_mlp,physics_anomaly_proxy_top5,physics_proxy,balanced_accuracy,0.7579039419487286,0.7218207195584149,0.7952198407149343,0.8369246801717061,0.3264062769507699,0.1048545438145392,71018,10498,2,
residual_fusion_mlp_new_arch,physics_q_template_top_quartile,physics_proxy,balanced_accuracy,0.8913606958650232,0.8857805839198969,0.9006204073929915,0.9610282478940094,0.9166198567377843,0.0742007493026687,71018,10498,2,
residual_fusion_mlp_new_arch,physics_peak_group,physics_proxy,balanced_accuracy,0.994455312725286,0.9934464979721135,0.9955637805621478,0.9994430712486834,,,71018,10498,3,
residual_fusion_mlp_new_arch,physics_timing_tail_top_quartile,physics_proxy,balanced_accuracy,0.5340244550770866,0.49615866061649194,0.5548425292388212,0.6791068580542264,0.45759857821471356,0.1926479745283002,10856,1196,2,
residual_fusion_mlp_new_arch,physics_anomaly_proxy_top5,physics_proxy,balanced_accuracy,0.9054353390952412,0.8817262177924792,0.9338592182587862,0.9644201688988253,0.6432986611504911,0.05433195089037406,71018,10498,2,
waveform_1d_cnn,physics_q_template_top_quartile,physics_proxy,balanced_accuracy,0.7453432917994245,0.7392661552586475,0.7521628972737777,0.7885366504660243,0.6156887665409039,0.20053809526788008,71018,10498,2,
waveform_1d_cnn,physics_peak_group,physics_proxy,balanced_accuracy,0.85516456206612,0.8340204220780244,0.8675926970200923,0.9386707167638381,,,71018,10498,3,
waveform_1d_cnn,physics_timing_tail_top_quartile,physics_proxy,balanced_accuracy,0.5,0.5,0.5,0.5863437001594897,0.3453681282848624,0.20774611214114946,10856,1196,2,
waveform_1d_cnn,physics_anomaly_proxy_top5,physics_proxy,balanced_accuracy,0.5874641647909667,0.576250877942597,0.6004664385073968,0.8413948542709914,0.19446827880625778,0.09945033384030395,71018,10498,2,
