method_input,train_rows,heldout_rows,feature_dim,train_mean_abs,heldout_mean_abs
traditional_hand_pca_residualized,71018,10498,16,5.917273668229094e-14,0.06285531761511531
latent_resid_ridge,71018,10498,4,1.9117001711558944e-14,0.028137312527310127
latent_resid_gbt,71018,10498,4,1.9117001711558944e-14,0.028137312527310127
latent_resid_mlp,71018,10498,4,1.9117001711558944e-14,0.028137312527310127
residual_fusion_mlp_new_arch,71018,10498,20,5.116158968814453e-14,0.055911716597554284
waveform_1d_cnn,71018,10498,18,0.3764156401157379,0.3652934730052948
