split,action,family,taxon,ml_quantile,ml_threshold,n_pairs,tail_rate,sigma68_ns,full_rms_ns,q95_abs_ns,median_ns,kept_pair_fraction,removed_pair_fraction,median_log_amp_delta,abs_median_log_amp_delta,max_pair_composition_drift,charge_constraint_pass,pair_composition_constraint_pass,kept_fraction_constraint_pass,all_constraints_pass
train,baseline,baseline,,,,23740,0.05,2.005929197998046,6.938356201505125,4.007616191228242,-1.185455549875904,1.0,0.0,0.0,0.0,0.0,True,True,True,True
train,p09a_exclude_baseline_excursion,p09a_class,baseline_excursion,,,23678,0.0497930568460174,2.0027149251302134,6.917181676441049,4.00169570159911,-1.1887904008229597,0.9973883740522326,0.0026116259477674264,0.00044597066252194395,0.00044597066252194395,0.0006057578322128387,True,True,True,True
train,p09a_exclude_dropout,p09a_class,dropout,,,23740,0.05,2.005929197998046,6.938356201505125,4.007616191228242,-1.185455549875904,1.0,0.0,0.0,0.0,0.0,True,True,True,True
train,p09a_exclude_novel_broad_template_mismatch,p09a_class,novel_broad_template_mismatch,,,23684,0.04885154534706975,2.0004524287287397,6.688890270605223,3.9809860677719136,-1.184401327927894,0.9976411120471778,0.0023588879528222417,-0.0008478935881557348,0.0008478935881557348,0.00022683530284381415,True,True,True,True
train,p09a_exclude_novel_delayed_peak,p09a_class,novel_delayed_peak,,,20965,0.04559980920581922,1.999751585350036,4.2692742896320475,3.9144674265543515,-1.1406517028808594,0.8831086773378265,0.1168913226621735,0.00044597066252194395,0.00044597066252194395,0.0038211175966041955,True,True,True,True
train,p09a_exclude_novel_early_pretrigger,p09a_class,novel_early_pretrigger,,,22829,0.05006789609706952,1.9574868112691264,6.6766257021394075,4.0081674944559715,-1.2622666358947754,0.961625947767481,0.038374052232518996,0.009765702611324478,0.009765702611324478,0.0037552278260299665,True,True,True,True
train,p09a_exclude_pileup_or_long_tail,p09a_class,pileup_or_long_tail,,,23487,0.04943160045982884,2.0029010356013,6.717343295119701,3.9904702085812733,-1.1826529394785439,0.9893428812131424,0.0106571187868576,-0.001517789675778758,0.001517789675778758,0.0003456966227960989,True,True,True,True
train,ml_pair_risk_q0p9,ml_quantile,,0.9,0.5666396966763746,21366,0.005897219882055603,1.8260870095570874,2.901483588249275,3.29571715450286,-1.0848161018689488,0.9,0.09999999999999998,0.009500626400362755,0.009500626400362755,0.003018814939623693,True,True,True,True
train,ml_pair_risk_q0p95,ml_quantile,,0.95,0.6727397345550277,22553,0.02354453952910921,1.9051382658894829,4.123719874497824,3.5127214366912822,-1.1357831954956055,0.95,0.050000000000000044,0.005072313433563735,0.005072313433563735,0.000946658981066828,True,True,True,True
train,ml_pair_risk_q0p975,ml_quantile,,0.975,0.751105189917307,23146,0.035254471614965865,1.9506626360575394,4.988449340233385,3.706928960323328,-1.1618582407633582,0.9749789385004213,0.025021061499578723,0.002049820244496736,0.002049820244496736,0.0020474369103171686,True,True,True,True
train,hybrid_baseline_excursion_or_ml_q0p9,hybrid,baseline_excursion,0.9,0.5666396966763746,21309,0.005772208925805998,1.8212389030520115,2.8899540053521715,3.2919582070668527,-1.0881921234130871,0.8975989890480203,0.10240101095197973,0.009854045736078731,0.009854045736078731,0.003468332514752731,True,True,True,True
train,hybrid_baseline_excursion_or_ml_q0p95,hybrid,baseline_excursion,0.95,0.6727397345550277,22494,0.023384013514715037,1.9000550049018885,4.0786716779623475,3.5099323592503837,-1.1391770839691162,0.9475147430497052,0.05248525695029482,0.00551602822098296,0.00551602822098296,0.0004637612246538303,True,True,True,True
train,hybrid_baseline_excursion_or_ml_q0p975,hybrid,baseline_excursion,0.975,0.751105189917307,23087,0.03512799410923897,1.946073837146756,4.954265974046596,3.7052380645116183,-1.1668801307678152,0.9724936815501264,0.027506318449873612,0.002494877886807245,0.002494877886807245,0.0015054789456343531,True,True,True,True
train,hybrid_dropout_or_ml_q0p9,hybrid,dropout,0.9,0.5666396966763746,21366,0.005897219882055603,1.8260870095570874,2.901483588249275,3.29571715450286,-1.0848161018689488,0.9,0.09999999999999998,0.009500626400362755,0.009500626400362755,0.003018814939623693,True,True,True,True
train,hybrid_dropout_or_ml_q0p95,hybrid,dropout,0.95,0.6727397345550277,22553,0.02354453952910921,1.9051382658894829,4.123719874497824,3.5127214366912822,-1.1357831954956055,0.95,0.050000000000000044,0.005072313433563735,0.005072313433563735,0.000946658981066828,True,True,True,True
train,hybrid_dropout_or_ml_q0p975,hybrid,dropout,0.975,0.751105189917307,23146,0.035254471614965865,1.9506626360575394,4.988449340233385,3.706928960323328,-1.1618582407633582,0.9749789385004213,0.025021061499578723,0.002049820244496736,0.002049820244496736,0.0020474369103171686,True,True,True,True
train,hybrid_novel_broad_template_mismatch_or_ml_q0p9,hybrid,novel_broad_template_mismatch,0.9,0.5666396966763746,21356,0.0058999812699007306,1.8260145418802916,2.901731604384745,3.2955575838088933,-1.085366805394493,0.8995787700084246,0.10042122999157543,0.009412252046542058,0.009412252046542058,0.003104076076708512,True,True,True,True
