split,action,family,taxon,ml_quantile,ml_threshold,n_pairs,tail_rate,sigma68_ns,full_rms_ns,q95_abs_ns,median_ns,kept_pair_fraction,removed_pair_fraction,median_log_amp_delta,abs_median_log_amp_delta,max_pair_composition_drift,charge_constraint_pass,pair_composition_constraint_pass,kept_fraction_constraint_pass,all_constraints_pass
heldout,baseline,baseline,,,,2178,0.05188246097337006,2.0347421964009658,4.279826464355658,4.047756223996475,-1.3461860020955427,1.0,0.0,0.0,0.0,0.0,True,True,True,True
heldout,p09a_exclude_baseline_excursion,p09a_class,baseline_excursion,,,2172,0.05202578268876611,2.0310254084650707,4.283051408745197,4.0527117541630995,-1.3573949969609629,0.9972451790633609,0.0027548209366391463,-0.00014380902261024175,0.00014380902261024175,0.00018137172833299076,True,True,True,True
heldout,p09a_exclude_dropout,p09a_class,dropout,,,2178,0.05188246097337006,2.0347421964009658,4.279826464355658,4.047756223996475,-1.3461860020955427,1.0,0.0,0.0,0.0,0.0,True,True,True,True
heldout,p09a_exclude_novel_broad_template_mismatch,p09a_class,novel_broad_template_mismatch,,,2177,0.05144694533762058,2.0340537884839396,4.24205412874319,4.043243294779457,-1.343094507853202,0.9995408631772268,0.00045913682277320955,-4.79317452315442e-05,4.79317452315442e-05,0.00018327510288917992,True,True,True,True
heldout,p09a_exclude_novel_delayed_peak,p09a_class,novel_delayed_peak,,,1833,0.05291871249318058,2.050480698610941,3.5653193265937637,4.063170887502033,-1.2793070945739728,0.8415977961432507,0.1584022038567493,0.0005271113988483123,0.0005271113988483123,0.00423142299351198,True,True,True,True
heldout,p09a_exclude_novel_early_pretrigger,p09a_class,novel_early_pretrigger,,,2123,0.05228450306170514,2.0093640625254303,4.260141205450754,4.060145049413044,-1.403646469116218,0.9747474747474747,0.025252525252525304,0.0054016730223329645,0.0054016730223329645,0.0026192209423485935,True,True,True,True
heldout,p09a_exclude_pileup_or_long_tail,p09a_class,pileup_or_long_tail,,,2132,0.052063789868667915,2.0411730766296445,4.317357007527322,4.0527117541630995,-1.3573949969609629,0.9788797061524335,0.02112029384756653,-0.004708433736426265,0.004708433736426265,0.0031174787272348903,True,True,True,True
heldout,ml_pair_risk_q0p9,ml_quantile,,0.9,0.5666396966763746,2002,0.03696303696303696,1.9532728377278552,2.474464944244736,3.7089635881264966,-1.2927899198532131,0.9191919191919192,0.08080808080808077,0.014088091778329925,0.014088091778329925,0.006301779029051768,True,True,True,True
heldout,ml_pair_risk_q0p95,ml_quantile,,0.95,0.6727397345550277,2100,0.043333333333333335,1.9808911601702348,3.561002010358848,3.8444600815137178,-1.311121030330657,0.9641873278236914,0.03581267217630857,0.007734950728908174,0.007734950728908174,0.004713367440640159,True,True,True,True
heldout,ml_pair_risk_q0p975,ml_quantile,,0.975,0.751105189917307,2150,0.04883720930232558,2.0000186307525647,3.8094234216258336,3.9828922073364272,-1.335823579311377,0.9871441689623508,0.012855831037649201,0.0022980811621930997,0.0022980811621930997,0.00202233754030795,True,True,True,True
heldout,hybrid_baseline_excursion_or_ml_q0p9,hybrid,baseline_excursion,0.9,0.5666396966763746,1996,0.03707414829659319,1.9453815503438292,2.47312988222848,3.710869685252506,-1.2981802369753659,0.9164370982552801,0.08356290174471992,0.014088091778329925,0.014088091778329925,0.006393871305512777,True,True,True,True
heldout,hybrid_baseline_excursion_or_ml_q0p95,hybrid,baseline_excursion,0.95,0.6727397345550277,2094,0.04345749761222541,1.9735724245452841,3.5627558495778384,3.8458705149014727,-1.3128347921371404,0.9614325068870524,0.038567493112947604,0.007592249876491763,0.007592249876491763,0.004796598440776623,True,True,True,True
heldout,hybrid_baseline_excursion_or_ml_q0p975,hybrid,baseline_excursion,0.975,0.751105189917307,2144,0.04897388059701493,1.9980613949966437,3.8116969120043307,3.990552256011967,-1.3408939043680945,0.9843893480257117,0.015610651974288348,0.0022502594415305666,0.0022502594415305666,0.0020960966517275803,True,True,True,True
heldout,hybrid_dropout_or_ml_q0p9,hybrid,dropout,0.9,0.5666396966763746,2002,0.03696303696303696,1.9532728377278552,2.474464944244736,3.7089635881264966,-1.2927899198532131,0.9191919191919192,0.08080808080808077,0.014088091778329925,0.014088091778329925,0.006301779029051768,True,True,True,True
heldout,hybrid_dropout_or_ml_q0p95,hybrid,dropout,0.95,0.6727397345550277,2100,0.043333333333333335,1.9808911601702348,3.561002010358848,3.8444600815137178,-1.311121030330657,0.9641873278236914,0.03581267217630857,0.007734950728908174,0.007734950728908174,0.004713367440640159,True,True,True,True
