split,n,positive_rate,average_precision,roc_auc,selection,n_selected,selected_fraction,precision,baseline_tail_pulse_rate
heldout_all,6187,0.034103765960885726,0.10140102015745533,0.6989958253234105,,,,,
heldout_fixed_threshold_scores,6187,0.034103765960885726,0.10140102015745533,0.6989958253234105,fixed_train_pulse_threshold,706.0,0.11411023112978827,0.10339943342776203,0.034103765960885726
heldout_pair_q0p9,2178,0.05188246097337006,,,pair_max_score_q0.9,176.0,0.08080808080808081,0.2215909090909091,0.034103765960885726
heldout_pair_q0p95,2178,0.05188246097337006,,,pair_max_score_q0.95,78.0,0.03581267217630854,0.28205128205128205,0.034103765960885726
heldout_pair_q0p975,2178,0.05188246097337006,,,pair_max_score_q0.975,28.0,0.012855831037649219,0.2857142857142857,0.034103765960885726
