action,family,metric,ci_low,ci_high
hybrid_dropout_or_ml_q0p95,hybrid,kept_pair_fraction,0.9522089469297027,0.9893048128342246
hybrid_dropout_or_ml_q0p95,hybrid,abs_median_log_amp_delta,0.0033699925472996384,0.014449555970367456
hybrid_dropout_or_ml_q0p95,hybrid,max_pair_composition_drift,0.0021137447608035043,0.006318989575761463
hybrid_dropout_or_ml_q0p975,hybrid,tail_rate,0.04219409282700422,0.05211952744961779
hybrid_dropout_or_ml_q0p975,hybrid,full_rms_ns,2.3699546013094084,4.81815721435585
hybrid_dropout_or_ml_q0p975,hybrid,q95_abs_ns,3.8579243965466667,4.047756223996475
hybrid_dropout_or_ml_q0p975,hybrid,sigma68_ns,1.9707337237421674,2.044387514915468
hybrid_dropout_or_ml_q0p975,hybrid,kept_pair_fraction,0.9811810512654121,0.9971949509116409
hybrid_dropout_or_ml_q0p975,hybrid,abs_median_log_amp_delta,0.00044406945975961065,0.007496582750553316
hybrid_dropout_or_ml_q0p975,hybrid,max_pair_composition_drift,0.0008423037698518376,0.0032356222882287122
hybrid_novel_broad_template_mismatch_or_ml_q0p9,hybrid,tail_rate,0.030927835051546393,0.043745727956254275
hybrid_novel_broad_template_mismatch_or_ml_q0p9,hybrid,full_rms_ns,1.9314578161006863,2.844064891018796
hybrid_novel_broad_template_mismatch_or_ml_q0p9,hybrid,q95_abs_ns,3.6246317914326838,3.7915793259938657
hybrid_novel_broad_template_mismatch_or_ml_q0p9,hybrid,sigma68_ns,1.8999290085093135,1.9750202140299453
hybrid_novel_broad_template_mismatch_or_ml_q0p9,hybrid,kept_pair_fraction,0.8976888387824127,0.9552139037433155
hybrid_novel_broad_template_mismatch_or_ml_q0p9,hybrid,abs_median_log_amp_delta,0.007346140926938638,0.02415480731180608
hybrid_novel_broad_template_mismatch_or_ml_q0p9,hybrid,max_pair_composition_drift,0.005573555504127137,0.008805610819095977
hybrid_novel_broad_template_mismatch_or_ml_q0p95,hybrid,tail_rate,0.039942938659058486,0.05097250167672703
hybrid_novel_broad_template_mismatch_or_ml_q0p95,hybrid,full_rms_ns,2.3649057921062533,4.823979944898926
hybrid_novel_broad_template_mismatch_or_ml_q0p95,hybrid,q95_abs_ns,3.8032241662343296,4.034908030986781
hybrid_novel_broad_template_mismatch_or_ml_q0p95,hybrid,sigma68_ns,1.9453636805216412,2.0297153682708755
hybrid_novel_broad_template_mismatch_or_ml_q0p95,hybrid,kept_pair_fraction,0.9522089469297027,0.9893048128342246
hybrid_novel_broad_template_mismatch_or_ml_q0p95,hybrid,abs_median_log_amp_delta,0.0033699925472996384,0.014449555970367456
hybrid_novel_broad_template_mismatch_or_ml_q0p95,hybrid,max_pair_composition_drift,0.0021137447608035043,0.006318989575761463
hybrid_novel_broad_template_mismatch_or_ml_q0p975,hybrid,tail_rate,0.04219409282700422,0.051532941943900845
hybrid_novel_broad_template_mismatch_or_ml_q0p975,hybrid,full_rms_ns,2.3699546013094084,4.81815721435585
hybrid_novel_broad_template_mismatch_or_ml_q0p975,hybrid,q95_abs_ns,3.8579243965466667,4.043370492537814
hybrid_novel_broad_template_mismatch_or_ml_q0p975,hybrid,sigma68_ns,1.9700381593704215,2.0446609325790366
hybrid_novel_broad_template_mismatch_or_ml_q0p975,hybrid,kept_pair_fraction,0.9811810512654121,0.9971949509116409
hybrid_novel_broad_template_mismatch_or_ml_q0p975,hybrid,abs_median_log_amp_delta,0.00044406945975961065,0.007349155357475823
hybrid_novel_broad_template_mismatch_or_ml_q0p975,hybrid,max_pair_composition_drift,0.0008423037698518376,0.0033209084507829223
hybrid_novel_delayed_peak_or_ml_q0p9,hybrid,tail_rate,0.030425963488843813,0.04814189189189189
hybrid_novel_delayed_peak_or_ml_q0p9,hybrid,full_rms_ns,1.9521913876745525,2.9350514699169366
hybrid_novel_delayed_peak_or_ml_q0p9,hybrid,q95_abs_ns,3.6275872281392285,3.925578027089431
hybrid_novel_delayed_peak_or_ml_q0p9,hybrid,sigma68_ns,1.9029373472531608,1.9925206556320227
hybrid_novel_delayed_peak_or_ml_q0p9,hybrid,kept_pair_fraction,0.6914446002805049,0.8109215017064847
hybrid_novel_delayed_peak_or_ml_q0p9,hybrid,abs_median_log_amp_delta,0.014040830565571483,0.03977353486255808
hybrid_novel_delayed_peak_or_ml_q0p9,hybrid,max_pair_composition_drift,0.0026399635867091487,0.0216696892784215
hybrid_novel_delayed_peak_or_ml_q0p95,hybrid,tail_rate,0.03946263643996641,0.05704971475142624
hybrid_novel_delayed_peak_or_ml_q0p95,hybrid,full_rms_ns,2.081218314230009,3.0307001645108307
hybrid_novel_delayed_peak_or_ml_q0p95,hybrid,q95_abs_ns,3.775282619937254,4.197405634562173
hybrid_novel_delayed_peak_or_ml_q0p95,hybrid,sigma68_ns,1.952171437098182,2.0705042572021526
hybrid_novel_delayed_peak_or_ml_q0p95,hybrid,kept_pair_fraction,0.7082748948106592,0.8585118376550169
hybrid_novel_delayed_peak_or_ml_q0p95,hybrid,abs_median_log_amp_delta,0.006970355940135953,0.031354647988877105
hybrid_novel_delayed_peak_or_ml_q0p95,hybrid,max_pair_composition_drift,0.0020069978726018067,0.0186369738608545
hybrid_novel_delayed_peak_or_ml_q0p975,hybrid,tail_rate,0.04296875,0.05649717514124294
hybrid_novel_delayed_peak_or_ml_q0p975,hybrid,full_rms_ns,2.0515779739438122,3.1452088302365016
hybrid_novel_delayed_peak_or_ml_q0p975,hybrid,q95_abs_ns,3.8863838802973394,4.197405634562173
hybrid_novel_delayed_peak_or_ml_q0p975,hybrid,sigma68_ns,1.9769462372461963,2.067358079115549
