ablation_type,ablation,samples,method,base_sigma68_ns,ablated_sigma68_ns,delta_sigma68_ns,ci_low,ci_high,n_pair_residuals,heldout_runs
sample,5,5,cfd20,3.1884502039551736,1.1635657169437406,-2.024884487011433,-2.2057901835918323,-1.819345907731351,1224,"42,57,64,65"
sample,5,5,template_phase_coarse_0p05_min,2.5232181251049006,2.7732181251049006,0.25,-0.23606515836715403,0.4860651583671505,1224,"42,57,64,65"
sample,5,5,template_phase_fine_0p01_min,2.5592832834720616,2.8592832834720574,0.2999999999999958,-0.04999999999999716,0.4360651583671533,1224,"42,57,64,65"
sample,5,5,template_phase_fine_0p01_parabolic,2.5587279275018515,2.84914690359909,0.29041897609723843,-0.014212918096955405,0.45410203836026275,1224,"42,57,64,65"
sample,5,5,of_5_13,2.693265431442259,2.9351949691772456,0.2419295377349866,0.07343615127563474,0.5650309143066377,1224,"42,57,64,65"
sample,5,5,ml_ridge_residual,1.974360668523108,3.7581532697724285,1.7837926012493204,1.6652146247469606,1.8878790759619548,1224,"42,57,64,65"
sample,7,7,cfd20,3.1884502039551736,2.967807212352752,-0.22064299160242173,-0.7790310473442066,-0.05548154723644494,1224,"42,57,64,65"
sample,7,7,template_phase_coarse_0p05_min,2.5232181251049006,2.523218125104904,3.552713678800501e-15,0.0,0.25,1224,"42,57,64,65"
sample,7,7,template_phase_fine_0p01_min,2.5592832834720616,2.6092832834720703,0.050000000000008704,-0.014984841632836707,0.23606515836716113,1224,"42,57,64,65"
sample,7,7,template_phase_fine_0p01_parabolic,2.5587279275018515,2.6129549527374945,0.054227025235642934,-0.007465741329841791,0.242676761561885,1224,"42,57,64,65"
sample,7,7,of_5_13,2.693265431442259,2.7882977485656735,0.09503231712341442,-0.04380364387511326,0.20929813385009766,1224,"42,57,64,65"
sample,7,7,ml_ridge_residual,1.974360668523108,3.308327039429884,1.333966370906776,0.32641886814163534,1.7646959736159498,1224,"42,57,64,65"
sample,8,8,cfd20,3.1884502039551736,3.0389195137405407,-0.14953069021463294,-0.668681094169612,0.0067186355590784785,1224,"42,57,64,65"
sample,8,8,template_phase_coarse_0p05_min,2.5232181251049006,2.7732181251049006,0.25,0.013934841632845973,0.25000000000000355,1224,"42,57,64,65"
sample,8,8,template_phase_fine_0p01_min,2.5592832834720616,2.8092832834720602,0.24999999999999867,0.1639348416328481,0.2860651583671636,1224,"42,57,64,65"
sample,8,8,template_phase_fine_0p01_parabolic,2.5587279275018515,2.791150747441331,0.23242281993947955,0.18964354301200403,0.2825828104031225,1224,"42,57,64,65"
sample,8,8,of_5_13,2.693265431442259,2.6885882311248777,-0.004677200317381391,-0.22818374633788752,0.16577990341186455,1224,"42,57,64,65"
sample,8,8,ml_ridge_residual,1.974360668523108,3.1188676606213943,1.1445069920982862,0.2501036049922165,1.9030593103323983,1224,"42,57,64,65"
window,5-8,"5,6,7,8",cfd20,3.1884502039551736,1.1406124384403233,-2.04783776551485,-2.222895920276642,-1.8984071702957053,1224,"42,57,64,65"
window,5-8,"5,6,7,8",template_phase_coarse_0p05_min,2.5232181251049006,3.0092832834720595,0.4860651583671589,0.24999999999999956,1.500000000000007,1224,"42,57,64,65"
window,5-8,"5,6,7,8",template_phase_fine_0p01_min,2.5592832834720616,2.9977883250713337,0.43850504159927217,0.24999999999999645,1.133044342928652,1224,"42,57,64,65"
window,5-8,"5,6,7,8",template_phase_fine_0p01_parabolic,2.5587279275018515,2.9970125621774026,0.4382846346755511,0.24293990218799166,1.3670078639584737,1224,"42,57,64,65"
window,5-8,"5,6,7,8",of_5_13,2.693265431442259,1.7485482492065434,-0.9447171822357157,-0.9959458440132138,-0.821988582611084,1224,"42,57,64,65"
window,5-8,"5,6,7,8",ml_ridge_residual,1.974360668523108,3.8872423907094484,1.9128817221863403,1.8493678285887736,1.951595957421632,1224,"42,57,64,65"
