sample,p01d_cfd_delta_ns,rerun_cfd20_delta_ns,p01d_coarse_template_delta_ns,coarse_template_delta_ns,fine_template_delta_ns,parabolic_template_delta_ns,of_5_13_delta_ns,ml_ridge_residual_delta_ns,non_cfd_methods_robust_negative,interpretation
5,-2.024884487011433,-2.024884487011433,0.25,0.25,0.2999999999999958,0.29041897609723843,0.2419295377349866,1.7837926012493204,0,cfd_only_artifact
7,-0.22064299160242173,-0.22064299160242173,3.552713678800501e-15,3.552713678800501e-15,0.050000000000008704,0.054227025235642934,0.09503231712341442,1.333966370906776,0,cfd_only_artifact
8,-0.14953069021463294,-0.14953069021463294,0.25,0.25,0.24999999999999867,0.23242281993947955,-0.004677200317381391,1.1445069920982862,0,cfd_only_artifact
