sample,p01d_reference_cfd_delta_ns,reproduced_cfd_delta_ns,abs_difference_ns,pass
5,-2.024884487011433,-2.024884487011433,0.0,True
7,-0.22064299160242173,-0.22064299160242173,0.0,True
8,-0.14953069021463294,-0.14953069021463294,0.0,True
