heldout_run,model,width,average_precision,learning_rate,hidden,C
58,cnn,8.0,0.9972989053868269,,,
58,gradient_boosted_trees,,0.9999999999999998,0.08,,
58,mlp,,0.9977207136551135,,24.0,
58,ridge,,0.999798792756539,,,1.0
58,tcn,8.0,0.9950605819620609,,,
58,traditional_s16f_scorecard,,0.9741341784883668,,,
59,cnn,8.0,0.9902542405484012,,,
59,gradient_boosted_trees,,0.9968222886475407,0.08,,
59,mlp,,0.9769512170094182,,24.0,
59,ridge,,0.9962559041501686,,,0.3
59,tcn,8.0,0.9919397854987203,,,
59,traditional_s16f_scorecard,,0.9755383262207048,,,
60,cnn,8.0,0.9891288156122285,,,
60,gradient_boosted_trees,,0.997299711398119,0.08,,
60,mlp,,0.9877862877270016,,48.0,
60,ridge,,0.9981929619294766,,,0.3
60,tcn,8.0,0.9890887813648828,,,
60,traditional_s16f_scorecard,,0.9784981325446709,,,
61,cnn,8.0,0.9711456812493895,,,
61,gradient_boosted_trees,,0.9697053393223094,0.08,,
61,mlp,,0.8726249396065708,,48.0,
61,ridge,,0.9877735405844552,,,1.0
61,tcn,8.0,0.9763604563980355,,,
61,traditional_s16f_scorecard,,0.903225345102465,,,
62,cnn,8.0,0.9965224076139907,,,
62,gradient_boosted_trees,,0.9990507131662264,0.08,,
62,mlp,,0.9901771830537136,,48.0,
62,ridge,,0.9988470979029805,,,1.0
62,tcn,8.0,0.9986663300606816,,,
62,traditional_s16f_scorecard,,0.9846711968939816,,,
63,cnn,8.0,0.9979631066041779,,,
63,gradient_boosted_trees,,0.9987646869316653,0.08,,
63,mlp,,0.9896594148377704,,48.0,
63,ridge,,0.999498211453135,,,1.0
63,tcn,8.0,0.995349743350747,,,
63,traditional_s16f_scorecard,,0.9807969873952229,,,
65,cnn,8.0,0.9994668446740818,,,
65,gradient_boosted_trees,,0.9983996735168656,0.03,,
65,mlp,,0.9769992273137665,,24.0,
65,ridge,,0.9994795732500652,,,0.3
65,tcn,8.0,0.9964326976948489,,,
65,traditional_s16f_scorecard,,0.9426580186192015,,,
