method,n,positives,roc_auc,auc_ci_low,auc_ci_high,average_precision,role,family
traditional_fisher_gatti_all_features,9745,2089,0.9955467835950165,0.9934646164940171,0.9974017273957475,0.9852739404199048,traditional_multivariate,fisher_gatti_engineered_features
traditional_gatti_waveform,9745,2089,0.9915900850001474,0.9889816616007643,0.9932563948496862,0.9716284151609209,traditional_multivariate,current_integration_gatti
traditional_scalar__matched_template_delta_chi2,9745,2089,0.9906723305086654,0.9877772824986291,0.9928231168284175,0.9675578518049726,traditional_scalar,matched_filter_template_chi2
traditional_scalar__matched_template_nominal_chi2,9745,2089,0.9884075815349647,0.9867901064168084,0.989868995391512,0.9377656053571622,traditional_scalar,matched_filter_template_chi2
traditional_scalar__positive_area,9745,2089,0.97183316551394,0.9647888767872042,0.9783801289671257,0.9397430416956813,traditional_scalar,traditional_scalar
traditional_scalar__area_over_peak,9745,2089,0.9714477874100941,0.9651472149441342,0.9767097412190864,0.9088866142618712,traditional_scalar,traditional_scalar
traditional_scalar__width20,9745,2089,0.955750327760529,0.9419949829765563,0.9674097218156897,0.9179476143183651,traditional_scalar,rise_time_width
traditional_scalar__time_variance,9745,2089,0.9336884551762155,0.9182000303156841,0.9481697506682455,0.9135891537481776,traditional_scalar,mean_time_moments
traditional_scalar__width50,9745,2089,0.9229822156461697,0.908425353985452,0.9337265916358295,0.8228780208986395,traditional_scalar,rise_time_width
traditional_scalar__haar_l0_d02,9745,2089,0.8959163364051035,0.8854847759646479,0.906220794123531,0.6591270415301494,traditional_scalar,wavelet_haar
traditional_scalar__haar_l1_d01,9745,2089,0.8926902211564484,0.881000042405523,0.9038036353969418,0.6063202233120661,traditional_scalar,wavelet_haar
traditional_scalar__middle_5_9_over_total,9745,2089,0.8674607575232358,0.8045292764561729,0.9099680033598515,0.8423138923924451,traditional_scalar,charge_comparison_psd
traditional_scalar__time_skewness,9745,2089,0.8517339419850108,0.8131753621296643,0.8772731022569227,0.8186543327512039,traditional_scalar,mean_time_moments
traditional_scalar__fft_k1_fraction,9745,2089,0.8427002377983297,0.8171700661699866,0.8666631053547076,0.68821722909035,traditional_scalar,frequency_domain_fft
traditional_scalar__fft_high_over_low,9745,2089,0.8301323847410904,0.7926527649168089,0.8547837685922013,0.7165208727462555,traditional_scalar,frequency_domain_fft
traditional_scalar__haar_l0_d06,9745,2089,0.8270316025676617,0.7890579856717702,0.8545885209216325,0.7295213224797384,traditional_scalar,wavelet_haar
traditional_scalar__haar_l2_d00,9745,2089,0.820025174159515,0.7387694205949032,0.8734480836277527,0.7412833452206979,traditional_scalar,wavelet_haar
traditional_scalar__haar_l1_d03,9745,2089,0.8194438400278515,0.7923328646644617,0.8419693803101737,0.7326414498080907,traditional_scalar,wavelet_haar
traditional_scalar__haar_l2_d01,9745,2089,0.7606335219613309,0.670220363362219,0.8229502944616307,0.7378724325418184,traditional_scalar,wavelet_haar
traditional_scalar__time_kurtosis,9745,2089,0.7518723367112301,0.6716232702706112,0.8138792429636648,0.7200566949966548,traditional_scalar,mean_time_moments
traditional_scalar__haar_l0_d07,9745,2089,0.7323230968505478,0.705599330553028,0.7534281597531249,0.6073237955563953,traditional_scalar,wavelet_haar
traditional_scalar__tail_14_17_over_total,9745,2089,0.7227217204313983,0.6367282977869152,0.7923546860730363,0.7639367511359165,traditional_scalar,charge_comparison_psd
traditional_scalar__tail_12_17_over_total,9745,2089,0.718374329035056,0.6269147541324588,0.7903589402733626,0.7616594169460641,traditional_scalar,charge_comparison_psd
traditional_scalar__final_sample,9745,2089,0.7132362044205278,0.6159365731543015,0.7779112809175865,0.740707862549657,traditional_scalar,traditional_scalar
traditional_scalar__mean_time,9745,2089,0.7115216829659065,0.6198089064885165,0.7891383849205363,0.7528744511773774,traditional_scalar,mean_time_moments
traditional_scalar__tail_10_17_over_total,9745,2089,0.7107934756021614,0.6090419651688972,0.7829128972885206,0.7508412433847625,traditional_scalar,charge_comparison_psd
traditional_scalar__peak_sample,9745,2089,0.7093944908719756,0.6124064333822585,0.7831084266117274,0.7611443123387887,traditional_scalar,traditional_scalar
traditional_scalar__late_minus_early_asym,9745,2089,0.706154870038761,0.6100346593733108,0.776286488847915,0.7452879685796386,traditional_scalar,charge_comparison_psd
traditional_scalar__haar_l3_d00,9745,2089,0.7050880851732191,0.6537857802400738,0.7589221663180112,0.5050361033283108,traditional_scalar,wavelet_haar
traditional_scalar__haar_l0_d03,9745,2089,0.7041556683688704,0.6142806770282789,0.7745739703663904,0.3374713808977807,traditional_scalar,wavelet_haar
