method,run,n,positives,roc_auc,average_precision
ML_gradient_boosted_trees,42,1124,304,1.0,1.0
ML_gradient_boosted_trees,50,1170,362,1.0,1.0
ML_gradient_boosted_trees,57,1103,306,1.0,0.9999999999999999
ML_gradient_boosted_trees,58,1099,279,1.0,1.0
ML_gradient_boosted_trees,60,1400,199,1.0,1.0
ML_gradient_boosted_trees,62,1400,209,1.0,1.0000000000000002
ML_gradient_boosted_trees,64,1321,191,0.9999953667238105,0.9999727312390921
ML_gradient_boosted_trees,65,1128,239,1.0,0.9999999999999999
ML_mlp,42,1124,304,0.9996249197689345,0.9987070505541715
ML_mlp,50,1170,362,0.9998222197910399,0.9996512455421327
ML_mlp,57,1103,306,0.9999548962203033,0.9998836146423103
ML_mlp,58,1099,279,0.9999606608969316,0.9998879928315412
ML_mlp,60,1400,199,0.9988075263913238,0.9953538252611744
ML_mlp,62,1400,209,0.9999799131444366,0.9998856364968274
ML_mlp,64,1321,191,0.999851735161933,0.9991987898319515
ML_mlp,65,1128,239,0.9999482282287935,0.9998057678646268
ML_ridge_classifier,42,1124,304,0.9929998395378692,0.9783027131285328
ML_ridge_classifier,50,1170,362,0.9983110880148788,0.9935925717372437
ML_ridge_classifier,57,1103,306,0.9929474089928737,0.9860116131275859
ML_ridge_classifier,58,1099,279,0.9965294169070722,0.9777911300930261
ML_ridge_classifier,60,1400,199,0.9872593609178281,0.9225093992135049
ML_ridge_classifier,62,1400,209,0.9961393063607037,0.9746935643867096
ML_ridge_classifier,64,1321,191,0.9949682620581013,0.9593037588859932
ML_ridge_classifier,65,1128,239,0.9965359978538247,0.9837889898478589
NN_1d_cnn,42,1124,304,0.9747512836970476,0.9379939777746387
NN_1d_cnn,50,1170,362,0.983295498058093,0.9632199682375968
NN_1d_cnn,57,1103,306,0.9812409279897656,0.9480980807718726
NN_1d_cnn,58,1099,279,0.9865766238307545,0.9514757263009268
NN_1d_cnn,60,1400,199,0.9658868865560107,0.8685578669704517
NN_1d_cnn,62,1400,209,0.9589826409394221,0.892266640863669
NN_1d_cnn,64,1321,191,0.9580688504841773,0.8574188223026251
NN_1d_cnn,65,1128,239,0.9823928912651608,0.9456658636996753
NN_residual_squeeze_cnn_new,42,1124,304,0.9896341463414634,0.9616658941732608
NN_residual_squeeze_cnn_new,50,1170,362,0.9934768338712324,0.9799875760036029
NN_residual_squeeze_cnn_new,57,1103,306,0.9857636069902658,0.9585333418765566
NN_residual_squeeze_cnn_new,58,1099,279,0.9881414459305884,0.9576036072993523
NN_residual_squeeze_cnn_new,60,1400,199,0.9715521822267038,0.8967648227030264
NN_residual_squeeze_cnn_new,62,1400,209,0.971319987626497,0.9203409855348563
NN_residual_squeeze_cnn_new,64,1321,191,0.9724598063290553,0.8818942075365491
NN_residual_squeeze_cnn_new,65,1128,239,0.9861486979399541,0.9617089114333063
traditional_fisher_gatti_all_features,42,1124,304,0.9938462772785622,0.9843164609624289
traditional_fisher_gatti_all_features,50,1170,362,0.9988581040424485,0.9972715194372139
traditional_fisher_gatti_all_features,57,1103,306,0.9941652110446856,0.9913041869479786
traditional_fisher_gatti_all_features,58,1099,279,0.9971763266019757,0.983511435152078
traditional_fisher_gatti_all_features,60,1400,199,0.9890878204511315,0.9553072353287071
traditional_fisher_gatti_all_features,62,1400,209,0.9969749195521435,0.9833470837153371
traditional_fisher_gatti_all_features,64,1321,191,0.9954501227818191,0.9717842955809274
traditional_fisher_gatti_all_features,65,1128,239,0.9976326180984698,0.991546969970156
traditional_gatti_waveform,42,1124,304,0.9910622593068036,0.9694506447050626
traditional_gatti_waveform,50,1170,362,0.9944375307696516,0.9836308667380589
traditional_gatti_waveform,57,1103,306,0.9937305746221534,0.9861743201705614
traditional_gatti_waveform,58,1099,279,0.9946542529941429,0.9817848098035536
traditional_gatti_waveform,60,1400,199,0.9836233624408468,0.9275828303130359
traditional_gatti_waveform,62,1400,209,0.98944636608696,0.965775709230144
traditional_gatti_waveform,64,1321,191,0.9903442524208869,0.9519805104795468
traditional_gatti_waveform,65,1128,239,0.9924930931750686,0.983902193085283
traditional_scalar__area_over_peak,42,1124,304,0.9802390885750962,0.9393229885470475
traditional_scalar__area_over_peak,50,1170,362,0.9813467534598763,0.9510320913885171
traditional_scalar__area_over_peak,57,1103,306,0.97425394248038,0.9344483620879127
traditional_scalar__area_over_peak,58,1099,279,0.9749890724713698,0.9275873970445668
traditional_scalar__area_over_peak,60,1400,199,0.9644391817538988,0.8591383518956744
traditional_scalar__area_over_peak,62,1400,209,0.9558772130693116,0.8810259878320693
traditional_scalar__area_over_peak,64,1321,191,0.9595700319696058,0.8432484792036649
traditional_scalar__area_over_peak,65,1128,239,0.9781664321248547,0.9302056316168843
traditional_scalar__cf_ratio_s6_s8,42,1124,304,0.6758865532734275,0.6675191462103882
traditional_scalar__cf_ratio_s6_s8,50,1170,362,0.7141106203161753,0.7282860384579819
traditional_scalar__cf_ratio_s6_s8,57,1103,306,0.6549950385842335,0.6662054755409159
traditional_scalar__cf_ratio_s6_s8,58,1099,279,0.6842359471981817,0.6800062285618943
traditional_scalar__cf_ratio_s6_s8,60,1400,199,0.4528805559855899,0.3914718030779139
traditional_scalar__cf_ratio_s6_s8,62,1400,209,0.4239692430067612,0.4029912003850613
traditional_scalar__cf_ratio_s6_s8,64,1321,191,0.45981327896955937,0.3919849995951664
traditional_scalar__cf_ratio_s6_s8,65,1128,239,0.6118434986421676,0.6074923852566242
traditional_scalar__cfd20_time,42,1124,304,0.7377366816431322,0.7887575220415146
traditional_scalar__cfd20_time,50,1170,362,0.839549942563317,0.8775758850801761
traditional_scalar__cfd20_time,57,1103,306,0.7636192912966107,0.8161086800495392
