figure_id,figure_status,figure_evidence_class,estimate,slope_adc_per_MeV,pull_rms,n_events,uncertainty_adc_per_MeV,evidence
FIG-WIKI-005,GATED,MC_CLOSURE_PLUS_GATED_DATA_MC_PROXY,Proton,119.16753164952195,0.6011934437471822,18000.0,0.0,SIMULATION_RESULT
FIG-WIKI-005,GATED,MC_CLOSURE_PLUS_GATED_DATA_MC_PROXY,Deuteron,119.16782167742097,0.7196810756730664,18000.0,0.0,SIMULATION_RESULT
FIG-WIKI-005,GATED,MC_CLOSURE_PLUS_GATED_DATA_MC_PROXY,MV0 data/MC proxy,92.0,,,28.0,GATED
