figure_id,figure_status,figure_evidence_class,sample,stave,selected_pulses,report_value,delta,pass
FIG-WIKI-001,VALIDATED,DATA_MEASUREMENT,Sample I,B2,241422,241422,0,True
FIG-WIKI-001,VALIDATED,DATA_MEASUREMENT,Sample I,B4,6451,6451,0,True
FIG-WIKI-001,VALIDATED,DATA_MEASUREMENT,Sample I,B6,3094,3094,0,True
FIG-WIKI-001,VALIDATED,DATA_MEASUREMENT,Sample I,B8,1299,1299,0,True
FIG-WIKI-001,VALIDATED,DATA_MEASUREMENT,Sample II,B2,88213,88213,0,True
FIG-WIKI-001,VALIDATED,DATA_MEASUREMENT,Sample II,B4,21229,21229,0,True
FIG-WIKI-001,VALIDATED,DATA_MEASUREMENT,Sample II,B6,11148,11148,0,True
FIG-WIKI-001,VALIDATED,DATA_MEASUREMENT,Sample II,B8,4506,4506,0,True
