figure_id,figure_status,figure_evidence_class,population,numerator,denominator,fraction,ci_low,ci_high
FIG-WIKI-009,TRUTH_LEVEL_MC_ONLY,TRUTH_LEVEL_MC_ONLY,All charged B-arm MC,283,87555,0.003232254011764034,0.002877452112691542,0.003630645177388446
FIG-WIKI-009,TRUTH_LEVEL_MC_ONLY,TRUTH_LEVEL_MC_ONLY,C12 truth subset,156,7302,0.021364009860312245,0.018290520583369645,0.024940838952822255
