figure_id,figure_status,figure_evidence_class,claim_id,components,cumulative_explained_variance,n_mc,status
FIG-WIKI-010,TRUTH_LEVEL_MC_ONLY,SYNTHETIC_WAVEFORM_MC,CL-023,3,0.7254602133437841,87555,TRUTH_LEVEL_MC_ONLY
FIG-WIKI-010,TRUTH_LEVEL_MC_ONLY,SYNTHETIC_WAVEFORM_MC,CL-024,8,0.821883926913117,87555,TRUTH_LEVEL_MC_ONLY
