figure_id,figure_status,figure_evidence_class,point,rate_Hz,poisson_overlap,observed_overlap,rate_MHz,acquisition_window_ns
FIG-WIKI-007,SIMULATION_RESULT,SIMULATION_RESULT,nearest 5% point,288702.56410256407,0.0506392935935005,,0.28870256410256406,180.0
FIG-WIKI-007,SIMULATION_RESULT,SIMULATION_RESULT,nearest 10% point,604551.282051282,0.10310746658164238,,0.6045512820512821,180.0
FIG-WIKI-007,SIMULATION_RESULT,SIMULATION_RESULT,maximum scan rate,1000000.0,0.164729788588728,0.159,1.0,180.0
