figure_id,figure_status,figure_evidence_class,status,claims
FIG-WIKI-002,REVIEW,GOVERNANCE_LEDGER,DONE_DATA_ONLY,5
FIG-WIKI-002,REVIEW,GOVERNANCE_LEDGER,TRUTH_LEVEL_MC_ONLY,3
FIG-WIKI-002,REVIEW,GOVERNANCE_LEDGER,GATED,15
FIG-WIKI-002,REVIEW,GOVERNANCE_LEDGER,REVIEW,1
FIG-WIKI-002,REVIEW,GOVERNANCE_LEDGER,TENSION,1
FIG-WIKI-002,REVIEW,GOVERNANCE_LEDGER,FLAWED,3
FIG-WIKI-002,REVIEW,GOVERNANCE_LEDGER,BLOCKED,7
FIG-WIKI-002,REVIEW,GOVERNANCE_LEDGER,SUPERSEDED,1
