file,stack,run,entries,trigger_summary,non_beam_trigger_entries,has_trigger_branch,has_run_metadata_branch,filename_token_hit
hrda_run_0000.root,a,0,0,empty,0,True,False,False
hrda_run_0001.root,a,1,0,empty,0,True,False,False
hrda_run_0002.root,a,2,0,empty,0,True,False,False
hrda_run_0003.root,a,3,0,empty,0,True,False,False
hrda_run_0012.root,a,12,15043,1:15043,0,True,False,False
hrda_run_0013.root,a,13,51109,1:51109,0,True,False,False
hrda_run_0014.root,a,14,3495,1:3495,0,True,False,False
hrda_run_0015.root,a,15,103882,1:103882,0,True,False,False
hrda_run_0016.root,a,16,11984,1:11984,0,True,False,False
hrda_run_0017.root,a,17,5670,1:5670,0,True,False,False
hrda_run_0018.root,a,18,75391,1:75391,0,True,False,False
hrda_run_0019.root,a,19,73816,1:73816,0,True,False,False
hrda_run_0020.root,a,20,57759,1:57759,0,True,False,False
hrda_run_0021.root,a,21,0,empty,0,True,False,False
hrda_run_0022.root,a,22,0,empty,0,True,False,False
hrda_run_0023.root,a,23,3815,1:3815,0,True,False,False
hrda_run_0024.root,a,24,24988,1:24988,0,True,False,False
hrda_run_0025.root,a,25,3315,1:3315,0,True,False,False
hrda_run_0026.root,a,26,54079,1:54079,0,True,False,False
hrda_run_0027.root,a,27,34986,1:34986,0,True,False,False
hrda_run_0028.root,a,28,5222,1:5222,0,True,False,False
hrda_run_0029.root,a,29,25873,1:25873,0,True,False,False
hrda_run_0030.root,a,30,5243,1:5243,0,True,False,False
hrda_run_0031.root,a,31,39994,1:39994,0,True,False,False
hrda_run_0032.root,a,32,41913,1:41913,0,True,False,False
hrda_run_0033.root,a,33,57167,1:57167,0,True,False,False
hrda_run_0034.root,a,34,39721,1:39721,0,True,False,False
hrda_run_0035.root,a,35,27764,1:27764,0,True,False,False
hrda_run_0036.root,a,36,21755,1:21755,0,True,False,False
hrda_run_0037.root,a,37,50511,1:50511,0,True,False,False
hrda_run_0039.root,a,39,30336,1:30336,0,True,False,False
hrda_run_0040.root,a,40,32645,1:32645,0,True,False,False
hrda_run_0041.root,a,41,34021,1:34021,0,True,False,False
hrda_run_0042.root,a,42,33976,1:33976,0,True,False,False
hrda_run_0043.root,a,43,13,1:13,0,True,False,False
hrda_run_0044.root,a,44,4299,1:4299,0,True,False,False
hrda_run_0045.root,a,45,48208,1:48208,0,True,False,False
hrda_run_0046.root,a,46,1444,1:1444,0,True,False,False
hrda_run_0047.root,a,47,10982,1:10982,0,True,False,False
hrda_run_0048.root,a,48,31671,1:31671,0,True,False,False
hrda_run_0049.root,a,49,32325,1:32325,0,True,False,False
hrda_run_0050.root,a,50,44824,1:44824,0,True,False,False
hrda_run_0051.root,a,51,20566,1:20566,0,True,False,False
hrda_run_0052.root,a,52,10010,1:10010,0,True,False,False
hrda_run_0053.root,a,53,39621,1:39621,0,True,False,False
hrda_run_0054.root,a,54,37385,1:37385,0,True,False,False
hrda_run_0055.root,a,55,24409,1:24409,0,True,False,False
hrda_run_0056.root,a,56,51829,1:51829,0,True,False,False
hrda_run_0057.root,a,57,31275,1:31275,0,True,False,False
hrda_run_0058.root,a,58,34178,1:34178,0,True,False,False
hrda_run_0059.root,a,59,42314,1:42314,0,True,False,False
hrda_run_0060.root,a,60,36089,1:36089,0,True,False,False
hrda_run_0061.root,a,61,36550,1:36550,0,True,False,False
hrda_run_0062.root,a,62,37589,1:37589,0,True,False,False
hrda_run_0063.root,a,63,37040,1:37040,0,True,False,False
hrda_run_0064.root,a,64,35985,1:35985,0,True,False,False
hrda_run_0065.root,a,65,38429,1:38429,0,True,False,False
hrdb_run_0012.root,b,12,14791,1:14791,0,True,False,False
hrdb_run_0013.root,b,13,50629,1:50629,0,True,False,False
hrdb_run_0014.root,b,14,3479,1:3479,0,True,False,False
hrdb_run_0015.root,b,15,103871,1:103871,0,True,False,False
hrdb_run_0016.root,b,16,11533,1:11533,0,True,False,False
hrdb_run_0017.root,b,17,5648,1:5648,0,True,False,False
hrdb_run_0018.root,b,18,75023,1:75023,0,True,False,False
hrdb_run_0019.root,b,19,73470,1:73470,0,True,False,False
hrdb_run_0020.root,b,20,57388,1:57388,0,True,False,False
hrdb_run_0021.root,b,21,0,empty,0,True,False,False
hrdb_run_0022.root,b,22,0,empty,0,True,False,False
hrdb_run_0023.root,b,23,3806,1:3806,0,True,False,False
hrdb_run_0024.root,b,24,24908,1:24908,0,True,False,False
hrdb_run_0025.root,b,25,3315,1:3315,0,True,False,False
hrdb_run_0026.root,b,26,53953,1:53953,0,True,False,False
hrdb_run_0027.root,b,27,34979,1:34979,0,True,False,False
hrdb_run_0028.root,b,28,5203,1:5203,0,True,False,False
hrdb_run_0029.root,b,29,25800,1:25800,0,True,False,False
hrdb_run_0030.root,b,30,5265,1:5265,0,True,False,False
hrdb_run_0031.root,b,31,39990,1:39990,0,True,False,False
hrdb_run_0032.root,b,32,41921,1:41921,0,True,False,False
hrdb_run_0033.root,b,33,57173,1:57173,0,True,False,False
hrdb_run_0034.root,b,34,39765,1:39765,0,True,False,False
hrdb_run_0035.root,b,35,27786,1:27786,0,True,False,False
hrdb_run_0036.root,b,36,21764,1:21764,0,True,False,False
hrdb_run_0037.root,b,37,50513,1:50513,0,True,False,False
hrdb_run_0039.root,b,39,30321,1:30321,0,True,False,False
hrdb_run_0040.root,b,40,32613,1:32613,0,True,False,False
hrdb_run_0041.root,b,41,33997,1:33997,0,True,False,False
hrdb_run_0042.root,b,42,33972,1:33972,0,True,False,False
hrdb_run_0043.root,b,43,13,1:13,0,True,False,False
hrdb_run_0044.root,b,44,4294,1:4294,0,True,False,False
hrdb_run_0045.root,b,45,48181,1:48181,0,True,False,False
hrdb_run_0046.root,b,46,1441,1:1441,0,True,False,False
hrdb_run_0047.root,b,47,10970,1:10970,0,True,False,False
hrdb_run_0048.root,b,48,31713,1:31713,0,True,False,False
hrdb_run_0049.root,b,49,32354,1:32354,0,True,False,False
hrdb_run_0050.root,b,50,44804,1:44804,0,True,False,False
hrdb_run_0051.root,b,51,20569,1:20569,0,True,False,False
hrdb_run_0052.root,b,52,10005,1:10005,0,True,False,False
hrdb_run_0053.root,b,53,39612,1:39612,0,True,False,False
hrdb_run_0054.root,b,54,37413,1:37413,0,True,False,False
hrdb_run_0055.root,b,55,24416,1:24416,0,True,False,False
hrdb_run_0056.root,b,56,51823,1:51823,0,True,False,False
hrdb_run_0057.root,b,57,31284,1:31284,0,True,False,False
hrdb_run_0058.root,b,58,34141,1:34141,0,True,False,False
hrdb_run_0059.root,b,59,42303,1:42303,0,True,False,False
hrdb_run_0060.root,b,60,36074,1:36074,0,True,False,False
hrdb_run_0061.root,b,61,36535,1:36535,0,True,False,False
hrdb_run_0062.root,b,62,37584,1:37584,0,True,False,False
hrdb_run_0063.root,b,63,37030,1:37030,0,True,False,False
hrdb_run_0064.root,b,64,35943,1:35943,0,True,False,False
hrdb_run_0065.root,b,65,38424,1:38424,0,True,False,False
