run,stack,raw_root_present,raw_archive_present,extracted_root_present,entries,non_beam_trigger_entries,trigger_summary
0,a,True,True,True,0,0,empty
0,b,False,False,False,0,0,
1,a,True,True,True,0,0,empty
1,b,False,False,False,0,0,
2,a,True,True,True,0,0,empty
2,b,False,False,False,0,0,
3,a,True,True,True,0,0,empty
3,b,False,False,False,0,0,
4,a,False,False,False,0,0,
4,b,False,False,False,0,0,
5,a,False,False,False,0,0,
5,b,False,False,False,0,0,
6,a,False,False,False,0,0,
6,b,False,False,False,0,0,
7,a,False,False,False,0,0,
7,b,False,False,False,0,0,
8,a,False,False,False,0,0,
8,b,False,False,False,0,0,
9,a,False,False,False,0,0,
9,b,False,False,False,0,0,
10,a,False,False,False,0,0,
10,b,False,False,False,0,0,
11,a,False,False,False,0,0,
11,b,False,False,False,0,0,
12,a,True,True,True,15043,0,1:15043
12,b,True,True,True,14791,0,1:14791
13,a,True,True,True,51109,0,1:51109
13,b,True,True,True,50629,0,1:50629
14,a,True,True,True,3495,0,1:3495
14,b,True,True,True,3479,0,1:3479
15,a,True,True,True,103882,0,1:103882
15,b,True,True,True,103871,0,1:103871
16,a,True,True,True,11984,0,1:11984
16,b,True,True,True,11533,0,1:11533
17,a,True,True,True,5670,0,1:5670
17,b,True,True,True,5648,0,1:5648
18,a,True,True,True,75391,0,1:75391
18,b,True,True,True,75023,0,1:75023
19,a,True,True,True,73816,0,1:73816
19,b,True,True,True,73470,0,1:73470
20,a,True,True,True,57759,0,1:57759
20,b,True,True,True,57388,0,1:57388
21,a,True,True,True,0,0,empty
21,b,True,True,True,0,0,empty
22,a,True,True,True,0,0,empty
22,b,True,True,True,0,0,empty
23,a,True,True,True,3815,0,1:3815
23,b,True,True,True,3806,0,1:3806
24,a,True,True,True,24988,0,1:24988
24,b,True,True,True,24908,0,1:24908
25,a,True,True,True,3315,0,1:3315
25,b,True,True,True,3315,0,1:3315
26,a,True,True,True,54079,0,1:54079
26,b,True,True,True,53953,0,1:53953
27,a,True,True,True,34986,0,1:34986
27,b,True,True,True,34979,0,1:34979
28,a,True,True,True,5222,0,1:5222
28,b,True,True,True,5203,0,1:5203
29,a,True,True,True,25873,0,1:25873
29,b,True,True,True,25800,0,1:25800
30,a,True,True,True,5243,0,1:5243
30,b,True,True,True,5265,0,1:5265
31,a,True,True,True,39994,0,1:39994
31,b,True,True,True,39990,0,1:39990
32,a,True,True,True,41913,0,1:41913
32,b,True,True,True,41921,0,1:41921
33,a,True,True,True,57167,0,1:57167
33,b,True,True,True,57173,0,1:57173
34,a,True,True,True,39721,0,1:39721
34,b,True,True,True,39765,0,1:39765
35,a,True,True,True,27764,0,1:27764
35,b,True,True,True,27786,0,1:27786
36,a,True,True,True,21755,0,1:21755
36,b,True,True,True,21764,0,1:21764
37,a,True,True,True,50511,0,1:50511
37,b,True,True,True,50513,0,1:50513
38,a,False,False,False,0,0,
38,b,False,False,False,0,0,
39,a,True,True,True,30336,0,1:30336
39,b,True,True,True,30321,0,1:30321
40,a,True,True,True,32645,0,1:32645
40,b,True,True,True,32613,0,1:32613
41,a,True,True,True,34021,0,1:34021
41,b,True,True,True,33997,0,1:33997
42,a,True,True,True,33976,0,1:33976
42,b,True,True,True,33972,0,1:33972
43,a,True,True,True,13,0,1:13
43,b,True,True,True,13,0,1:13
44,a,True,True,True,4299,0,1:4299
44,b,True,True,True,4294,0,1:4294
45,a,True,True,True,48208,0,1:48208
45,b,True,True,True,48181,0,1:48181
46,a,True,True,True,1444,0,1:1444
46,b,True,True,True,1441,0,1:1441
47,a,True,True,True,10982,0,1:10982
47,b,True,True,True,10970,0,1:10970
48,a,True,True,True,31671,0,1:31671
48,b,True,True,True,31713,0,1:31713
49,a,True,True,True,32325,0,1:32325
49,b,True,True,True,32354,0,1:32354
50,a,True,True,True,44824,0,1:44824
50,b,True,True,True,44804,0,1:44804
51,a,True,True,True,20566,0,1:20566
51,b,True,True,True,20569,0,1:20569
52,a,True,True,True,10010,0,1:10010
52,b,True,True,True,10005,0,1:10005
53,a,True,True,True,39621,0,1:39621
53,b,True,True,True,39612,0,1:39612
54,a,True,True,True,37385,0,1:37385
54,b,True,True,True,37413,0,1:37413
55,a,True,True,True,24409,0,1:24409
55,b,True,True,True,24416,0,1:24416
56,a,True,True,True,51829,0,1:51829
56,b,True,True,True,51823,0,1:51823
57,a,True,True,True,31275,0,1:31275
57,b,True,True,True,31284,0,1:31284
58,a,True,True,True,34178,0,1:34178
58,b,True,True,True,34141,0,1:34141
59,a,True,True,True,42314,0,1:42314
59,b,True,True,True,42303,0,1:42303
60,a,True,True,True,36089,0,1:36089
60,b,True,True,True,36074,0,1:36074
61,a,True,True,True,36550,0,1:36550
61,b,True,True,True,36535,0,1:36535
62,a,True,True,True,37589,0,1:37589
62,b,True,True,True,37584,0,1:37584
63,a,True,True,True,37040,0,1:37040
63,b,True,True,True,37030,0,1:37030
64,a,True,True,True,35985,0,1:35985
64,b,True,True,True,35943,0,1:35943
65,a,True,True,True,38429,0,1:38429
65,b,True,True,True,38424,0,1:38424
