stave,bin,n_train_pulses,amp_low_adc,amp_high_adc,seed_cfd20_median_samples,seed_iqr_samples,aligned_cfd20_sigma68_samples,heldout_run
B4,0,988,,1913.5,3.945073891625616,3.3570541652769483,0.02813119325693197,58
B4,1,989,1913.5,2347.5,5.0123831775700936,2.0743090878735604,0.0049261618496847775,58
B4,2,989,2347.5,2696.0,5.05286432160804,1.3542108696398527,0.010776334042723351,58
B4,3,991,2696.0,,4.9546875,1.3860530621980574,0.023304783631801395,58
B6,0,986,,2021.5,5.331641781917876,3.461034312451331,0.05696527272453542,58
B6,1,992,2021.5,2449.0,5.371924692751442,2.3595779145290594,0.060168490203234656,58
B6,2,989,2449.0,2810.5,5.426477541371159,1.8237653744488407,0.06935604848871291,58
B6,3,990,2810.5,,5.344557412235,1.634354171423473,0.06715802120882519,58
B8,0,987,,2785.0,5.217561983471074,3.4070330642045343,0.037617893894553465,58
B8,1,990,2785.0,3328.0,5.4039820283809235,1.8667856172616335,0.07276476521926104,58
B8,2,990,3328.0,4082.0,5.373631982881909,1.637444754558812,0.07915479421154703,58
B8,3,990,4082.0,,5.217116615484393,1.7638409741683905,0.06458004839409438,58
B4,0,815,,1953.0,3.717760617760618,3.4044229372710926,0.0798515855551201,59
B4,1,817,1953.0,2389.5,4.993170731707317,2.0980295566502463,0.006713735645084035,59
B4,2,818,2389.5,2722.75,5.061916353688506,1.2259780637653972,0.012289745967053137,59
B4,3,817,2722.75,,4.962052877138413,1.3029589915691249,0.020608468302599457,59
B6,0,817,,2069.75,5.29765625,3.583723940943192,0.05379473301698347,59
B6,1,816,2069.75,2504.5,5.380447324560892,2.400389769586126,0.05962461429370771,59
B6,2,817,2504.5,2857.0,5.451586489252815,1.8365165652467876,0.07397998598099445,59
B6,3,817,2857.0,,5.327577319587629,1.5974842087985976,0.06555121082898825,59
B8,0,817,,2816.0,5.217561983471074,3.471580607016161,0.03864591130963514,59
B8,1,816,2816.0,3353.0,5.39626100915441,1.9889515646655054,0.07266677285122203,59
B8,2,817,3353.0,4118.25,5.392822636300897,1.5421865679317088,0.08534348298080012,59
B8,3,817,4118.25,,5.213811986613933,1.7615749300594974,0.06363256169033812,59
B4,0,806,,1867.125,4.14203249231149,3.3591900636032674,0.025894033975228048,60
B4,1,805,1867.125,2277.25,5.001612903225807,2.118769357148408,0.007416547456570885,60
B4,2,805,2277.25,2635.875,5.06192794547225,1.4881155932366248,0.012545519499710469,60
B4,3,806,2635.875,,5.0305811420934035,1.2311855316212357,0.007749662221315212,60
B6,0,806,,1964.625,5.338145735615775,3.3286228039127774,0.057921686968829704,60
B6,1,804,1964.625,2375.5,5.366742893305511,2.4255480328776695,0.05767373537262757,60
B6,2,806,2375.5,2758.375,5.429138051647218,1.8930594165004893,0.06792554843720619,60
B6,3,806,2758.375,,5.4258878814298175,1.5974948856659668,0.07751102771515486,60
B8,0,806,,2753.375,5.308127908254396,3.404210916554855,0.05182389123737491,60
B8,1,804,2753.375,3265.5,5.4039820283809235,1.906789627860454,0.07226873372693021,60
B8,2,806,3265.5,3990.875,5.396135845482805,1.7331072159238992,0.08381392997220294,60
B8,3,806,3990.875,,5.249644148800531,1.7405472411199432,0.07219705967642778,60
B4,0,774,,1905.0,3.9466145078721144,3.3571856870622185,0.027801208948088962,61
B4,1,774,1905.0,2327.0,5.012214173477644,1.977589045954006,0.00476546116502746,61
B4,2,772,2327.0,2691.0,5.03138828517476,1.5414719938033448,0.007089955175466062,61
B4,3,777,2691.0,,4.962052877138413,1.3399345388554025,0.01972972850093502,61
B6,0,774,,1987.5,5.333700328751407,3.342530842658022,0.05785999901593804,61
B6,1,774,1987.5,2413.5,5.369994303001729,2.4763106124428322,0.06091898581819565,61
B6,2,774,2413.5,2775.5,5.439469696969697,1.8243163613170947,0.07079474618076534,61
B6,3,775,2775.5,,5.348518518518518,1.6871677462943282,0.0658189604288941,61
B8,0,774,,2762.5,5.312631266142943,3.2259314768860436,0.05129190760014679,61
B8,1,773,2762.5,3303.0,5.37585868498528,2.084096419911568,0.07085759574563993,61
B8,2,775,3303.0,4048.0,5.360491929285165,1.6389768347235312,0.07555253441483681,61
B8,3,775,4048.0,,5.232940406024886,1.7897132235267224,0.06828602776829198,61
B4,0,806,,1912.25,4.06517908994986,3.328291181984521,0.013710031563296796,62
B4,1,805,1912.25,2348.5,5.009492988133765,2.022242379182156,0.004731285722832794,62
B4,2,805,2348.5,2711.5,5.056548856548857,1.2598204873456798,0.011565332365052096,62
B4,3,807,2711.5,,4.958549222797927,1.3886284801417057,0.02197838536551765,62
B6,0,805,,2022.0,5.343570057581574,3.2702538906503373,0.05877907607499491,62
B6,1,806,2022.0,2463.5,5.34032029938823,2.4277904933276524,0.05631026654375049,62
B6,2,804,2463.5,2825.0,5.434734429113453,1.762232667083428,0.06947917744867982,62
B6,3,808,2825.0,,5.350778460107987,1.6510304395065996,0.06837086022506977,62
B8,0,806,,2780.75,5.289411506885409,3.416788562884471,0.047972623545138926,62
B8,1,805,2780.75,3329.0,5.401731601731601,1.8361261252673158,0.07411659065231194,62
B8,2,806,3329.0,4077.0,5.370336009132316,1.62823330371358,0.07817914028905378,62
B8,3,806,4077.0,,5.217116615484393,1.7392464500531122,0.06506053505198342,62
B4,0,915,,1931.875,3.9714285714285715,3.3712368505055936,0.017365029348255734,63
B4,1,915,1931.875,2372.0,5.034756097560976,2.104226356734496,0.008154143009637184,63
B4,2,915,2372.0,2715.125,5.05286432160804,1.3625707115644685,0.010857096898509777,63
B4,3,915,2715.125,,4.97195325542571,1.3058318611557218,0.016321366586633666,63
B6,0,914,,2044.0,5.335388880399904,3.5047212243796118,0.05769382899389028,63
B6,1,915,2044.0,2471.5,5.391060025542784,2.4569562180157165,0.06274630380654246,63
B6,2,916,2471.5,2830.125,5.449517511414943,1.7660252242450163,0.07133625682680007,63
B6,3,915,2830.125,,5.335171102661597,1.6347770075160533,0.06534446656601424,63
B8,0,914,,2797.0,5.218285123966941,3.4175718829472332,0.03870185297817062,63
B8,1,916,2797.0,3331.75,5.407417283346584,1.8517019316573087,0.07230212405448624,63
B8,2,915,3331.75,4095.125,5.4069049061175045,1.6354932797114365,0.08504421817145205,63
B8,3,915,4095.125,,5.218136491118728,1.7695339083950774,0.06551482554331935,63
B4,0,991,,1920.25,3.8798586572438163,3.3649127138183603,0.0509087447695443,65
B4,1,988,1920.25,2352.5,5.011385746076973,2.0788781489994026,0.004782598469896779,65
B4,2,994,2352.5,2700.125,5.061916353688506,1.351533173323958,0.012321882193413245,65
B4,3,991,2700.125,,4.9546875,1.3168665560577422,0.023565948059607066,65
B6,0,991,,2025.875,5.329487179487179,3.557992229265671,0.05663212312394954,65
B6,1,991,2025.875,2455.75,5.3725085910652925,2.3806331520722788,0.059866994553514366,65
B6,2,990,2455.75,2815.5,5.427514287861925,1.8159614216975895,0.06864773995287143,65
B6,3,992,2815.5,,5.3477980283267,1.6354880046552789,0.06761688792920933,65
B8,0,991,,2789.25,5.2190082644628095,3.413103772410314,0.03777788170847192,65
B8,1,991,2789.25,3330.0,5.401848739495798,1.9055299918089057,0.07233331323871335,65
B8,2,991,3330.0,4085.625,5.375251628182356,1.6081865692572515,0.07967170253733284,65
B8,3,991,4085.625,,5.21748178980229,1.764254462940373,0.06516567299317329,65
