alpha,fold,sigma68_ns,n_pair_residuals,heldout_run
0.01,0,2.2619962380512426,3627,58
0.01,1,1.8575051408427006,3534,58
0.01,2,1.9802033154189305,4710,58
0.01,-1,2.033234898104291,0,58
0.1,0,2.2632196334452006,3627,58
0.1,1,1.8576862415469737,3534,58
0.1,2,1.9803355081810037,4710,58
0.1,-1,2.033747127724393,0,58
1.0,0,2.259086799771497,3627,58
1.0,1,1.856825079489527,3534,58
1.0,2,1.9796250666590474,4710,58
1.0,-1,2.0318456486400236,0,58
10.0,0,2.2327613761752785,3627,58
10.0,1,1.8397895480383493,3534,58
10.0,2,1.9634098405567841,4710,58
10.0,-1,2.0119869215901374,0,58
100.0,0,2.169799791170717,3627,58
100.0,1,1.8126589020069899,3534,58
100.0,2,1.909500548608095,4710,58
100.0,-1,1.9639864139286007,0,58
0.01,0,2.280222967497424,3216,59
0.01,1,1.8763842925988905,3054,59
0.01,2,1.8945235894335957,3531,59
0.01,-1,2.01704361650997,0,59
0.1,0,2.2796162310344386,3216,59
0.1,1,1.8765292294634295,3054,59
0.1,2,1.8944472242494068,3531,59
0.1,-1,2.0168642282490916,0,59
1.0,0,2.2756055080030806,3216,59
1.0,1,1.8767383278183956,3054,59
1.0,2,1.8927484588677932,3531,59
1.0,-1,2.015030764896423,0,59
10.0,0,2.265440039275152,3216,59
10.0,1,1.8595046347752118,3054,59
10.0,2,1.8862840079218641,3531,59
10.0,-1,2.0037428939907422,0,59
100.0,0,2.2137221782149497,3216,59
100.0,1,1.8220377679014208,3054,59
100.0,2,1.845223769615745,3531,59
100.0,-1,1.9603279052440385,0,59
0.01,0,2.0568874799476724,3216,60
0.01,1,1.787617843558479,3051,60
0.01,2,1.9077544266412862,3399,60
0.01,-1,1.9174199167158126,0,60
0.1,0,2.057061277898704,3216,60
0.1,1,1.7870653034190127,3051,60
0.1,2,1.9073266595274418,3399,60
0.1,-1,1.9171510802817195,0,60
1.0,0,2.050839527367361,3216,60
1.0,1,1.7906223315331928,3051,60
1.0,2,1.9073071600697564,3399,60
1.0,-1,1.9162563396567702,0,60
10.0,0,2.029458316919233,3216,60
10.0,1,1.7844981365149266,3051,60
10.0,2,1.8831155072295531,3399,60
10.0,-1,1.8990239868879044,0,60
100.0,0,2.0025200891593204,3216,60
100.0,1,1.7497423973734172,3051,60
100.0,2,1.842974901457023,3399,60
100.0,-1,1.86507912932992,0,60
0.01,0,1.8702949752173927,2841,61
0.01,1,2.098788701637462,3051,61
0.01,2,2.0710831677420005,3399,61
0.01,-1,2.0133889481989518,0,61
0.1,0,1.8711349279329923,2841,61
0.1,1,2.098489040958551,3051,61
0.1,2,2.0709495793532726,3399,61
0.1,-1,2.0135245160816053,0,61
1.0,0,1.8645957374052953,2841,61
1.0,1,2.0940698160532616,3051,61
1.0,2,2.0684392968023166,3399,61
1.0,-1,2.0090349500869578,0,61
10.0,0,1.8760980595816927,2841,61
10.0,1,2.0753675049548974,3051,61
10.0,2,2.048097697431464,3399,61
10.0,-1,1.9998544206560183,0,61
100.0,0,1.8514440310026057,2841,61
100.0,1,1.9872650912831773,3051,61
100.0,2,2.007986191421156,3399,61
100.0,-1,1.948898437902313,0,61
0.01,0,2.3930195436157358,3216,62
0.01,1,1.7803230601125872,3054,62
0.01,2,1.909119730945602,3399,62
0.01,-1,2.0274874448913085,0,62
0.1,0,2.39229328316203,3216,62
0.1,1,1.7804590512153629,3054,62
0.1,2,1.908616157695503,3399,62
0.1,-1,2.027122830690965,0,62
1.0,0,2.3856209755530426,3216,62
1.0,1,1.7721224700482083,3054,62
1.0,2,1.9046331611475202,3399,62
1.0,-1,2.02079220224959,0,62
10.0,0,2.3398179759566085,3216,62
10.0,1,1.7601535510007718,3054,62
10.0,2,1.8992995890518607,3399,62
10.0,-1,1.999757038669747,0,62
100.0,0,2.234592464900147,3216,62
100.0,1,1.7321466342303797,3054,62
100.0,2,1.8549375299540505,3399,62
100.0,-1,1.9405588763615256,0,62
0.01,0,2.153407428020384,3216,63
0.01,1,1.852903949565085,3054,63
0.01,2,1.918040578939377,4710,63
0.01,-1,1.9747839855082818,0,63
0.1,0,2.151814616904974,3216,63
0.1,1,1.8528279256833338,3054,63
0.1,2,1.9174827601540183,4710,63
0.1,-1,1.9740417675807755,0,63
1.0,0,2.1401847389619717,3216,63
1.0,1,1.8513664588929748,3054,63
1.0,2,1.915817069623082,4710,63
1.0,-1,1.9691227558260096,0,63
10.0,0,2.1126488186437298,3216,63
10.0,1,1.8454966251890195,3054,63
10.0,2,1.9086399934432803,4710,63
10.0,-1,1.9555951457586767,0,63
100.0,0,2.0809560721160527,3216,63
100.0,1,1.8251945758034778,3054,63
100.0,2,1.8726330736127712,4710,63
100.0,-1,1.9262612405107673,0,63
0.01,0,2.2717022372400733,3648,65
0.01,1,1.8953820952665297,3534,65
0.01,2,1.9414481203009943,4710,65
0.01,-1,2.036177484269199,0,65
0.1,0,2.2709962495575877,3648,65
0.1,1,1.8950534332204327,3534,65
0.1,2,1.941199061787527,4710,65
0.1,-1,2.035749581521849,0,65
1.0,0,2.2660717227794804,3648,65
1.0,1,1.8954914138147514,3534,65
1.0,2,1.9443178656703002,4710,65
1.0,-1,2.0352936674215107,0,65
10.0,0,2.2425724438616217,3648,65
10.0,1,1.876951588945957,3534,65
10.0,2,1.932449999766452,4710,65
10.0,-1,2.017324677524677,0,65
100.0,0,2.1656965490408875,3648,65
100.0,1,1.8575338292320034,3534,65
100.0,2,1.8998010510434309,4710,65
100.0,-1,1.9743438097721073,0,65
