n,pred_mean_ns,target_mean_ns,heldout_run
32,-4.9327326132811065,-4.0817216123595355,58
31,-3.577873261164867,-4.431018785937028,58
31,-0.10106244643908575,-0.2947169246873854,58
31,1.8488233628219495,1.9417898757082546,58
31,2.5680227310036874,2.7848965113594284,58
31,3.382642521736559,3.544133279534975,58
32,4.688785452032598,0.6474215300056123,58
327,-4.838993499578915,-4.8197117880025955,59
327,-4.171247893260908,-4.350484470545522,59
327,-0.5656526383171494,-0.7098644705841768,59
327,1.6888425092109123,1.7712639991216943,59
327,2.3993485223181596,2.5346242685941007,59
327,2.7660471406939626,2.700139769325513,59
327,3.5033280120180073,2.8740326920909807,59
347,-5.104948371901447,-5.6176451065604125,60
346,-4.389717317550667,-4.201312469820073,60
346,-0.5476868110300297,-0.8533217466247349,60
346,1.3324033370962214,1.3200650892563301,60
346,1.8201681222288475,1.9829286285352985,60
346,2.262876015861626,2.888424839962435,60
347,3.2268448776887384,4.484136800816891,60
400,-5.223481819304409,-4.3243100493622935,61
400,-4.5790413742143175,-3.912188404754937,61
400,-0.7565719332537469,-1.3041657380689253,61
399,1.3527744316031363,1.1663571307812737,61
400,2.0642758603813522,2.0399816781421154,61
400,2.566743806234115,2.4303766114652494,61
400,3.3781064401825285,3.9068646646244733,61
346,-4.9336707426366715,-4.2964981086795015,62
346,-4.199935856610622,-4.39899568504794,62
346,-0.5066140246661764,-0.6717340887270232,62
345,1.5266170569292523,1.3864587709418688,62
346,2.2577592491835667,2.416136673703275,62
346,2.7006404613096184,2.5809121319485464,62
346,3.6009131483055037,2.9877274121351767,62
159,-4.73782872698954,-5.010072101545078,63
158,-4.100809550880078,-4.464469702233936,63
159,-0.4763498739874015,-1.3194605663652925,63
158,1.6623343292861597,1.5279398840811753,63
159,2.3724529830485377,2.624264008626791,63
158,2.7691137848154046,2.7263312414631424,63
159,3.7120359404862864,3.9141452323462227,63
29,-4.518259074794969,-4.677988226021628,65
28,-3.9650661313976605,-4.929788633831217,65
28,0.10732454953766721,-0.4709553931430172,65
28,2.1106155753039273,2.1382841924472213,65
28,2.596686871776966,2.6424304313527407,65
28,2.9699520277810265,2.781086124998509,65
29,4.412797796617409,2.591450701501677,65
