method,base_method,drift_order,n,pred_mean_ns,target_mean_ns,heldout_run
s02f_binned_timewalk_drift0,s02b_template,0,37,-6.562752130441194,-7.710256982512322,58
s02f_binned_timewalk_drift0,s02b_template,0,36,-3.2235927390534425,-3.511342405530252,58
s02f_binned_timewalk_drift0,s02b_template,0,37,1.1361563199192304,1.231959358705456,58
s02f_binned_timewalk_drift0,s02b_template,0,36,2.2032847011657837,2.6783839711118147,58
s02f_binned_timewalk_drift0,s02b_template,0,36,2.919733801502706,2.8245265010665594,58
s02f_binned_timewalk_drift0,s02b_template,0,37,4.240275416107432,4.540555721122208,58
s02f_binned_timewalk_drift1,s02b_template,1,37,-6.787790874035635,-7.710256982512322,58
s02f_binned_timewalk_drift1,s02b_template,1,36,-3.4332428766025442,-3.511342405530252,58
s02f_binned_timewalk_drift1,s02b_template,1,37,1.205891930178516,1.231959358705456,58
s02f_binned_timewalk_drift1,s02b_template,1,36,2.2789328561429665,2.6783839711118147,58
s02f_binned_timewalk_drift1,s02b_template,1,36,2.996738460350675,2.812796305487497,58
s02f_binned_timewalk_drift1,s02b_template,1,37,4.323506794484476,4.551968884388322,58
s02f_binned_timewalk_drift2,s02b_template,2,37,-6.783277014934635,-7.710256982512322,58
s02f_binned_timewalk_drift2,s02b_template,2,36,-3.428455520721184,-3.511342405530252,58
s02f_binned_timewalk_drift2,s02b_template,2,37,1.3688450534256464,1.2912856914681705,58
s02f_binned_timewalk_drift2,s02b_template,2,36,2.325301047990841,2.841750935645015,58
s02f_binned_timewalk_drift2,s02b_template,2,36,3.0906439489963766,2.640919528976137,58
s02f_binned_timewalk_drift2,s02b_template,2,37,4.337663929282459,4.500922368685437,58
s02f_global_timewalk_drift0,template_phase,0,37,-4.35859080095072,-4.909131444380992,58
s02f_global_timewalk_drift0,template_phase,0,36,-3.4156371693896475,-4.033086435599442,58
s02f_global_timewalk_drift0,template_phase,0,37,1.2664455577508058,1.3984728369140933,58
s02f_global_timewalk_drift0,template_phase,0,36,2.3844214616266552,2.4246471295937826,58
s02f_global_timewalk_drift0,template_phase,0,36,2.572793999273913,2.993361935594847,58
s02f_global_timewalk_drift0,template_phase,0,37,2.9643541961934936,2.163166319217955,58
s02f_global_timewalk_drift1,template_phase,1,37,-4.327107553305876,-4.909131444380992,58
s02f_global_timewalk_drift1,template_phase,1,36,-3.383611133959806,-4.033086435599442,58
s02f_global_timewalk_drift1,template_phase,1,37,1.302818524392781,1.3984728369140933,58
s02f_global_timewalk_drift1,template_phase,1,36,2.445488741672985,2.4246471295937826,58
s02f_global_timewalk_drift1,template_phase,1,36,2.6405707034436032,2.964548356816892,58
s02f_global_timewalk_drift1,template_phase,1,37,3.0296794739796344,2.1912011526235333,58
s02f_global_timewalk_drift2,template_phase,2,37,-5.09237655024353,-4.949671984921532,58
s02f_global_timewalk_drift2,template_phase,2,36,-4.147995404622858,-4.1306029158524655,58
s02f_global_timewalk_drift2,template_phase,2,37,1.6098425465910062,1.5484155970523419,58
s02f_global_timewalk_drift2,template_phase,2,36,2.627771264587897,2.054826134594668,58
s02f_global_timewalk_drift2,template_phase,2,36,2.823807623638257,3.4058853982608053,58
s02f_global_timewalk_drift2,template_phase,2,37,3.2330013516826837,2.1070966524067996,58
s02f_binned_timewalk_drift0,s02b_template,0,382,-8.452937572744487,-8.716204374278206,59
s02f_binned_timewalk_drift0,s02b_template,0,381,-3.975111114131462,-4.078836345546227,59
s02f_binned_timewalk_drift0,s02b_template,0,382,1.2932069172225389,1.3388716753929988,59
s02f_binned_timewalk_drift0,s02b_template,0,381,2.5480394227346754,2.912701134746883,59
s02f_binned_timewalk_drift0,s02b_template,0,381,3.4003493249693877,3.420470255179363,59
s02f_binned_timewalk_drift0,s02b_template,0,382,4.899863424737941,5.128899055144928,59
s02f_binned_timewalk_drift1,s02b_template,1,382,-8.826176443003325,-8.722523833066326,59
s02f_binned_timewalk_drift1,s02b_template,1,381,-4.274384478859603,-4.072500300252101,59
s02f_binned_timewalk_drift1,s02b_template,1,382,1.1832102255745354,1.3334063496412885,59
s02f_binned_timewalk_drift1,s02b_template,1,381,2.494947482933123,2.9127068855285914,59
s02f_binned_timewalk_drift1,s02b_template,1,381,3.3766086526582364,3.4020053133845165,59
s02f_binned_timewalk_drift1,s02b_template,1,382,4.928936200951651,5.152775249420215,59
s02f_binned_timewalk_drift2,s02b_template,2,382,-8.87289773912229,-8.722523833066326,59
s02f_binned_timewalk_drift2,s02b_template,2,381,-4.321415359658911,-4.072500300252101,59
s02f_binned_timewalk_drift2,s02b_template,2,382,1.2945508288607968,1.343652304176536,59
s02f_binned_timewalk_drift2,s02b_template,2,381,2.565966374026296,2.9036759828104,59
s02f_binned_timewalk_drift2,s02b_template,2,381,3.4287695170130124,3.390011102863882,59
s02f_binned_timewalk_drift2,s02b_template,2,382,4.954849829675924,5.163499368560342,59
s02f_global_timewalk_drift0,template_phase,0,382,-4.425790162130321,-4.444714528700362,59
s02f_global_timewalk_drift0,template_phase,0,381,-3.862762112664624,-4.476282215832603,59
s02f_global_timewalk_drift0,template_phase,0,382,1.1689502562849299,1.3652600299565671,59
s02f_global_timewalk_drift0,template_phase,0,381,2.0238133096238573,2.143116355801622,59
s02f_global_timewalk_drift0,template_phase,0,381,2.469622877161987,2.724066629300416,59
s02f_global_timewalk_drift0,template_phase,0,382,2.6555167530746386,2.6895770299174497,59
s02f_global_timewalk_drift1,template_phase,1,382,-4.2738826563692145,-4.515395156972613,59
s02f_global_timewalk_drift1,template_phase,1,381,-3.714081812477906,-4.405416074100318,59
s02f_global_timewalk_drift1,template_phase,1,382,1.0856887486026816,1.3632966791712269,59
s02f_global_timewalk_drift1,template_phase,1,381,1.9447229835564646,2.21992749085898,59
s02f_global_timewalk_drift1,template_phase,1,381,2.5223388557334214,2.6406539955820407,59
s02f_global_timewalk_drift1,template_phase,1,382,2.7152523137652946,2.6981245979537003,59
s02f_global_timewalk_drift2,template_phase,2,382,-4.70460711091858,-4.529793062731777,59
s02f_global_timewalk_drift2,template_phase,2,381,-4.116713420922323,-4.336136304592314,59
s02f_global_timewalk_drift2,template_phase,2,382,1.1799644806811824,1.307287275551987,59
s02f_global_timewalk_drift2,template_phase,2,381,2.035795994096816,2.2212398268169853,59
s02f_global_timewalk_drift2,template_phase,2,381,2.6066932330445973,2.6464203100230663,59
s02f_global_timewalk_drift2,template_phase,2,382,2.7949900802578838,2.692373378576657,59
s02f_binned_timewalk_drift0,s02b_template,0,404,-5.209635485548461,-5.071817880951803,60
s02f_binned_timewalk_drift0,s02b_template,0,404,-2.7873433731440658,-3.546480693597866,60
s02f_binned_timewalk_drift0,s02b_template,0,404,0.44488041025420916,0.6591669295630368,60
s02f_binned_timewalk_drift0,s02b_template,0,404,1.6802325114677228,1.7614011621540218,60
s02f_binned_timewalk_drift0,s02b_template,0,404,2.3327643389825874,2.465607578225427,60
s02f_binned_timewalk_drift0,s02b_template,0,404,3.378360656684953,3.732122904607196,60
s02f_binned_timewalk_drift1,s02b_template,1,404,-5.277930035405557,-5.071817880951803,60
