feature,coefficient,method,base_method,drift_order,train_pulses,heldout_pulses,heldout_run
intercept,0.0,s02f_binned_timewalk_drift0,s02b_template,0,11871,219,58
B4_intercept,-44.87455356473945,s02f_binned_timewalk_drift0,s02b_template,0,11871,219,58
B4_log_amp,43.4078954679976,s02f_binned_timewalk_drift0,s02b_template,0,11871,219,58
B4_log_amp2,-28.83297324221579,s02f_binned_timewalk_drift0,s02b_template,0,11871,219,58
B4_inv_amp,-4.03965131680075,s02f_binned_timewalk_drift0,s02b_template,0,11871,219,58
B4_peak_sample,0.6196176741508005,s02f_binned_timewalk_drift0,s02b_template,0,11871,219,58
B4_area_over_amp,3.0899334769475115,s02f_binned_timewalk_drift0,s02b_template,0,11871,219,58
B4_template_sse,0.7304366076711127,s02f_binned_timewalk_drift0,s02b_template,0,11871,219,58
B6_intercept,20.368714305054205,s02f_binned_timewalk_drift0,s02b_template,0,11871,219,58
B6_log_amp,-61.42052733319993,s02f_binned_timewalk_drift0,s02b_template,0,11871,219,58
B6_log_amp2,17.60254934884551,s02f_binned_timewalk_drift0,s02b_template,0,11871,219,58
B6_inv_amp,-2.147865409393273,s02f_binned_timewalk_drift0,s02b_template,0,11871,219,58
B6_peak_sample,-0.6720227596956023,s02f_binned_timewalk_drift0,s02b_template,0,11871,219,58
B6_area_over_amp,-0.5738261939387804,s02f_binned_timewalk_drift0,s02b_template,0,11871,219,58
B6_template_sse,0.27601217932978467,s02f_binned_timewalk_drift0,s02b_template,0,11871,219,58
B8_intercept,24.505841745025638,s02f_binned_timewalk_drift0,s02b_template,0,11871,219,58
B8_log_amp,-65.09974695855452,s02f_binned_timewalk_drift0,s02b_template,0,11871,219,58
B8_log_amp2,17.28311131827001,s02f_binned_timewalk_drift0,s02b_template,0,11871,219,58
B8_inv_amp,-2.727405090274557,s02f_binned_timewalk_drift0,s02b_template,0,11871,219,58
B8_peak_sample,-0.47815479702424446,s02f_binned_timewalk_drift0,s02b_template,0,11871,219,58
B8_area_over_amp,-1.0115419606241811,s02f_binned_timewalk_drift0,s02b_template,0,11871,219,58
B8_template_sse,0.17573373049163893,s02f_binned_timewalk_drift0,s02b_template,0,11871,219,58
intercept,0.0,s02f_binned_timewalk_drift1,s02b_template,1,11871,219,58
B4_intercept,-44.90212344945063,s02f_binned_timewalk_drift1,s02b_template,1,11871,219,58
B4_log_amp,43.81840561452617,s02f_binned_timewalk_drift1,s02b_template,1,11871,219,58
B4_log_amp2,-28.959747653715876,s02f_binned_timewalk_drift1,s02b_template,1,11871,219,58
B4_inv_amp,-4.049802795176986,s02f_binned_timewalk_drift1,s02b_template,1,11871,219,58
B4_peak_sample,0.6026809250129349,s02f_binned_timewalk_drift1,s02b_template,1,11871,219,58
B4_area_over_amp,3.0827916810538283,s02f_binned_timewalk_drift1,s02b_template,1,11871,219,58
B4_template_sse,0.730353485387725,s02f_binned_timewalk_drift1,s02b_template,1,11871,219,58
B6_intercept,20.538743678913093,s02f_binned_timewalk_drift1,s02b_template,1,11871,219,58
B6_log_amp,-61.41482252699796,s02f_binned_timewalk_drift1,s02b_template,1,11871,219,58
B6_log_amp2,17.60246417978258,s02f_binned_timewalk_drift1,s02b_template,1,11871,219,58
B6_inv_amp,-2.1415260915997143,s02f_binned_timewalk_drift1,s02b_template,1,11871,219,58
B6_peak_sample,-0.6680201490439587,s02f_binned_timewalk_drift1,s02b_template,1,11871,219,58
B6_area_over_amp,-0.5788584124408968,s02f_binned_timewalk_drift1,s02b_template,1,11871,219,58
B6_template_sse,0.2752033417160403,s02f_binned_timewalk_drift1,s02b_template,1,11871,219,58
B8_intercept,24.363382213913322,s02f_binned_timewalk_drift1,s02b_template,1,11871,219,58
B8_log_amp,-64.4866672411453,s02f_binned_timewalk_drift1,s02b_template,1,11871,219,58
B8_log_amp2,16.987543060082547,s02f_binned_timewalk_drift1,s02b_template,1,11871,219,58
B8_inv_amp,-2.7213453522802875,s02f_binned_timewalk_drift1,s02b_template,1,11871,219,58
B8_peak_sample,-0.4753479130475237,s02f_binned_timewalk_drift1,s02b_template,1,11871,219,58
B8_area_over_amp,-1.0136857987608767,s02f_binned_timewalk_drift1,s02b_template,1,11871,219,58
B8_template_sse,0.1759362450829147,s02f_binned_timewalk_drift1,s02b_template,1,11871,219,58
B4_run_z1,0.06935485822350244,s02f_binned_timewalk_drift1,s02b_template,1,11871,219,58
B6_run_z1,-0.02582002270922939,s02f_binned_timewalk_drift1,s02b_template,1,11871,219,58
