method,n_runs,mean_sigma68_ns,ci_low,ci_high,min_run_sigma68_ns,max_run_sigma68_ns
S02f global selected drift,2,1.6290531946468074,1.4620856700987266,1.7960207191948883,1.4620856700987266,1.7960207191948883
S02b global timewalk no drift,7,1.6461916347199816,1.5242802522748458,1.8365573741735999,1.4588528843468975,2.187490453226798
S02 ML ridge,7,1.8869856415296753,1.8157152581852942,1.9964266192175646,1.7814158256373596,2.190797313595372
S02f train-best global template (template_phase),7,2.7868468861509292,2.6944310721719935,2.881867222428571,2.6117236537071946,2.993412702231648
S02f binned selected drift,2,2.818436816069827,2.1024637982454175,3.5344098338942365,2.1024637982454175,3.5344098338942365
S02b binned timewalk no drift,7,2.9287772153716465,2.589734104310589,3.2335952141395183,2.0815358756780014,3.5114317654782385
