method,spacing_cm,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf,heldout_run
le500,2.0,train,11871,-1.3542564854491985,4.181768453957451,6.929020562793684,0.21556734900176902,264.8479989095457,1.2574423066281377,58
le500,2.0,heldout,219,-2.001406462295705,4.276464547244176,4.253314208378284,0.2237442922374429,0.8147152005573083,1.2817323849569138,58
cfd10,2.0,train,11871,-2.7306851800011103,3.217820550565192,6.493970730266494,0.0450678123157274,262.92375281341225,22.99276555985794,58
cfd10,2.0,heldout,219,-2.6568637902402656,3.2704806590066764,14.991371260708931,0.0593607305936073,2.053333860757785,0.9899751493293615,58
cfd20,2.0,train,11871,-2.8157487373737453,3.1508494575662396,6.220082780776424,0.05829331985510909,278.1121263267873,18.292514452087836,58
cfd20,2.0,heldout,219,-3.2272342149502435,3.1154211816170307,4.88610097512565,0.0730593607305936,314.71073303563577,1.4965312275034803,58
cfd30,2.0,train,11871,-2.723590020397502,3.2431023683426874,6.305069810580078,0.08988290792688064,236.97447352429666,18.11689845695502,58
cfd30,2.0,heldout,219,-2.6954781809695874,3.201911704605976,5.071954464482122,0.0867579908675799,153.73568652731564,1.3315079969257204,58
cfd40,2.0,train,11871,-2.4813585946309686,3.398902469595761,6.356449922671124,0.11405947266447646,237.66790285929147,12.39178355823839,58
cfd40,2.0,heldout,219,-2.485968257783192,3.2812253435530834,5.267355331128638,0.1095890410958904,2.67384769603452,1.335135314551903,58
cfd50,2.0,train,11871,-2.1667261462205687,3.5860368790625756,6.921743969676206,0.14379580490270408,204.91230254185163,8.243858149380948,58
cfd50,2.0,heldout,219,-2.2314567085261174,3.5303095172513093,3.5619471464817627,0.1461187214611872,144.02472504019454,1.640965991847175,58
template_phase,2.0,train,11871,-3.840395526072548,2.765960708371736,3.283456518143304,0.09881223148850139,1.012800033939384,165.2311058627872,58
