method,base_method,drift_order,mean_cv_sigma68_ns,folds,total_pair_residuals,heldout_run
s02f_binned_timewalk_drift0,s02b_template,0,2.857270130476539,3,11871,58
s02f_binned_timewalk_drift1,s02b_template,1,2.876650873507373,3,11871,58
s02f_binned_timewalk_drift2,s02b_template,2,2.920642111212098,3,11871,58
s02f_global_timewalk_drift0,template_phase,0,1.7211848712530227,3,11871,58
s02f_global_timewalk_drift1,template_phase,1,1.724108128668041,3,11871,58
s02f_global_timewalk_drift2,template_phase,2,1.8606347801793628,3,11871,58
s02f_binned_timewalk_drift2,s02b_template,2,3.1840113957547893,3,9801,59
s02f_binned_timewalk_drift1,s02b_template,1,3.1926731287216863,3,9801,59
s02f_binned_timewalk_drift0,s02b_template,0,3.213061541234808,3,9801,59
s02f_global_timewalk_drift2,template_phase,2,1.6887520579015385,3,9801,59
s02f_global_timewalk_drift1,template_phase,1,1.703258687999675,3,9801,59
s02f_global_timewalk_drift0,template_phase,0,1.7307006116719723,3,9801,59
s02f_binned_timewalk_drift1,s02b_template,1,2.5068244810936395,3,9666,60
s02f_binned_timewalk_drift0,s02b_template,0,2.521936487165847,3,9666,60
s02f_binned_timewalk_drift2,s02b_template,2,2.5275804599321368,3,9666,60
s02f_global_timewalk_drift1,template_phase,1,1.6949490824410407,3,9666,60
s02f_global_timewalk_drift2,template_phase,2,1.6988060736771757,3,9666,60
s02f_global_timewalk_drift0,template_phase,0,1.7043369193049378,3,9666,60
s02f_binned_timewalk_drift0,s02b_template,0,2.7998811920851474,3,9291,61
s02f_binned_timewalk_drift1,s02b_template,1,2.840176380558246,3,9291,61
s02f_binned_timewalk_drift2,s02b_template,2,2.846244098462557,3,9291,61
s02f_global_timewalk_drift0,template_phase,0,1.6753998642037555,3,9291,61
s02f_global_timewalk_drift1,template_phase,1,1.6885831580295358,3,9291,61
s02f_global_timewalk_drift2,template_phase,2,1.7063235262630594,3,9291,61
s02f_binned_timewalk_drift0,s02b_template,0,2.645302003845656,3,9669,62
s02f_binned_timewalk_drift1,s02b_template,1,2.677424670812927,3,9669,62
s02f_binned_timewalk_drift2,s02b_template,2,2.768299635874982,3,9669,62
s02f_global_timewalk_drift0,template_phase,0,1.6998825595598606,3,9669,62
s02f_global_timewalk_drift1,template_phase,1,1.7070206361540012,3,9669,62
s02f_global_timewalk_drift2,template_phase,2,1.8424831247919682,3,9669,62
s02f_binned_timewalk_drift0,s02b_template,0,2.7819038419159625,3,10980,63
s02f_binned_timewalk_drift1,s02b_template,1,2.81460015307669,3,10980,63
s02f_binned_timewalk_drift2,s02b_template,2,2.8508037462464393,3,10980,63
s02f_global_timewalk_drift0,template_phase,0,1.703058570862168,3,10980,63
s02f_global_timewalk_drift1,template_phase,1,1.7131346775100242,3,10980,63
s02f_global_timewalk_drift2,template_phase,2,1.8060697561600818,3,10980,63
s02f_binned_timewalk_drift0,s02b_template,0,2.991214997202284,3,11892,65
s02f_binned_timewalk_drift1,s02b_template,1,3.013845486049553,3,11892,65
s02f_binned_timewalk_drift2,s02b_template,2,3.0273565979578074,3,11892,65
s02f_global_timewalk_drift0,template_phase,0,1.719420849054396,3,11892,65
s02f_global_timewalk_drift1,template_phase,1,1.723366959910306,3,11892,65
s02f_global_timewalk_drift2,template_phase,2,1.7716929051776529,3,11892,65
