method,heldout_n,saturated_n,truth_n,four_sample_proxy_flagged_truth_n,undercovered_truth_n,undercovered_truth_fraction,all_res68,undercovered_res68,undercovered_mae,undercovered_res68_ci95
mlp,159183,55543,10562,3527,7035,0.6660670327589472,0.0269745555639267,0.02424412646293639,0.02462961541221086,"[0.022497670993208888, 0.026273606792688357]"
1d_cnn,159183,55543,10562,3527,7035,0.6660670327589472,0.05948732999563216,0.04283109090328216,0.05291453951586623,"[0.04105959987044334, 0.04498219618439675]"
traditional_four_sample_proxy,159183,55543,10562,3527,7035,0.6660670327589472,0.034299116258510225,0.04677774088790724,0.05962484719292907,"[0.03392978406723592, 0.10384821271923289]"
gradient_boosted_trees,159183,55543,10562,3527,7035,0.6660670327589472,0.03026814157642985,0.04871047714941221,0.05098903341450781,"[0.04661329844761315, 0.0512204247318955]"
pretrigger_gated_residual_cnn,159183,55543,10562,3527,7035,0.6660670327589472,0.08180154368877411,0.060499196648597715,0.0618174447655127,"[0.05891251683235166, 0.06264133918941021]"
ridge,159183,55543,10562,3527,7035,0.6660670327589472,0.15641994344365312,0.23026540694834743,0.2056209637366202,"[0.20620513406562474, 0.26837248673210623]"
