method,n,bias,res68,mae,res68_ci95,bias_ci95,mae_ci95
mlp,159183,-0.012435762286186203,0.0269745555639267,0.06397987155715065,"[0.023879964834414423, 0.03065680029809475]","[-0.013412954933941368, -0.011498404815793051]","[0.0505099352432859, 0.07495372108235988]"
gradient_boosted_trees,159183,-0.009737590977560301,0.03026814157642985,0.07337039817252627,"[0.026755614498205748, 0.03365643650560508]","[-0.011348136837543649, -0.007933113372251577]","[0.056754751522651144, 0.0885738698561195]"
traditional_four_sample_proxy,159183,-0.004117952249641815,0.034299116258510225,0.15252824040378365,"[0.029370847398731265, 0.04302141213876286]","[-0.00926883660805406, -0.0003679175036879694]","[0.12091294898235944, 0.18948060157625465]"
1d_cnn,159183,0.0026364481449127064,0.05948732999563216,0.1244752176210674,"[0.05048299193382262, 0.07170663591250778]","[-0.0008430989682674465, 0.005142256438732139]","[0.10538050787661105, 0.14771343027072922]"
pretrigger_gated_residual_cnn,159183,0.043551088571548435,0.08180154368877411,0.13282910474146012,"[0.07084517055749893, 0.09660209924146536]","[0.03873167110234498, 0.04982085484266282]","[0.11240897209907647, 0.15683530557763659]"
ridge,159183,0.018179825876577765,0.15641994344365312,0.2062921711396455,"[0.12963460172739902, 0.19654428822689665]","[0.003983650111418844, 0.03294166479590017]","[0.17009030808226033, 0.24715199848800118]"
