layer,mapped_stave,n_hits,n_hits_gt10MeV,mean_edep_MeV,median_edep_MeV,p_frac,d_frac,mean_z_mm,p_over_d_fraction_ratio
0,B2,44218,37052,23.362223,18.650904,0.49640418,0.39323352,75.998085,1.2623648
1,B2,34316,29224,20.948772,14.996916,0.55076349,0.36227999,80.49884,1.5202703
2,B4,20886,17610,20.622782,14.900749,0.69434071,0.19951163,87.698463,3.4802016
3,B4,17076,14441,17.609917,16.181749,0.72821504,0.18821738,91.176773,3.8690106
4,B6,11996,10252,16.952463,17.961576,0.89546516,0.0070856952,92.731575,126.37647
5,B6,11445,9695,23.148203,22.186119,0.8843163,0.005242464,94.524094,168.68333
6,B8,8270,6951,22.664139,19.806828,0.90338573,0.0038694075,99.057861,233.46875
7,B8,4116,3362,19.929964,22.909784,0.88994169,0.0055879495,106.55299,159.26087
