fold_pseudo_run,method,threshold
0,traditional_deltae_range_cut,0.30757476
0,ridge_logistic_l2,0.5325744
0,hist_gradient_boosted_trees,0.49968008
0,sklearn_mlp,0.36184743
0,torch_1d_cnn,0.41004589
0,physics_gated_cnn,0.57059956
1,traditional_deltae_range_cut,0.30765038
1,ridge_logistic_l2,0.5212438
1,hist_gradient_boosted_trees,0.50426825
1,sklearn_mlp,0.45227912
1,torch_1d_cnn,0.50670666
1,physics_gated_cnn,4.2483545e-18
2,traditional_deltae_range_cut,0.30769635
2,ridge_logistic_l2,0.51128132
2,hist_gradient_boosted_trees,0.50397548
2,sklearn_mlp,0.45970038
2,torch_1d_cnn,0.6879456
2,physics_gated_cnn,0.52062309
3,traditional_deltae_range_cut,0.3078175
3,ridge_logistic_l2,0.50708485
3,hist_gradient_boosted_trees,0.50778864
3,sklearn_mlp,0.4328697
3,torch_1d_cnn,0.40002209
3,physics_gated_cnn,0.46513802
4,traditional_deltae_range_cut,0.307578
4,ridge_logistic_l2,0.50654433
4,hist_gradient_boosted_trees,0.51389985
4,sklearn_mlp,0.47014904
4,torch_1d_cnn,0.66800421
4,physics_gated_cnn,0.52324218
5,traditional_deltae_range_cut,0.30759628
5,ridge_logistic_l2,0.50602016
5,hist_gradient_boosted_trees,0.49317655
5,sklearn_mlp,0.40461931
5,torch_1d_cnn,0.54354
5,physics_gated_cnn,4.2483545e-18
6,traditional_deltae_range_cut,0.30913473
6,ridge_logistic_l2,0.51697658
6,hist_gradient_boosted_trees,0.50125296
6,sklearn_mlp,0.47608963
6,torch_1d_cnn,0.80590856
6,physics_gated_cnn,4.2483545e-18
7,traditional_deltae_range_cut,0.30751112
7,ridge_logistic_l2,0.50461087
7,hist_gradient_boosted_trees,0.50005367
7,sklearn_mlp,0.52415085
7,torch_1d_cnn,0.37943995
7,physics_gated_cnn,4.2483545e-18
