path,sha256,role
/home/billy/ccb-geant4/output_krakow_1M.root,2b62403f0aa7ecc8c6fc8ffb5006b59d833ff1a31a95a8f389f88f45a18542cc,GEANT4 truth ROOT
configs/s22_1781181864_166893_491f3bde_g4_truth_real_pid_transfer.json,115039e1b0d361f13faa61eb62d5023c0293904b5f69eb997c2206ced1d2deb3,analysis config
reports/1781181864.166893.491f3bde__s22_g4_truth_real_pid_transfer/raw_root_input_sha256.csv,3f598f330fa4da1f7982f0a8adf9ce6ee09ee74391e91c3c114b29eb36ab04f4,raw ROOT input inventory hashes
