event,track_id,pdg,particle,y_deuteron,pseudo_run,total_edep_MeV,early_edep_MeV,downstream_edep_MeV,early_fraction,deepest_layer,n_layers_hit,layer_centroid,max_layer_edep_MeV,B2_edep_MeV,B4_edep_MeV,B6_edep_MeV,B8_edep_MeV,edep_l0,edep_l1,edep_l2,edep_l3,edep_l4,edep_l5,edep_l6,edep_l7,benchmark_sample
9,1,2212,proton,0,0,51.13736,51.13736,0,1,1,2,0.25130025,38.28653,51.13736,0,0,0,38.28653,12.850831,0,0,0,0,0,0,True
27,2,1000010020,deuteron,1,0,72.6418,72.6418,0,1,1,2,0.378481,45.148254,72.6418,0,0,0,45.148254,27.493542,0,0,0,0,0,0,True
31,1,2212,proton,0,0,36.921165,24.994953,11.92621,0.67698169,2,3,0.992585,12.794975,24.994953,11.92621,0,0,12.199977,12.794975,11.92621,0,0,0,0,0,True
45,2,1000010020,deuteron,1,0,72.856285,72.856285,0,1,1,2,0.37823734,45.29932,72.856285,0,0,0,45.29932,27.556967,0,0,0,0,0,0,True
53,1,2212,proton,0,0,147.25389,24.866369,122.38753,0.16886732,7,8,4.16113,30.587412,24.866369,29.945587,37.809055,54.632881,11.695097,13.171272,14.230024,15.715562,16.923529,20.885527,30.587412,24.045471,True
65,2,1000010020,deuteron,1,0,61.025181,61.025181,0,1,0,1,0,61.025181,61.025181,0,0,0,61.025181,0,0,0,0,0,0,0,True
66,1,2212,proton,0,0,90.463737,40.001648,50.462086,0.44218433,3,4,1.4909215,38.27729,40.001648,50.462086,0,0,18.236298,21.765352,38.27729,12.184796,0,0,0,0,True
68,1,2212,proton,0,0,133.90048,25.845459,108.05502,0.19301991,6,7,3.5592844,31.324926,25.845459,31.834785,52.928246,23.291986,12.416574,13.428885,15.13317,16.701614,21.603319,31.324926,23.291986,0,True
73,1,2212,proton,0,0,19.1276,19.1276,0,1,1,2,0.47604346,10.022031,19.1276,0,0,0,10.022031,9.1055689,0,0,0,0,0,0,True
74,1,2212,proton,0,0,134.14877,24.604441,109.54433,0.1834116,6,7,3.6390095,29.671137,24.604441,32.293877,50.168213,27.082241,11.72251,12.88193,14.432326,17.861549,20.497078,29.671137,27.082241,0,True
