method,pseudo_run,n,positives,purity_precision,efficiency_recall,balanced_accuracy,brier,f1,roc_auc,average_precision
traditional_deltae_range_cut,0,3000,1500,0.66681514,0.998,0.74966667,0.21585313,0.79946595,0.82348556,0.78887376
traditional_deltae_range_cut,1,3000,1500,0.67766727,0.99933333,0.762,0.20654476,0.80765086,0.83225022,0.79893107
traditional_deltae_range_cut,2,3000,1500,0.66401062,1,0.747,0.22492645,0.7980846,0.80369378,0.77055329
traditional_deltae_range_cut,3,3000,1500,0.6684492,1,0.752,0.21906517,0.80128205,0.81853244,0.78954274
traditional_deltae_range_cut,4,3000,1500,0.65818341,1,0.74033333,0.23161123,0.79386081,0.80611156,0.77505411
traditional_deltae_range_cut,5,3000,1500,0.67568787,0.99866667,0.75966667,0.21223108,0.80602637,0.82536489,0.79367329
traditional_deltae_range_cut,6,3000,1500,0.66666667,0.99466667,0.74866667,0.22039858,0.79828785,0.81604311,0.78589934
traditional_deltae_range_cut,7,3000,1500,0.66459903,1,0.74766667,0.21586727,0.79850945,0.82283333,0.7958225
ridge_logistic_l2,0,3000,1500,0.85749086,0.93866667,0.89133333,0.08866158,0.89624443,0.95775156,0.95124928
ridge_logistic_l2,1,3000,1500,0.86516854,0.924,0.89,0.087515176,0.89361702,0.95547333,0.95132118
ridge_logistic_l2,2,3000,1500,0.84601449,0.934,0.882,0.092651531,0.8878327,0.95496444,0.95072297
ridge_logistic_l2,3,3000,1500,0.84870404,0.93866667,0.88566667,0.089364552,0.89142134,0.95855778,0.95658524
ridge_logistic_l2,4,3000,1500,0.84033613,0.93333333,0.878,0.096189412,0.88439672,0.95040756,0.94448618
ridge_logistic_l2,5,3000,1500,0.84879518,0.93933333,0.886,0.088983171,0.89177215,0.95867511,0.95649615
ridge_logistic_l2,6,3000,1500,0.84031573,0.92266667,0.87366667,0.093603449,0.87956784,0.95205511,0.94720954
ridge_logistic_l2,7,3000,1500,0.84923077,0.92,0.87833333,0.093830623,0.8832,0.94918089,0.94431064
hist_gradient_boosted_trees,0,3000,1500,0.94342105,0.956,0.94933333,0.031850094,0.94966887,0.99351889,0.99350376
hist_gradient_boosted_trees,1,3000,1500,0.95331529,0.93933333,0.94666667,0.034253904,0.94627267,0.99339089,0.99311389
hist_gradient_boosted_trees,2,3000,1500,0.91290727,0.97133333,0.93933333,0.034962272,0.94121447,0.992318,0.99195905
hist_gradient_boosted_trees,3,3000,1500,0.92362003,0.95933333,0.94,0.035974452,0.941138,0.99204,0.99184527
hist_gradient_boosted_trees,4,3000,1500,0.93611473,0.95733333,0.946,0.031762194,0.94660514,0.99357644,0.99347156
hist_gradient_boosted_trees,5,3000,1500,0.93143596,0.96,0.94466667,0.032238518,0.9455023,0.993428,0.9932473
hist_gradient_boosted_trees,6,3000,1500,0.92648923,0.97466667,0.94866667,0.034446662,0.94996751,0.99268911,0.9921203
hist_gradient_boosted_trees,7,3000,1500,0.95163488,0.93133333,0.942,0.033847467,0.94137466,0.99268178,0.99255345
sklearn_mlp,0,3000,1500,0.91594022,0.98066667,0.94533333,0.032512346,0.94719897,0.992976,0.99340149
sklearn_mlp,1,3000,1500,0.93989432,0.94866667,0.944,0.037628614,0.94426012,0.99140933,0.99151499
sklearn_mlp,2,3000,1500,0.93416722,0.946,0.93966667,0.037157701,0.94004637,0.99160267,0.99191987
sklearn_mlp,3,3000,1500,0.92174471,0.958,0.93833333,0.035114701,0.93952272,0.99223111,0.99252837
sklearn_mlp,4,3000,1500,0.93032258,0.96133333,0.94466667,0.032314509,0.94557377,0.99349222,0.99366929
sklearn_mlp,5,3000,1500,0.91123526,0.97866667,0.94166667,0.033438969,0.94374799,0.99323333,0.99343723
sklearn_mlp,6,3000,1500,0.91234568,0.98533333,0.94533333,0.035575905,0.9474359,0.99218889,0.99232175
sklearn_mlp,7,3000,1500,0.94765466,0.92933333,0.939,0.035366326,0.93840458,0.99186222,0.99199288
torch_1d_cnn,0,3000,1500,0.66874721,1,0.75233333,0.15322245,0.80149613,0.87954933,0.89885455
torch_1d_cnn,1,3000,1500,0.80998703,0.83266667,0.81866667,0.12166197,0.82117028,0.92131778,0.92409136
torch_1d_cnn,2,3000,1500,0.74861221,0.62933333,0.709,0.15371924,0.68381021,0.87882978,0.8914238
torch_1d_cnn,3,3000,1500,0.67058824,0.988,0.75133333,0.1448311,0.79892183,0.91263689,0.91457603
torch_1d_cnn,4,3000,1500,0.80225989,0.568,0.714,0.15046601,0.66510539,0.86858067,0.87366076
torch_1d_cnn,5,3000,1500,0.64640592,0.81533333,0.68466667,0.1559342,0.72110849,0.86898,0.89089501
torch_1d_cnn,6,3000,1500,0,0,0.5,0.16210528,0,0.840084,0.85617511
torch_1d_cnn,7,3000,1500,0.69689622,0.958,0.77066667,0.14328066,0.80685008,0.88157378,0.88025479
physics_gated_cnn,0,3000,1500,0.65210608,0.836,0.695,0.25950971,0.73269062,0.73405533,0.65332206
physics_gated_cnn,1,3000,1500,0.5,1,0.5,0.2568831,0.66666667,0.74361689,0.66173255
