quantity,value
selected Sample-I pulses with sorted proxy,252266.0
median abs sorted-baseline residual ADC,8.0
p90 abs sorted-baseline residual ADC,65.0
mean signed sorted-baseline residual ADC,-305.8373107910156
timing pairs,3430.0
Sample-II companion timing pairs for sign transfer,18098.0
