method,n_pairs,sigma68_ns,rms_ns,bias_ns,tail_abs_gt_0p5_ns,tail_abs_gt_1p0_ns,sigma68_ns_ci_low,sigma68_ns_ci_high,tail_abs_gt_0p5_ns_ci_low,tail_abs_gt_0p5_ns_ci_high,bias_ns_ci_low,bias_ns_ci_high,delta_sigma68_vs_uncorrected_ns_ci_low,delta_sigma68_vs_uncorrected_ns_ci_high
gradient_boosted_trees_controls_only,3430,1.4542416107005223,6.460509117322671,-0.007960189780655602,0.7250728862973761,0.4924198250728863,1.3867662065530635,1.5140642745227397,0.7158193455201076,0.7347964246498143,-0.29600358083830425,0.2731373614723982,-1.4835173572986586,-1.2963456483540703
gradient_boosted_trees,3430,1.4674462063342877,6.609888363730122,-0.019968612799290252,0.7230320699708455,0.4862973760932945,1.4227710355027163,1.530178439614394,0.7022551623630494,0.740670275522176,-0.300585832580169,0.2861436539695186,-1.4766529147713316,-1.2813735016476724
gradient_boosted_trees_plus_sorted_proxy,3430,1.4674462063342877,6.609888363730122,-0.019968612799290252,0.7230320699708455,0.4862973760932945,1.4227710355027163,1.530178439614394,0.7022551623630494,0.740670275522176,-0.300585832580169,0.2861436539695186,-1.4766529147713316,-1.2813735016476724
mlp,3430,1.567297987774968,6.060427751784826,0.02584369982228792,0.7451895043731779,0.5233236151603499,1.4663337043264761,1.6894848981828072,0.7202028926695054,0.7685634435672385,-0.31251370768904646,0.3322278863395861,-1.421608642080542,-1.12381382220482
traditional_binned_median,3430,1.568366159368872,7.214815398168868,-0.3474465284248613,0.7524781341107871,0.5224489795918368,1.5316398747114792,1.615456928578458,0.7406020968132068,0.7634632871045914,-0.6684092729345079,-0.034908842314423066,-1.3272258560452044,-1.2046904932679594
one_dimensional_cnn,3430,1.6859201195557914,6.745021050722257,-0.16539171753729334,0.7606413994169097,0.5481049562682215,1.6139160819893865,1.7581116353310795,0.7502329419760704,0.7741575434704554,-0.5183593563131593,0.19974797864838348,-1.2515959334319182,-1.022585554449044
nuisance_gated_pair_cnn,3430,1.7661589129553499,6.736047100396029,-0.22680227291111632,0.7676384839650146,0.5448979591836735,1.6972851825975073,1.8264096953580042,0.7527677911889176,0.7807127483509477,-0.5484182793710438,0.07792518948720575,-1.1680203168619794,-0.9918945831163244
ridge_controls_only,3430,2.1146172152879146,6.652124855114069,0.0061235039055171706,0.8157434402332362,0.6201166180758018,2.0393824661611046,2.164831467878085,0.800729042060784,0.8291403642893473,-0.3258113980756111,0.2911229198431864,-0.843032118800671,-0.643270750276125
ridge,3430,2.1425494359105257,6.385213484232629,-0.009684076232766065,0.8014577259475218,0.6279883381924198,2.0435590025532697,2.2423040525601277,0.7853872701728666,0.8146941795487637,-0.3506452066545823,0.27539629942296606,-0.8130948446964139,-0.5924814666464984
ridge_plus_sorted_proxy,3430,2.1425494359105257,6.385213484232629,-0.009684076232766065,0.8014577259475218,0.6279883381924198,2.0435590025532697,2.2423040525601277,0.7853872701728666,0.8146941795487637,-0.3506452066545823,0.27539629942296606,-0.8130948446964139,-0.5924814666464984
uncorrected,3430,2.8378088461490782,8.051728276085171,-3.5750771284483642,0.929737609329446,0.8653061224489796,2.7563963110441922,2.9329679839452534,0.920962552446107,0.9388748390301302,-3.899183564609797,-3.274216480174779,0.0,0.0
