method,run,n,energy_scale_bias,energy_sigma68,energy_rms,pid_auc,pid_ap,pid_fixed_purity_eff,pileup_auc,pileup_ap,pileup_fixed_purity_eff,saturation_auc,saturation_ap,saturation_fixed_purity_eff
1d_cnn,42,460,0.12764061705828667,0.9843224888214412,1.0755086908228668,0.9267368329868331,0.916371326338186,0.7905405405405406,0.9363007415335218,0.9154980819551884,0.8031496062992126,0.6666228790366722,0.5550633246445017,0.21379310344827587
1d_cnn,50,460,0.24284001347428363,1.099131772855712,1.1578114830333341,0.8936388888888889,0.8586215975843932,0.68,0.972066193853428,0.9667961664625909,0.9404255319148936,0.7549015685019207,0.7313120083366378,0.3806818181818182
1d_cnn,57,460,0.05115570451104112,1.082090854133546,1.1129826104000782,0.919978494623656,0.9215637640668477,0.84,0.9425575088657526,0.9294402146036378,0.8065843621399177,0.6438834154351396,0.391816071630938,0.0625
1d_cnn,58,459,-0.01817661333195275,0.967363933332003,1.0618852858873482,0.9159629843840371,0.8856530434288566,0.7789473684210526,0.9071895424836602,0.864920981010692,0.4950980392156863,0.5924418604651163,0.3206612368443373,0.008695652173913044
1d_cnn,60,460,-0.18359911984098964,0.8971196923848654,0.9170012896592965,0.9777419354838709,0.9724647010062403,0.9266666666666666,0.8522878894906207,0.887749071342565,0.6058394160583942,0.5410665355160542,0.30052765580757707,0.007751937984496124
1d_cnn,62,460,-0.16905842739057952,0.8819155793521423,0.919511101099284,0.9781271656271656,0.9726062747658805,0.9324324324324325,0.8559552022016665,0.8435975405541026,0.5866141732283464,0.5963669950738916,0.3069846848595441,0.008928571428571428
1d_cnn,64,460,-0.029181813147374225,0.8498790812178125,0.9013133504951202,0.9812957441040933,0.9702386239059335,0.9243697478991597,0.8826187235329703,0.8888051666438566,0.6120689655172413,0.5797811059907834,0.3305279514162458,0.008064516129032258
1d_cnn,65,450,-0.11475418371506141,0.8779492116432623,0.956466622612075,0.918859649122807,0.9067170012638357,0.8245614035087719,0.8611802988912101,0.8395417246463982,0.5918367346938775,0.5533549643088903,0.2854849827101701,0.0
gradient_boosted_trees,42,460,-0.0018513793025108916,0.11424678338781584,0.2080739109129479,0.9943260568260568,0.9940546656817358,0.9932432432432432,1.0,1.0,1.0,1.0,1.0,1.0
gradient_boosted_trees,50,460,-0.0013929943467415884,0.12516125432274194,0.20119507780608464,0.9993333333333333,0.9978930509770293,0.99,1.0,1.0,1.0,1.0,1.0000000000000002,1.0
gradient_boosted_trees,57,460,-0.0024050403822393385,0.11438642177163275,0.1776410884700877,0.9990322580645161,0.9980606923873647,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gradient_boosted_trees,58,459,-0.013761608321913421,0.1332338904875201,0.21572806703219896,0.998958935801041,0.996057868680315,1.0,1.0,1.0,1.0,1.0,0.9999999999999997,1.0
gradient_boosted_trees,60,460,-0.013326385160211285,0.10074559576748901,0.1578848558027197,0.9997849462365592,0.9995602067222124,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gradient_boosted_trees,62,460,-0.011540404167249552,0.1135636007362945,0.17179401052146145,0.999761781011781,0.999507960534161,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
gradient_boosted_trees,64,460,-0.0015359502072432515,0.11790317803355319,0.16786876325765102,0.9997289238275956,0.9992889463477699,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gradient_boosted_trees,65,450,-0.0050080581974157184,0.14078341550794532,0.19867429946843534,0.998172514619883,0.9950809440072839,0.9824561403508771,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
mlp,42,460,-0.008581359314637826,0.46883131918070575,0.5977506768455134,0.9740557865557865,0.9667608751163066,0.9054054054054054,1.0,1.0,1.0,0.9999343185550083,0.9998586069386138,1.0
mlp,50,460,-0.020174130673233703,0.5683077803882326,0.6586791399671926,0.9703888888888889,0.9416468083146923,0.84,1.0,1.0,1.0,0.9998999679897568,0.9998414543158863,1.0
mlp,57,460,-0.04839948223713303,0.4818457965433762,0.549723336499049,0.9789892473118279,0.9726143412106097,0.9133333333333333,1.0,1.0,1.0,0.9993329228243021,0.9980539749456568,1.0
mlp,58,459,-0.04417968949570439,0.5931043981124264,0.6690863640703624,0.9574031231925969,0.9404194020281592,0.8947368421052632,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
mlp,60,460,-0.03749549414719494,0.498724137160185,0.5760589512826211,0.9922795698924731,0.9890052989622394,0.9733333333333334,1.0,1.0,1.0,0.9998829012389049,0.9997107485826682,1.0
mlp,62,460,-0.038911212539793405,0.5534823094339926,0.5995638004900476,0.9948024948024947,0.9910690665022833,0.9527027027027027,0.9998853298677471,0.9999091459721381,1.0,0.9999486863711001,0.9998412667057972,1.0
